Semana,Museo Nacional del Prado: (Reino Unido),plaza mayor: (Reino Unido),Parque de El Retiro: (Reino Unido),Puerta del Sol: (Reino Unido),gran via: (Reino Unido),Museo Nacional Thyssen-Bornemisza: (Reino Unido),Templo de Debod: (Reino Unido),Catedral de Santa María la Real de la Almudena: (Reino Unido),cibeles: (Reino Unido),Palacio de Cristal: (Reino Unido),Puerta de Alcalá: (Reino Unido),El Rastro: (Reino Unido),Plaza de Toros de Las Ventas: (Reino Unido),Chueca: (Reino Unido),san gines: (Reino Unido),callao: (Reino Unido)
2015-08-02,<1,47,19,19,34,19,100,44,32,0,0,37,35,66,0,47
2015-08-09,<1,31,19,37,50,49,0,29,31,19,39,22,69,18,0,57
2015-08-16,<1,20,19,57,39,25,33,29,21,0,0,33,35,28,0,39
2015-08-23,<1,15,0,27,41,0,0,56,41,0,37,0,34,27,0,52
2015-08-30,<1,25,19,19,53,18,33,29,48,0,0,43,52,18,0,46
2015-09-06,<1,31,56,57,47,31,32,72,21,37,38,22,46,37,34,85
2015-09-13,<1,49,27,18,59,27,32,28,27,18,0,21,50,44,66,48
2015-09-20,<1,39,18,36,35,27,32,28,40,54,37,42,33,18,33,41
2015-09-27,<1,15,36,37,27,36,32,56,20,18,0,63,67,18,0,48
2015-10-04,<1,48,0,36,45,23,0,68,20,18,73,21,33,23,0,20
2015-10-11,<1,29,18,18,56,18,31,37,50,18,0,21,33,53,0,51
2015-10-18,<1,38,23,36,74,46,61,27,39,18,36,41,32,17,33,63
2015-10-25,<1,29,18,36,46,35,31,0,30,0,0,21,98,18,0,68
2015-11-01,<1,36,35,23,52,34,30,40,39,17,35,20,0,46,0,33
2015-11-08,<1,28,17,26,41,17,30,80,29,17,0,0,0,28,31,43
2015-11-15,<1,38,17,0,31,57,31,27,19,17,36,40,98,43,0,39
2015-11-22,<1,42,34,28,35,0,29,26,19,17,35,20,0,22,31,29
2015-11-29,<1,38,43,43,44,0,30,40,26,17,0,20,32,17,0,42
2015-12-06,<1,33,23,44,24,17,0,27,20,17,36,31,32,17,32,20
2015-12-13,<1,46,38,44,36,55,32,0,31,19,0,33,0,19,0,18
2015-12-20,<1,53,0,0,42,21,0,0,36,0,0,100,0,32,0,33
2015-12-27,<1,32,20,79,32,0,0,30,22,19,40,38,73,19,36,34
2016-01-03,<1,36,18,27,61,17,0,27,30,0,36,21,49,17,32,63
2016-01-10,<1,36,18,29,74,17,0,27,33,17,0,20,0,17,0,47
