date;spanish;belge;french;german;italian;dutch;swiss;british;
01/05/2020;0;0;0;0;0;0;0;0;0
01/04/2020;0;0;0;0;0;0;0;0;0
01/03/2020;66484;1789;5836;68438;884;3060;2836;13357;162684
01/02/2020;120172;1908;6723;112582;5089;4946;6343;19231;276994
01/01/2020;137317;1447;3264;54431;3224;3608;1715;8041;213047
01/12/2019;117275;1832;8448;69386;3482;2836;3720;15470;222449
01/11/2019;115797;2006;8539;108999;5516;5443;5846;15393;267539
01/10/2019;170874;14348;64544;463744;30074;48976;45604;341040;1179204
01/09/2019;298494;35971;90372;645333;103504;76738;63149;605734;1919295
01/08/2019;466878;41270;161920;589499;192227;108931;62106;647471;2270302
01/07/2019;446251;46854;146368;627704;187714;125507;89545;663441;2333384
01/06/2019;338243;46143;99741;652897;101430;108133;77692;616992;2041271
01/05/2019;192408;31116;106019;536168;54115;96049;39401;529542;1584818
01/04/2019;217920;30590;54735;447365;38073;71879;56221;220957;1137740
01/03/2019;166407;3785;9619;213742;5375;11632;10109;42834;463503
01/02/2019;115066;1612;4685;110542;2499;5111;6798;21641;267954
01/01/2019;124852;1467;4863;69944;;3878;10034;19050;234088
01/12/2018;111614;2318;5192;97218;4125;;7554;21700;249721
01/11/2018;119611;2160;6306;96660;7944;5501;7471;31300;276953
01/10/2018;187772;14819;59975;527801;32776;68916;75512;329412;1296983
01/09/2018;291731;36469;87686;677642;115103;100377;86805;539125;1934938
01/08/2018;460627;39052;146296;630224;192062;129068;62216;678252;2337797
01/07/2018;401571;58209;121047;635472;183742;104090;113458;686093;2303682
01/06/2018;330204;41447;107351;629360;115488;106222;93772;624543;2048387
01/05/2018;216510;33619;99146;611396;54170;109664;60707;464664;1649876
01/04/2018;214048;23213;55373;396055;33014;39043;40240;209923;1010909
01/03/2018;169939;5570;12187;221780;4059;9137;14747;65985;503404
01/02/2018;101240;2579;11003;80225;;8461;7219;20479;231206
01/01/2018;104883;2416;4389;58389;;4965;6870;20171;202083
01/12/2017;97914;2572;3854;49042;5218;2170;4284;15968;181022
01/11/2017;110863;3593;3699;91861;4106;3731;8546;26032;252431
01/10/2017;154981;21476;40196;515589;34173;55105;60475;327804;1209799
01/09/2017;256284;35885;75781;667850;88899;79359;36264;609153;1849475
01/08/2017;455962;44101;143078;669998;222689;120797;74361;638530;2369516
01/07/2017;397666;53970;117131;703657;171078;108158;123984;687116;2362760
01/06/2017;301254;21313;73609;756909;125788;71430;88202;622454;2060959
01/05/2017;194356;24696;75955;595890;58330;105875;48953;546040;1650095
01/04/2017;234030;22809;37268;455105;27491;35235;54185;194099;1060222
01/03/2017;155617;4448;7824;179432;5116;11516;21165;44127;429245
01/02/2017;92443;2555;3662;93995;1241;2401;7863;25686;229846
01/01/2017;97366;2282;2143;49356;2645;6024;7307;11197;178320
01/12/2016;75332;1077;4461;43952;3256;6925;7028;17526;159557
01/11/2016;89894;2437;3081;78277;1252;10299;7501;19026;211767
01/10/2016;129085;18938;56917;553126;30082;56073;43851;293405;1181477
01/09/2016;279280;31604;72786;637899;89572;71685;64662;577022;1824510
01/08/2016;435182;37377;133673;683755;224214;130345;73734;679851;2398131
01/07/2016;395939;58759;134549;694927;143375;125292;108427;668991;2330259
01/06/2016;276057;20543;77966;648525;95801;63920;74907;627569;1885288
01/05/2016;157965;24685;86255;613574;62827;109959;49798;451035;1556098
01/04/2016;179523;12917;48115;304323;26907;39467;32162;180165;823579
01/03/2016;163397;10956;6606;210991;1659;8567;14616;83330;500122
01/02/2016;96079;4619;5207;91200;;4174;6180;20476;227935
01/01/2016;94646;2848;4526;55191;;1797;2591;14940;176539
01/12/2015;65107;1755;4915;43510;;2155;4611;17488;139541
01/11/2015;83538;4341;2691;79886;;1620;7445;14571;194092
01/10/2015;112204;12327;43084;429045;25448;33977;50357;303596;1010038
