bellver;cuevas del drach;formentor;palma aquarium;soller;cala galdana;cala mitjana;monte toro;cala macarella;cala macarelleta;albufera;cala pregonda;favaritx;cala benirras;es vedra;ses salines;cala salada;ses illetes;es pujols;ses platgetes;magaluf;date;country;Cuevas del Drach;benirras;tourists;overall_trend
56;20;26;46;57;20;9;32;11;10;52;8;34;16;29;34;15;7;20;43;26;01/10/2015;international;;;1010038;57
55;17;52;22;34;18;7;36;5;10;47;8;0;11;18;22;7;9;16;0;18;01/11/2015;international;;;194092;47
54;15;29;19;35;12;5;33;9;11;52;6;0;12;22;15;9;8;19;0;21;01/12/2015;international;;;139541;52
50;16;54;21;49;25;9;36;14;32;62;11;0;33;41;25;14;15;40;0;54;01/01/2016;international;;;176539;62
50;14;27;25;48;29;7;70;15;21;60;14;0;22;41;28;12;100;55;45;56;01/02/2016;international;;;227935;60
90;31;28;40;56;32;10;44;13;11;70;11;35;23;31;34;12;32;54;0;48;01/03/2016;international;;;500122;70
100;20;27;33;63;36;9;36;29;21;64;11;34;34;38;38;20;17;68;45;72;01/04/2016;international;;;823579;72
66;34;27;45;68;62;20;36;32;43;65;36;0;50;49;50;41;19;73;69;67;01/05/2016;international;;;1556098;73
60;38;42;44;73;62;37;49;57;47;64;41;36;58;53;52;53;24;88;47;83;01/06/2016;international;;;1885288;88
99;70;38;63;76;71;67;41;64;61;66;80;37;56;73;76;70;38;95;95;86;01/07/2016;international;;;2330259;95
79;67;60;63;76;61;61;53;60;100;67;66;39;67;56;72;81;32;86;100;71;01/08/2016;international;;;2398131;100
52;47;41;51;72;43;42;59;38;29;55;31;36;65;46;49;62;29;64;46;48;01/09/2016;international;;;1824510;72
51;24;55;54;60;20;15;34;17;11;53;6;35;17;26;32;14;8;22;46;29;01/10/2016;international;;;1181477;60
25;14;27;21;31;16;11;29;11;10;45;5;34;11;39;22;6;5;11;0;23;01/11/2016;international;;;211767;45
35;11;0;14;33;11;8;46;9;22;50;5;36;11;15;16;10;6;24;0;16;01/12/2016;international;;;159557;50
46;15;27;17;45;26;12;38;11;30;54;8;0;11;27;25;13;10;41;42;42;01/01/2017;international;;;178320;54
61;22;37;21;48;30;7;31;19;36;54;15;31;17;17;33;15;13;40;0;32;01/02/2017;international;;;229846;54
61;28;33;31;56;38;10;35;16;39;58;15;31;15;24;27;15;9;48;41;39;01/03/2017;international;;;429245;58
54;42;51;38;68;39;17;40;34;39;73;13;97;28;43;49;23;12;51;42;53;01/04/2017;international;;;1060222;73
65;29;53;44;72;49;24;43;32;46;64;22;34;55;36;46;41;17;72;45;61;01/05/2017;international;;;1650095;72
59;52;66;49;79;65;47;34;52;94;68;64;34;43;54;86;62;27;100;57;100;01/06/2017;international;;;2060959;100
67;63;54;73;83;100;65;49;74;85;66;67;66;93;71;69;85;31;98;45;96;01/07/2017;international;;;2362760;98
48;71;51;78;86;73;72;49;67;81;70;61;100;61;89;71;88;25;65;65;66;01/08/2017;international;;;2369516;89
31;53;100;68;74;63;64;48;42;36;63;37;64;42;71;42;64;19;74;43;55;01/09/2017;international;;;1849475;74
39;32;25;79;59;24;15;36;16;30;63;15;32;28;43;39;23;13;19;41;29;01/10/2017;international;;;1209799;79
45;18;48;29;39;12;7;37;10;14;58;10;31;10;31;21;7;5;11;0;17;01/11/2017;international;;;252431;58
42;16;27;24;39;31;5;36;11;15;53;10;0;20;22;24;6;7;21;41;25;01/12/2017;international;;;181022;53
30;23;24;20;45;26;8;40;13;28;59;10;30;10;15;28;26;10;40;0;35;01/01/2018;international;;;202083;59
29;27;31;29;52;21;6;40;8;37;55;10;59;16;23;23;12;10;33;39;26;01/02/2018;international;;;231206;55
75;31;46;53;75;32;12;33;10;21;74;15;31;14;41;37;14;10;39;0;36;01/03/2018;international;;;503404;75
45;51;48;73;81;42;15;37;24;22;67;12;30;52;56;59;31;18;53;40;58;01/04/2018;international;;;1010909;81
45;38;24;55;76;57;22;47;41;28;67;27;46;50;51;59;44;13;55;40;65;01/05/2018;international;;;1649876;76
59;48;47;61;79;63;58;47;64;70;60;44;30;53;63;56;64;24;83;40;79;01/06/2018;international;;;2048387;83
73;72;47;80;90;84;74;49;75;77;73;70;61;75;79;78;88;31;90;61;96;01/07/2018;international;;;2303682;96
66;82;72;81;88;74;84;67;94;43;78;94;60;100;77;100;97;31;77;81;69;01/08/2018;international;;;2337797;100
57;74;69;65;78;53;60;42;84;33;66;40;88;48;67;54;63;27;50;78;53;01/09/2018;international;;;1934938;84
44;37;47;73;66;21;17;36;13;23;62;7;59;36;39;45;17;7;23;0;32;01/10/2018;international;;;1296983;73
36;14;23;23;37;9;9;35;7;9;51;5;29;14;12;18;8;4;14;0;16;01/11/2018;international;;;276953;51
78;16;51;27;39;17;17;30;11;18;61;13;0;11;19;18;14;4;20;0;21;01/12/2018;international;;;249721;61
44;18;23;25;44;26;7;69;12;18;75;9;0;10;22;25;10;7;43;0;34;01/01/2019;international;;;234088;75
49;23;45;27;52;21;11;51;19;22;74;14;29;14;21;22;9;22;35;0;28;01/02/2019;international;;;267954;74
57;31;45;36;64;24;10;33;26;18;93;14;57;29;45;34;23;7;42;0;37;01/03/2019;international;;;463503;93
80;47;47;96;83;36;21;40;18;15;81;22;30;49;46;56;33;11;41;40;50;01/04/2019;international;;;1137740;96
70;34;23;67;78;62;29;56;34;27;70;14;29;41;58;48;45;21;56;57;53;01/05/2019;international;;;1584818;78
70;61;44;67;85;70;68;67;78;57;76;62;44;64;83;61;64;27;79;38;70;01/06/2019;international;;;2041271;85
86;99;79;97;89;83;74;72;100;77;90;80;30;74;76;84;87;32;96;59;73;01/07/2019;international;;;2333384;100
50;100;81;100;100;72;100;75;96;81;100;100;59;81;100;90;100;34;81;57;65;01/08/2019;international;;;2270302;100
55;73;51;99;83;64;66;60;68;43;66;53;42;55;69;66;65;22;67;37;55;01/09/2019;international;;;1919295;99
40;34;21;83;67;34;18;33;20;17;68;15;54;30;45;40;21;10;41;36;27;01/10/2019;international;;;1179204;83
26;18;21;36;40;14;6;44;5;8;56;9;27;13;15;25;7;5;17;0;14;01/11/2019;international;;;267539;56
40;13;22;27;39;44;10;36;14;22;67;5;0;10;37;27;11;5;18;0;20;01/12/2019;international;;;222449;67
52;16;21;20;51;28;10;42;14;19;71;9;0;21;26;31;7;9;32;35;38;01/01/2020;international;;;213047;71
43;23;26;23;50;24;8;40;15;16;68;8;26;16;19;25;11;8;20;0;25;01/02/2020;international;;;276994;68
24;24;19;26;45;18;6;62;10;13;57;8;25;8;24;29;8;8;24;32;20;01/03/2020;international;;;162684;57
22;8;37;5;24;8;7;100;11;18;41;4;24;8;31;21;6;5;18;0;12;01/04/2020;international;;;0;41
35;12;28;8;28;14;14;44;14;22;49;11;24;16;38;25;13;6;19;31;15;01/05/2020;international;;;0;49
39;18;22;36;34;9;8;18;6;15;58;6;27;13;20;22;6;14;20;27;20;01/10/2015;spain;;;112204;58
33;13;22;21;24;15;4;36;6;14;51;6;27;0;15;19;6;14;19;0;12;01/11/2015;spain;;;83538;51
58;19;23;28;18;5;5;21;20;16;49;7;0;0;18;17;6;21;11;0;7;01/12/2015;spain;;;65107;49
54;13;48;14;22;15;5;40;7;17;49;7;0;0;30;20;9;20;21;0;10;01/01/2016;spain;;;94646;49
24;16;23;18;26;13;9;49;13;31;50;7;29;14;52;23;6;100;28;29;12;01/02/2016;spain;;;96079;52
54;33;27;23;39;20;7;44;7;25;74;14;32;24;18;36;10;26;33;0;28;01/03/2016;spain;;;163397;74
42;20;24;28;44;21;7;29;19;16;57;10;28;42;33;39;12;15;32;29;28;01/04/2016;spain;;;179523;57
52;22;24;40;52;29;19;51;31;49;60;24;61;29;41;41;29;48;41;31;44;01/05/2016;spain;;;157965;60
100;38;26;34;50;43;39;51;37;49;61;29;32;48;37;45;44;49;57;33;84;01/06/2016;spain;;;276057;84
52;59;59;59;63;58;61;63;65;69;64;76;100;59;69;72;65;92;69;37;84;01/07/2016;spain;;;395939;84
52;87;59;56;73;47;78;90;59;63;64;84;40;74;66;89;91;84;57;39;71;01/08/2016;spain;;;435182;91
46;48;51;40;55;39;51;74;38;53;58;39;33;48;47;50;57;42;63;34;50;01/09/2016;spain;;;279280;63
50;24;50;43;44;12;10;28;10;17;60;7;31;15;27;23;20;18;38;0;34;01/10/2016;spain;;;129085;60
38;15;50;19;22;7;10;39;7;16;59;13;31;15;15;18;6;16;11;0;12;01/11/2016;spain;;;89894;59
58;11;0;23;21;4;5;32;13;16;49;0;0;14;13;16;14;21;11;0;12;01/12/2016;spain;;;75332;49
52;13;26;18;21;13;10;44;13;30;57;8;28;15;13;26;9;29;31;0;14;01/01/2017;spain;;;97366;57
29;14;45;15;28;17;7;32;12;20;60;10;0;14;14;32;9;39;19;0;14;01/02/2017;spain;;;92443;60
82;19;23;15;40;22;4;75;12;44;64;13;54;40;21;23;14;19;29;0;26;01/03/2017;spain;;;155617;64
53;28;52;33;46;31;13;37;21;31;87;16;29;26;27;45;24;33;36;29;34;01/04/2017;spain;;;234030;87
37;24;36;25;49;34;23;37;20;47;56;23;30;43;49;37;37;36;42;45;47;01/05/2017;spain;;;194356;56
37;43;49;48;53;52;49;31;48;64;68;45;30;51;56;58;57;58;71;50;96;01/06/2017;spain;;;301254;96
51;60;58;50;62;100;54;94;78;100;76;90;62;70;68;72;72;77;100;63;82;01/07/2017;spain;;;397666;100
50;65;100;58;84;75;80;70;57;99;69;84;94;75;80;79;98;63;63;29;85;01/08/2017;spain;;;455962;98
46;53;46;59;63;47;56;67;54;41;64;45;56;41;56;44;47;29;54;29;57;01/09/2017;spain;;;256284;64
50;23;23;55;42;17;13;36;9;29;60;13;26;25;28;22;20;19;28;0;32;01/10/2017;spain;;;154981;60
33;14;22;27;29;5;6;53;11;15;59;13;27;13;19;27;6;9;10;0;11;01/11/2017;spain;;;110863;59
54;15;22;13;23;11;5;31;7;17;57;10;0;14;14;17;6;20;51;0;11;01/12/2017;spain;;;97914;57
48;10;21;18;27;10;4;35;14;14;62;6;26;12;13;17;11;18;19;26;19;01/01/2018;spain;;;104883;62
31;12;42;20;33;10;8;40;17;14;63;12;26;12;14;22;5;17;22;0;15;01/02/2018;spain;;;101240;63
71;35;47;41;57;16;9;59;10;27;87;34;25;0;26;29;16;20;26;27;20;01/03/2018;spain;;;169939;87
38;41;42;76;62;27;11;69;13;14;83;15;26;31;44;53;20;27;37;26;49;01/04/2018;spain;;;214048;83
61;29;21;50;63;33;20;44;22;28;66;27;26;36;43;48;39;40;45;26;66;01/05/2018;spain;;;216510;66
41;34;34;46;58;57;59;66;57;52;66;50;26;56;52;52;53;55;70;25;91;01/06/2018;spain;;;330204;91
44;57;51;71;67;70;72;77;60;93;73;70;27;78;84;73;77;78;72;54;94;01/07/2018;spain;;;401571;94
67;84;60;82;87;83;91;100;90;79;83;86;28;65;83;100;85;92;68;55;100;01/08/2018;spain;;;460627;100
52;43;41;54;73;48;58;52;68;50;64;70;76;49;62;65;51;59;95;26;77;01/09/2018;spain;;;291731;95
48;30;35;50;61;16;12;47;11;28;71;21;0;31;33;48;18;21;46;0;39;01/10/2018;spain;;;187772;71
25;17;20;28;29;5;4;25;8;13;56;6;0;0;19;17;5;26;12;0;14;01/11/2018;spain;;;119611;56
37;22;24;18;28;8;9;58;12;16;67;7;26;14;23;17;6;13;14;0;14;01/12/2018;spain;;;111614;67
16;13;21;14;25;10;4;50;5;13;73;6;24;12;18;22;15;9;17;0;10;01/01/2019;spain;;;124852;73
39;20;60;20;33;12;8;34;11;14;78;12;25;12;22;29;8;20;18;0;14;01/02/2019;spain;;;115066;78
