date,spanish,belge,french,german,italian,dutch,swiss,british
2020-05-01,0,0,0,0,0,0,0,0
2020-04-01,0,0,0,0,0,0,0,0
2020-03-01,66.484,1.789,5.836,68.438,884,3.060,2.836,13.357
2020-02-01,120.172,1.908,6.723,112.582,5.089,4.946,6.343,19.231
2020-01-01,137.317,1.447,3.264,54.431,3.224,3.608,1.715,8.041
2019-12-01,117.275,1.832,8.448,69.386,3.482,2.836,3.720,15.470
2019-11-01,115.797,2.006,8.539,108.999,5.516,5.443,5.846,15.393
2019-10-01,170.874,14.348,64.544,463.744,30.074,48.976,45.604,341.040
2019-09-01,298.494,35.971,90.372,645.333,103.504,76.738,63.149,605.734
2019-08-01,466.878,41.270,161.920,589.499,192.227,108.931,62.106,647.471
2019-07-01,446.251,46.854,146.368,627.704,187.714,125.507,89.545,663.441
2019-06-01,338.243,46.143,99.741,652.897,101.430,108.133,77.692,616.992
2019-05-01,192.408,31.116,106.019,536.168,54.115,96.049,39.401,529.542
2019-04-01,217.920,30.590,54.735,447.365,38.073,71.879,56.221,220.957
2019-03-01,166.407,3.785,9.619,213.742,5.375,11.632,10.109,42.834
2019-02-01,115.066,1.612,4.685,110.542,2.499,5.111,6.798,21.641
2019-01-01,124.852,1.467,4.863,69.944,...,3.878,10.034,19.050
2018-12-01,111.614,2.318,5.192,97.218,4.125,...,7.554,21.700
2018-11-01,119.611,2.160,6.306,96.660,7.944,5.501,7.471,31.300
2018-10-01,187.772,14.819,59.975,527.801,32.776,68.916,75.512,329.412
2018-09-01,291.731,36.469,87.686,677.642,115.103,100.377,86.805,539.125
2018-08-01,460.627,39.052,146.296,630.224,192.062,129.068,62.216,678.252
2018-07-01,401.571,58.209,121.047,635.472,183.742,104.090,113.458,686.093
2018-06-01,330.204,41.447,107.351,629.360,115.488,106.222,93.772,624.543
2018-05-01,216.510,33.619,99.146,611.396,54.170,109.664,60.707,464.664
2018-04-01,214.048,23.213,55.373,396.055,33.014,39.043,40.240,209.923
2018-03-01,169.939,5.570,12.187,221.780,4.059,9.137,14.747,65.985
2018-02-01,101.240,2.579,11.003,80.225,...,8.461,7.219,20.479
2018-01-01,104.883,2.416,4.389,58.389,...,4.965,6.870,20.171
2017-12-01,97.914,2.572,3.854,49.042,5.218,2.170,4.284,15.968
2017-11-01,110.863,3.593,3.699,91.861,4.106,3.731,8.546,26.032
2017-10-01,154.981,21.476,40.196,515.589,34.173,55.105,60.475,327.804
2017-09-01,256.284,35.885,75.781,667.850,88.899,79.359,36.264,609.153
2017-08-01,455.962,44.101,143.078,669.998,222.689,120.797,74.361,638.530
2017-07-01,397.666,53.970,117.131,703.657,171.078,108.158,123.984,687.116
2017-06-01,301.254,21.313,73.609,756.909,125.788,71.430,88.202,622.454
2017-05-01,194.356,24.696,75.955,595.890,58.330,105.875,48.953,546.040
2017-04-01,234.030,22.809,37.268,455.105,27.491,35.235,54.185,194.099
2017-03-01,155.617,4.448,7.824,179.432,5.116,11.516,21.165,44.127
2017-02-01,92.443,2.555,3.662,93.995,1.241,2.401,7.863,25.686
2017-01-01,97.366,2.282,2.143,49.356,2.645,6.024,7.307,11.197
2016-12-01,75.332,1.077,4.461,43.952,3.256,6.925,7.028,17.526
2016-11-01,89.894,2.437,3.081,78.277,1.252,10.299,7.501,19.026
2016-10-01,129.085,18.938,56.917,553.126,30.082,56.073,43.851,293.405
2016-09-01,279.280,31.604,72.786,637.899,89.572,71.685,64.662,577.022
2016-08-01,435.182,37.377,133.673,683.755,224.214,130.345,73.734,679.851
2016-07-01,395.939,58.759,134.549,694.927,143.375,125.292,108.427,668.991
2016-06-01,276.057,20.543,77.966,648.525,95.801,63.920,74.907,627.569
2016-05-01,157.965,24.685,86.255,613.574,62.827,109.959,49.798,451.035
2016-04-01,179.523,12.917,48.115,304.323,26.907,39.467,32.162,180.165
2016-03-01,163.397,10.956,6.606,210.991,1.659,8.567,14.616,83.330
2016-02-01,96.079,4.619,5.207,91.200,...,4.174,6.180,20.476
2016-01-01,94.646,2.848,4.526,55.191,...,1.797,2.591,14.940
2015-12-01,65.107,1.755,4.915,43.510,...,2.155,4.611,17.488
2015-11-01,83.538,4.341,2.691,79.886,...,1.620,7.445,14.571
2015-10-01,112.204,12.327,43.084,429.045,25.448,33.977,50.357,303.596
