
;Dato mensual;Tasa de variación anual;Acumulado del año;Tasa de variación del acumulado;2020M05;;;;;
   TOTAL (1+2);0;-100,00;729.443;-83,00;
   1. ESPAÑA (otras ccaa);0;-100,00;323.973;-60,33;
   2. EXTRANJERO;0;-100,00;405.470;-88,33;
   (103) Bélgica;0;-100,00;5.144;-92,50;
   (110) Francia;0;-100,00;15.823;-91,21;
   (115) Italia;0;-100,00;9.197;-91,05;
   (121) Países Bajos;0;-100,00;11.614;-93,84;
   (125) Reino Unido;0;-100,00;40.630;-95,13;
   (126) Alemania;0;-100,00;235.450;-82,91;
   (132) Suiza;0;-100,00;10.894;-91,11;
   (154) Rusia;0;-100,00;...;...;
   Países nórdicos;0;-100,00;17.474;-90,98;
   Resto de Europa;0;-100,00;44.317;-85,27;
   Resto del mundo;0;-100,00;13.006;-86,40;
2020M04;;;;;
   TOTAL (1+2);0;-100,00;729.443;-69,58;
   1. ESPAÑA (otras ccaa);0;-100,00;323.973;-48,10;
   2. EXTRANJERO;0;-100,00;405.470;-77,14;
   (103) Bélgica;0;-100,00;5.144;-86,27;
   (110) Francia;0;-100,00;15.823;-78,59;
   (115) Italia;0;-100,00;9.197;-81,08;
   (121) Países Bajos;0;-100,00;11.614;-87,44;
   (125) Reino Unido;0;-100,00;40.630;-86,66;
   (126) Alemania;0;-100,00;235.450;-72,02;
   (132) Suiza;0;-100,00;10.894;-86,90;
   (154) Rusia;0;-100,00;...;...;
   Países nórdicos;0;-100,00;17.474;-81,36;
   Resto de Europa;0;-100,00;44.317;-68,16;
   Resto del mundo;0;-100,00;13.006;-76,04;
2020M03;;;;;
   TOTAL (1+2);182.502;-65,71;729.443;-33,59;
   1. ESPAÑA (otras ccaa);66.484;-60,05;323.973;-20,27;
   2. EXTRANJERO;116.018;-68,28;405.470;-41,41;
   (103) Bélgica;1.789;-52,75;5.144;-25,07;
   (110) Francia;5.836;-39,33;15.823;-17,45;
   (115) Italia;884;-83,56;9.197;-12,65;
   (121) Países Bajos;3.060;-73,69;11.614;-43,68;
   (125) Reino Unido;13.357;-68,82;40.630;-51,36;
   (126) Alemania;68.438;-67,98;235.450;-40,28;
   (132) Suiza;2.836;-71,94;10.894;-59,56;
   (154) Rusia;...;...;...;...;
   Países nórdicos;5.415;-80,14;17.474;-56,58;
   Resto de Europa;11.296;-57,86;44.317;-25,58;
   Resto del mundo;2.855;-79,41;13.006;-53,24;
2020M02;;;;;
   TOTAL (1+2);305.723;2,11;546.941;-3,40;
   1. ESPAÑA (otras ccaa);120.172;4,44;257.489;7,32;
   2. EXTRANJERO;185.550;0,65;289.452;-11,29;
   (103) Bélgica;1.908;18,35;3.355;8,97;
   (110) Francia;6.723;43,51;9.987;4,60;
   (115) Italia;5.089;103,69;8.313;61,33;
   (121) Países Bajos;4.946;-3,23;8.554;-4,83;
   (125) Reino Unido;19.231;-11,14;27.272;-32,98;
   (126) Alemania;112.582;1,85;167.012;-7,47;
   (132) Suiza;6.343;-6,70;8.058;-52,13;
   (154) Rusia;...;...;...;...;
   Países nórdicos;7.277;35,41;12.059;-7,13;
   Resto de Europa;17.188;-7,44;33.021;0,84;
   Resto del mundo;3.971;-39,15;10.151;-27,24;
2020M01;;;;;
   TOTAL (1+2);241.219;-9,58;241.219;-9,58;
   1. ESPAÑA (otras ccaa);137.317;9,98;137.317;9,98;
   2. EXTRANJERO;103.902;-26,79;103.902;-26,79;
   (103) Bélgica;1.447;-1,33;1.447;-1,33;
   (110) Francia;3.264;-32,88;3.264;-32,88;
   (115) Italia;3.224;21,45;3.224;21,45;
   (121) Países Bajos;3.608;-6,95;3.608;-6,95;
   (125) Reino Unido;8.041;-57,79;8.041;-57,79;
   (126) Alemania;54.431;-22,18;54.431;-22,18;
   (132) Suiza;1.715;-82,91;1.715;-82,91;
   (154) Rusia;...;...;...;...;
   Países nórdicos;4.783;-37,17;4.783;-37,17;
   Resto de Europa;15.833;11,70;15.833;11,70;
   Resto del mundo;6.180;-16,78;6.180;-16,78;
2019M12;;;;;
   TOTAL (1+2);242.204;-17,88;16.451.321;-0,66;
   1. ESPAÑA (otras ccaa);117.275;5,07;2.770.464;2,24;
   2. EXTRANJERO;124.929;-31,86;13.680.857;-1,23;
   (103) Bélgica;1.832;-20,95;256.995;-1,86;
   (110) Francia;8.448;62,72;759.853;6,13;
   (115) Italia;3.482;-15,58;726.664;-3,43;
   (121) Países Bajos;2.836;-65,66;665.111;-4,12;
   (125) Reino Unido;15.470;-28,71;3.739.566;1,30;
   (126) Alemania;69.386;-28,63;4.535.321;-2,72;
   (132) Suiza;3.720;-50,76;470.225;-18,44;
   (154) Rusia;...;...;120.231;206,92;
   Países nórdicos;4.509;-40,24;780.527;-19,99;
   Resto de Europa;10.060;-52,57;1.153.222;3,36;
   Resto del mundo;5.011;-26,01;473.140;29,01;
2019M11;;;;;
   TOTAL (1+2);298.630;-2,93;16.209.117;-0,35;
   1. ESPAÑA (otras ccaa);115.797;-3,19;2.653.189;2,12;
   2. EXTRANJERO;182.833;-2,76;13.555.928;-0,82;
   (103) Bélgica;2.006;-7,11;255.163;-1,69;
   (110) Francia;8.539;35,42;751.405;5,72;
   (115) Italia;5.516;-30,56;723.182;-3,36;
   (121) Países Bajos;5.443;-1,06;662.275;-3,38;
