Categoría: Todas las categorías

Semana,cuevas del drach: (Alemania)
2015-08-02,34
2015-08-09,33
2015-08-16,100
2015-08-23,33
2015-08-30,33
2015-09-06,66
2015-09-13,0
2015-09-20,32
2015-09-27,32
2015-10-04,31
2015-10-11,31
2015-10-18,31
2015-10-25,31
2015-11-01,31
2015-11-08,31
2015-11-15,0
2015-11-22,0
2015-11-29,31
2015-12-06,0
2015-12-13,0
2015-12-20,0
2015-12-27,0
2016-01-03,0
2016-01-10,0
2016-01-17,0
2016-01-24,38
2016-01-31,0
2016-02-07,29
2016-02-14,29
2016-02-21,29
2016-02-28,28
2016-03-06,0
2016-03-13,0
2016-03-20,0
2016-03-27,0
2016-04-03,30
2016-04-10,0
2016-04-17,30
2016-04-24,29
2016-05-01,33
2016-05-08,61
2016-05-15,31
2016-05-22,0
2016-05-29,0
2016-06-05,0
2016-06-12,0
2016-06-19,30
2016-06-26,0
2016-07-03,0
2016-07-10,0
2016-07-17,32
2016-07-24,32
2016-07-31,33
2016-08-07,34
2016-08-14,35
2016-08-21,0
2016-08-28,66
2016-09-04,32
2016-09-11,0
2016-09-18,32
2016-09-25,0
2016-10-02,32
2016-10-09,31
2016-10-16,30
2016-10-23,0
2016-10-30,31
2016-11-06,0
2016-11-13,0
2016-11-20,0
2016-11-27,0
2016-12-04,29
2016-12-11,0
2016-12-18,0
2016-12-25,0
2017-01-01,0
2017-01-08,0
2017-01-15,0
2017-01-22,0
2017-01-29,28
2017-02-05,0
2017-02-12,38
2017-02-19,0
2017-02-26,0
2017-03-05,0
2017-03-12,28
2017-03-19,28
2017-03-26,30
2017-04-02,29
2017-04-09,30
2017-04-16,29
2017-04-23,0
2017-04-30,0
2017-05-07,28
2017-05-14,0
2017-05-21,0
2017-05-28,0
2017-06-04,30
2017-06-11,30
2017-06-18,29
2017-06-25,0
2017-07-02,0
2017-07-09,29
2017-07-16,0
2017-07-23,29
2017-07-30,57
2017-08-06,29
2017-08-13,29
2017-08-20,59
2017-08-27,56
2017-09-03,28
2017-09-10,41
2017-09-17,0
2017-09-24,27
2017-10-01,28
2017-10-08,28
2017-10-15,28
2017-10-22,26
2017-10-29,28
2017-11-05,26
2017-11-12,52
2017-11-19,0
2017-11-26,0
2017-12-03,27
2017-12-10,26
2017-12-17,0
2017-12-24,31
2017-12-31,27
2018-01-07,0
2018-01-14,0
2018-01-21,25
2018-01-28,25
2018-02-04,0
2018-02-11,26
2018-02-18,0
2018-02-25,26
2018-03-04,0
2018-03-11,39
2018-03-18,0
2018-03-25,28
2018-04-01,84
2018-04-08,27
2018-04-15,0
2018-04-22,0
2018-04-29,55
2018-05-06,0
2018-05-13,78
2018-05-20,0
2018-05-27,40
2018-06-03,26
2018-06-10,26
2018-06-17,26
2018-06-24,26
2018-07-01,0
2018-07-08,26
2018-07-15,82
2018-07-22,40
2018-07-29,40
2018-08-05,27
2018-08-12,41
2018-08-19,0
2018-08-26,67
2018-09-02,53
2018-09-09,26
2018-09-16,53
2018-09-23,53
2018-09-30,0
2018-10-07,44
2018-10-14,0
2018-10-21,26
2018-10-28,26
2018-11-04,0
2018-11-11,25
2018-11-18,37
2018-11-25,0
2018-12-02,0
2018-12-09,0
2018-12-16,0
2018-12-23,30
2018-12-30,27
2019-01-06,0
2019-01-13,24
2019-01-20,0
2019-01-27,24
2019-02-03,0
2019-02-10,25
2019-02-17,0
2019-02-24,0
2019-03-03,0
2019-03-10,0
2019-03-17,25
2019-03-24,25
2019-03-31,0
2019-04-07,0
2019-04-14,27
2019-04-21,26
2019-04-28,24
2019-05-05,48
2019-05-12,0
2019-05-19,37
2019-05-26,0
2019-06-02,24
2019-06-09,0
2019-06-16,38
2019-06-23,26
2019-06-30,50
2019-07-07,33
2019-07-14,51
2019-07-21,0
2019-07-28,0
2019-08-04,27
2019-08-11,0
2019-08-18,26
2019-08-25,50
2019-09-01,0
2019-09-08,0
2019-09-15,0
2019-09-22,48
2019-09-29,24
2019-10-06,0
2019-10-13,36
2019-10-20,24
2019-10-27,23
2019-11-03,0
2019-11-10,23
2019-11-17,0
2019-11-24,23
2019-12-01,0
2019-12-08,0
2019-12-15,24
2019-12-22,27
2019-12-29,25
2020-01-05,22
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,20
2020-03-15,0
2020-03-22,0
2020-03-29,0
2020-04-05,0
2020-04-12,0
2020-04-19,20
2020-04-26,0
2020-05-03,0
2020-05-10,0
2020-05-17,0
2020-05-24,0
2020-05-31,0
2020-06-07,0
2020-06-14,0
2020-06-21,0
2020-06-28,0
2020-07-05,21
2020-07-12,22
2020-07-19,0
