Categoría: Todas las categorías

Semana,es vedra: (Alemania)
2015-08-02,33
2015-08-09,32
2015-08-16,32
2015-08-23,64
2015-08-30,0
2015-09-06,31
2015-09-13,0
2015-09-20,0
2015-09-27,0
2015-10-04,59
2015-10-11,0
2015-10-18,30
2015-10-25,30
2015-11-01,0
2015-11-08,29
2015-11-15,0
2015-11-22,0
2015-11-29,0
2015-12-06,0
2015-12-13,0
2015-12-20,36
2015-12-27,69
2016-01-03,0
2016-01-10,54
2016-01-17,0
2016-01-24,0
2016-01-31,0
2016-02-07,27
2016-02-14,41
2016-02-21,0
2016-02-28,27
2016-03-06,28
2016-03-13,0
2016-03-20,29
2016-03-27,29
2016-04-03,29
2016-04-10,28
2016-04-17,0
2016-04-24,0
2016-05-01,31
2016-05-08,29
2016-05-15,39
2016-05-22,0
2016-05-29,28
2016-06-05,29
2016-06-12,41
2016-06-19,0
2016-06-26,28
2016-07-03,90
2016-07-10,39
2016-07-17,41
2016-07-24,0
2016-07-31,95
2016-08-07,33
2016-08-14,34
2016-08-21,66
2016-08-28,32
2016-09-04,30
2016-09-11,45
2016-09-18,0
2016-09-25,0
2016-10-02,0
2016-10-09,0
2016-10-16,29
2016-10-23,0
2016-10-30,0
2016-11-06,28
2016-11-13,43
2016-11-20,0
2016-11-27,28
2016-12-04,0
2016-12-11,0
2016-12-18,0
2016-12-25,32
2017-01-01,37
2017-01-08,26
2017-01-15,0
2017-01-22,27
2017-01-29,0
2017-02-05,27
2017-02-12,0
2017-02-19,27
2017-02-26,0
2017-03-05,26
2017-03-12,27
2017-03-19,40
2017-03-26,29
2017-04-02,0
2017-04-09,71
2017-04-16,0
2017-04-23,26
2017-04-30,27
2017-05-07,0
2017-05-14,57
2017-05-21,30
2017-05-28,28
2017-06-04,85
2017-06-11,29
2017-06-18,55
2017-06-25,27
2017-07-02,28
2017-07-09,42
2017-07-16,28
2017-07-23,0
2017-07-30,55
2017-08-06,36
2017-08-13,28
2017-08-20,42
2017-08-27,27
2017-09-03,36
2017-09-10,26
2017-09-17,27
2017-09-24,26
2017-10-01,26
2017-10-08,0
2017-10-15,0
2017-10-22,0
2017-10-29,26
2017-11-05,0
2017-11-12,25
2017-11-19,0
2017-11-26,26
2017-12-03,0
2017-12-10,26
2017-12-17,0
2017-12-24,0
2017-12-31,0
2018-01-07,25
2018-01-14,48
2018-01-21,24
2018-01-28,0
2018-02-04,25
2018-02-11,25
2018-02-18,25
2018-02-25,25
2018-03-04,49
2018-03-11,49
2018-03-18,25
2018-03-25,44
2018-04-01,27
2018-04-08,0
2018-04-15,78
2018-04-22,49
2018-04-29,39
2018-05-06,66
2018-05-13,25
2018-05-20,26
2018-05-27,25
2018-06-03,25
2018-06-10,49
2018-06-17,61
2018-06-24,25
2018-07-01,25
2018-07-08,50
2018-07-15,26
2018-07-22,26
2018-07-29,69
2018-08-05,51
2018-08-12,52
2018-08-19,51
2018-08-26,26
2018-09-02,25
2018-09-09,0
2018-09-16,25
2018-09-23,34
2018-09-30,0
2018-10-07,25
2018-10-14,25
2018-10-21,0
2018-10-28,0
2018-11-04,0
2018-11-11,49
2018-11-18,0
2018-11-25,0
2018-12-02,0
2018-12-09,0
2018-12-16,0
2018-12-23,28
2018-12-30,0
2019-01-06,23
2019-01-13,23
2019-01-20,23
2019-01-27,0
2019-02-03,0
2019-02-10,23
2019-02-17,24
2019-02-24,24
2019-03-03,23
2019-03-10,23
2019-03-17,0
2019-03-24,24
2019-03-31,24
2019-04-07,24
2019-04-14,0
2019-04-21,38
2019-04-28,47
2019-05-05,23
2019-05-12,24
2019-05-19,31
2019-05-26,48
2019-06-02,23
2019-06-09,24
2019-06-16,37
2019-06-23,60
2019-06-30,36
2019-07-07,35
2019-07-14,74
2019-07-21,52
2019-07-28,100
2019-08-04,59
2019-08-11,24
2019-08-18,33
2019-08-25,36
2019-09-01,35
2019-09-08,31
2019-09-15,47
2019-09-22,46
2019-09-29,23
2019-10-06,23
2019-10-13,34
2019-10-20,68
2019-10-27,0
2019-11-03,21
2019-11-10,0
2019-11-17,0
2019-11-24,0
2019-12-01,22
2019-12-08,0
2019-12-15,0
2019-12-22,25
2019-12-29,24
2020-01-05,0
2020-01-12,31
2020-01-19,0
2020-01-26,21
2020-02-02,31
2020-02-09,0
2020-02-16,21
2020-02-23,20
2020-03-01,20
2020-03-08,19
2020-03-15,0
2020-03-22,0
2020-03-29,0
2020-04-05,41
2020-04-12,0
2020-04-19,0
2020-04-26,19
2020-05-03,0
2020-05-10,0
2020-05-17,20
2020-05-24,20
2020-05-31,19
2020-06-07,20
2020-06-14,32
2020-06-21,41
2020-06-28,0
2020-07-05,41
2020-07-12,32
2020-07-19,29
