Categoría: Todas las categorías

Semana,ses illetes: (Alemania)
2015-08-02,34
2015-08-09,33
2015-08-16,33
2015-08-23,100
2015-08-30,0
2015-09-06,0
2015-09-13,0
2015-09-20,31
2015-09-27,0
2015-10-04,0
2015-10-11,0
2015-10-18,31
2015-10-25,0
2015-11-01,31
2015-11-08,0
2015-11-15,30
2015-11-22,0
2015-11-29,31
2015-12-06,0
2015-12-13,0
2015-12-20,0
2015-12-27,0
2016-01-03,0
2016-01-10,28
2016-01-17,57
2016-01-24,56
2016-01-31,0
2016-02-07,28
2016-02-14,71
2016-02-21,0
2016-02-28,38
2016-03-06,29
2016-03-13,58
2016-03-20,60
2016-03-27,31
2016-04-03,30
2016-04-10,29
2016-04-17,30
2016-04-24,29
2016-05-01,33
2016-05-08,30
2016-05-15,0
2016-05-22,0
2016-05-29,29
2016-06-05,45
2016-06-12,56
2016-06-19,44
2016-06-26,29
2016-07-03,63
2016-07-10,31
2016-07-17,32
2016-07-24,48
2016-07-31,33
2016-08-07,34
2016-08-14,70
2016-08-21,69
2016-08-28,32
2016-09-04,0
2016-09-11,32
2016-09-18,64
2016-09-25,0
2016-10-02,32
2016-10-09,0
2016-10-16,31
2016-10-23,61
2016-10-30,31
2016-11-06,0
2016-11-13,30
2016-11-20,0
2016-11-27,0
2016-12-04,58
2016-12-11,29
2016-12-18,31
2016-12-25,0
2017-01-01,44
2017-01-08,56
2017-01-15,28
2017-01-22,0
2017-01-29,0
2017-02-05,28
2017-02-12,56
2017-02-19,42
2017-02-26,0
2017-03-05,0
2017-03-12,0
2017-03-19,0
2017-03-26,0
2017-04-02,43
2017-04-09,30
2017-04-16,0
2017-04-23,41
2017-04-30,38
2017-05-07,0
2017-05-14,30
2017-05-21,0
2017-05-28,30
2017-06-04,0
2017-06-11,30
2017-06-18,57
2017-06-25,28
2017-07-02,0
2017-07-09,29
2017-07-16,29
2017-07-23,28
2017-07-30,57
2017-08-06,29
2017-08-13,29
2017-08-20,49
2017-08-27,42
2017-09-03,0
2017-09-10,28
2017-09-17,56
2017-09-24,0
2017-10-01,27
2017-10-08,27
2017-10-15,27
2017-10-22,26
2017-10-29,0
2017-11-05,0
2017-11-12,27
2017-11-19,0
2017-11-26,27
2017-12-03,0
2017-12-10,0
2017-12-17,0
2017-12-24,0
2017-12-31,0
2018-01-07,51
2018-01-14,0
2018-01-21,0
2018-01-28,25
2018-02-04,26
2018-02-11,26
2018-02-18,26
2018-02-25,38
2018-03-04,0
2018-03-11,0
2018-03-18,39
2018-03-25,27
2018-04-01,28
2018-04-08,53
2018-04-15,27
2018-04-22,0
2018-04-29,27
2018-05-06,27
2018-05-13,26
2018-05-20,27
2018-05-27,27
2018-06-03,26
2018-06-10,0
2018-06-17,0
2018-06-24,26
2018-07-01,26
2018-07-08,39
2018-07-15,27
2018-07-22,27
2018-07-29,40
2018-08-05,40
2018-08-12,27
2018-08-19,36
2018-08-26,26
2018-09-02,26
2018-09-09,0
2018-09-16,26
2018-09-23,0
2018-09-30,0
2018-10-07,26
2018-10-14,26
2018-10-21,25
2018-10-28,0
2018-11-04,0
2018-11-11,25
2018-11-18,0
2018-11-25,0
2018-12-02,25
2018-12-09,0
2018-12-16,26
2018-12-23,0
2018-12-30,27
2019-01-06,0
2019-01-13,35
2019-01-20,36
2019-01-27,23
2019-02-03,24
2019-02-10,37
2019-02-17,24
2019-02-24,25
2019-03-03,24
2019-03-10,0
2019-03-17,25
2019-03-24,38
2019-03-31,50
2019-04-07,25
2019-04-14,0
2019-04-21,53
2019-04-28,0
2019-05-05,24
2019-05-12,25
2019-05-19,0
2019-05-26,42
2019-06-02,61
2019-06-09,25
2019-06-16,51
2019-06-23,50
2019-06-30,25
2019-07-07,25
2019-07-14,34
2019-07-21,27
2019-07-28,39
2019-08-04,26
2019-08-11,0
2019-08-18,26
2019-08-25,25
2019-09-01,24
2019-09-08,25
2019-09-15,24
2019-09-22,0
2019-09-29,24
2019-10-06,0
2019-10-13,24
2019-10-20,24
2019-10-27,0
2019-11-03,0
2019-11-10,23
2019-11-17,0
2019-11-24,0
2019-12-01,46
2019-12-08,0
2019-12-15,0
2019-12-22,27
2019-12-29,0
2020-01-05,22
2020-01-12,43
2020-01-19,0
2020-01-26,22
2020-02-02,22
2020-02-09,0
2020-02-16,22
2020-02-23,21
2020-03-01,42
2020-03-08,20
2020-03-15,0
2020-03-22,29
2020-03-29,0
2020-04-05,22
2020-04-12,0
2020-04-19,0
2020-04-26,19
2020-05-03,0
2020-05-10,0
2020-05-17,21
2020-05-24,21
2020-05-31,0
2020-06-07,0
2020-06-14,20
2020-06-21,21
2020-06-28,27
2020-07-05,21
2020-07-12,22
2020-07-19,62
