Categoría: Todas las categorías

Semana,magaluf: (Bélgica)
2015-08-02,100
2015-08-09,18
2015-08-16,16
2015-08-23,9
2015-08-30,8
2015-09-06,10
2015-09-13,8
2015-09-20,14
2015-09-27,6
2015-10-04,0
2015-10-11,0
2015-10-18,9
2015-10-25,9
2015-11-01,5
2015-11-08,5
2015-11-15,7
2015-11-22,4
2015-11-29,4
2015-12-06,5
2015-12-13,5
2015-12-20,11
2015-12-27,5
2016-01-03,5
2016-01-10,16
2016-01-17,7
2016-01-24,5
2016-01-31,7
2016-02-07,7
2016-02-14,3
2016-02-21,5
2016-02-28,10
2016-03-06,11
2016-03-13,4
2016-03-20,7
2016-03-27,5
2016-04-03,3
2016-04-10,5
2016-04-17,7
2016-04-24,13
2016-05-01,15
2016-05-08,7
2016-05-15,6
2016-05-22,12
2016-05-29,5
2016-06-05,4
2016-06-12,11
2016-06-19,23
2016-06-26,10
2016-07-03,12
2016-07-10,11
2016-07-17,15
2016-07-24,68
2016-07-31,12
2016-08-07,34
2016-08-14,25
2016-08-21,16
2016-08-28,5
2016-09-04,14
2016-09-11,11
2016-09-18,8
2016-09-25,9
2016-10-02,5
2016-10-09,7
2016-10-16,5
2016-10-23,5
2016-10-30,8
2016-11-06,4
2016-11-13,5
2016-11-20,6
2016-11-27,0
2016-12-04,5
2016-12-11,0
2016-12-18,4
2016-12-25,6
2017-01-01,7
2017-01-08,7
2017-01-15,10
2017-01-22,7
2017-01-29,3
2017-02-05,7
2017-02-12,3
2017-02-19,3
2017-02-26,3
2017-03-05,3
2017-03-12,8
2017-03-19,3
2017-03-26,7
2017-04-02,5
2017-04-09,7
2017-04-16,7
2017-04-23,10
2017-04-30,3
2017-05-07,13
2017-05-14,9
2017-05-21,13
2017-05-28,9
2017-06-04,7
2017-06-11,13
2017-06-18,18
2017-06-25,20
2017-07-02,19
2017-07-09,21
2017-07-16,7
2017-07-23,25
2017-07-30,16
2017-08-06,14
2017-08-13,15
2017-08-20,7
2017-08-27,9
2017-09-03,11
2017-09-10,15
2017-09-17,10
2017-09-24,3
2017-10-01,5
2017-10-08,6
2017-10-15,3
2017-10-22,3
2017-10-29,7
2017-11-05,5
2017-11-12,3
2017-11-19,0
2017-11-26,0
2017-12-03,0
2017-12-10,3
2017-12-17,5
2017-12-24,3
2017-12-31,5
2018-01-07,3
2018-01-14,9
2018-01-21,6
2018-01-28,3
2018-02-04,3
2018-02-11,4
2018-02-18,3
2018-02-25,6
2018-03-04,4
2018-03-11,3
2018-03-18,3
2018-03-25,3
2018-04-01,9
2018-04-08,4
2018-04-15,3
2018-04-22,3
2018-04-29,6
2018-05-06,8
2018-05-13,3
2018-05-20,8
2018-05-27,10
2018-06-03,9
2018-06-10,6
2018-06-17,10
2018-06-24,6
2018-07-01,13
2018-07-08,9
2018-07-15,13
2018-07-22,10
2018-07-29,8
2018-08-05,15
2018-08-12,4
2018-08-19,4
2018-08-26,6
2018-09-02,6
2018-09-09,5
2018-09-16,6
2018-09-23,8
2018-09-30,3
2018-10-07,6
2018-10-14,0
2018-10-21,0
2018-10-28,0
2018-11-04,0
2018-11-11,0
2018-11-18,6
2018-11-25,3
2018-12-02,3
2018-12-09,3
2018-12-16,5
2018-12-23,4
2018-12-30,3
2019-01-06,4
2019-01-13,3
2019-01-20,3
2019-01-27,3
2019-02-03,4
2019-02-10,3
2019-02-17,6
2019-02-24,6
2019-03-03,5
2019-03-10,6
2019-03-17,6
2019-03-24,8
2019-03-31,8
2019-04-07,9
2019-04-14,6
2019-04-21,5
2019-04-28,4
2019-05-05,5
2019-05-12,9
2019-05-19,5
2019-05-26,11
2019-06-02,8
2019-06-09,5
2019-06-16,7
2019-06-23,10
2019-06-30,8
2019-07-07,12
2019-07-14,12
2019-07-21,10
2019-07-28,5
2019-08-04,11
2019-08-11,9
2019-08-18,11
2019-08-25,9
2019-09-01,11
2019-09-08,9
2019-09-15,3
2019-09-22,4
2019-09-29,6
2019-10-06,3
2019-10-13,3
2019-10-20,3
2019-10-27,0
2019-11-03,7
2019-11-10,4
2019-11-17,8
2019-11-24,3
2019-12-01,3
2019-12-08,0
2019-12-15,5
2019-12-22,3
2019-12-29,9
2020-01-05,5
2020-01-12,5
2020-01-19,5
2020-01-26,4
2020-02-02,4
2020-02-09,3
2020-02-16,7
2020-02-23,0
2020-03-01,4
2020-03-08,0
2020-03-15,0
2020-03-22,2
2020-03-29,2
2020-04-05,3
2020-04-12,0
2020-04-19,2
2020-04-26,2
2020-05-03,4
2020-05-10,2
2020-05-17,2
2020-05-24,2
2020-05-31,0
2020-06-07,3
2020-06-14,6
2020-06-21,4
2020-06-28,3
2020-07-05,3
2020-07-12,6
2020-07-19,0
