Categoría: Todas las categorías

Semana,salines: (Bélgica)
2015-08-02,34
2015-08-09,0
2015-08-16,0
2015-08-23,0
2015-08-30,31
2015-09-06,0
2015-09-13,29
2015-09-20,0
2015-09-27,60
2015-10-04,29
2015-10-11,0
2015-10-18,29
2015-10-25,29
2015-11-01,31
2015-11-08,45
2015-11-15,67
2015-11-22,57
2015-11-29,29
2015-12-06,0
2015-12-13,0
2015-12-20,0
2015-12-27,33
2016-01-03,21
2016-01-10,42
2016-01-17,21
2016-01-24,21
2016-01-31,21
2016-02-07,21
2016-02-14,21
2016-02-21,0
2016-02-28,42
2016-03-06,43
2016-03-13,22
2016-03-20,43
2016-03-27,0
2016-04-03,22
2016-04-10,43
2016-04-17,32
2016-04-24,41
2016-05-01,41
2016-05-08,22
2016-05-15,22
2016-05-22,0
2016-05-29,31
2016-06-05,43
2016-06-12,31
2016-06-19,21
2016-06-26,44
2016-07-03,51
2016-07-10,26
2016-07-17,29
2016-07-24,27
2016-07-31,44
2016-08-07,27
2016-08-14,57
2016-08-21,0
2016-08-28,33
2016-09-04,100
2016-09-11,25
2016-09-18,25
2016-09-25,59
2016-10-02,48
2016-10-09,24
2016-10-16,23
2016-10-23,24
2016-10-30,24
2016-11-06,0
2016-11-13,22
2016-11-20,0
2016-11-27,45
2016-12-04,22
2016-12-11,0
2016-12-18,23
2016-12-25,25
2017-01-01,23
2017-01-08,0
2017-01-15,21
2017-01-22,21
2017-01-29,63
2017-02-05,54
2017-02-12,43
2017-02-19,0
2017-02-26,21
2017-03-05,27
2017-03-12,21
2017-03-19,21
2017-03-26,37
2017-04-02,23
2017-04-09,23
2017-04-16,36
2017-04-23,21
2017-04-30,21
2017-05-07,83
2017-05-14,22
2017-05-21,49
2017-05-28,22
2017-06-04,51
2017-06-11,22
2017-06-18,22
2017-06-25,34
2017-07-02,32
2017-07-09,24
2017-07-16,34
2017-07-23,24
2017-07-30,34
2017-08-06,23
2017-08-13,46
2017-08-20,22
2017-08-27,32
2017-09-03,33
2017-09-10,28
2017-09-17,33
2017-09-24,63
2017-10-01,0
2017-10-08,41
2017-10-15,42
2017-10-22,30
2017-10-29,21
2017-11-05,0
2017-11-12,30
2017-11-19,20
2017-11-26,20
2017-12-03,0
2017-12-10,19
2017-12-17,21
2017-12-24,0
2017-12-31,0
2018-01-07,0
2018-01-14,19
2018-01-21,39
2018-01-28,39
2018-02-04,40
2018-02-11,0
2018-02-18,0
2018-02-25,19
2018-03-04,19
2018-03-11,20
2018-03-18,20
2018-03-25,0
2018-04-01,22
2018-04-08,21
2018-04-15,0
2018-04-22,0
2018-04-29,20
2018-05-06,20
2018-05-13,19
2018-05-20,40
2018-05-27,19
2018-06-03,0
2018-06-10,27
2018-06-17,19
2018-06-24,30
2018-07-01,21
2018-07-08,42
2018-07-15,44
2018-07-22,37
2018-07-29,29
2018-08-05,0
2018-08-12,21
2018-08-19,48
2018-08-26,20
2018-09-02,20
2018-09-09,20
2018-09-16,40
2018-09-23,20
2018-09-30,20
2018-10-07,61
2018-10-14,19
2018-10-21,30
2018-10-28,0
2018-11-04,39
2018-11-11,19
2018-11-18,29
2018-11-25,19
2018-12-02,0
2018-12-09,20
2018-12-16,20
2018-12-23,23
2018-12-30,35
2019-01-06,19
2019-01-13,0
2019-01-20,18
2019-01-27,18
2019-02-03,19
2019-02-10,0
2019-02-17,19
2019-02-24,38
2019-03-03,39
2019-03-10,19
2019-03-17,26
2019-03-24,20
2019-03-31,19
2019-04-07,27
2019-04-14,21
2019-04-21,33
2019-04-28,28
2019-05-05,18
2019-05-12,19
2019-05-19,46
2019-05-26,19
2019-06-02,35
2019-06-09,24
2019-06-16,38
2019-06-23,20
2019-06-30,20
2019-07-07,20
2019-07-14,21
2019-07-21,22
2019-07-28,32
2019-08-04,34
2019-08-11,20
2019-08-18,0
2019-08-25,19
2019-09-01,38
2019-09-08,38
2019-09-15,19
2019-09-22,18
2019-09-29,45
2019-10-06,18
2019-10-13,0
2019-10-20,18
2019-10-27,28
2019-11-03,0
2019-11-10,0
2019-11-17,0
2019-11-24,17
2019-12-01,36
2019-12-08,18
2019-12-15,0
2019-12-22,38
2019-12-29,37
2020-01-05,34
2020-01-12,25
2020-01-19,26
2020-01-26,34
2020-02-02,17
2020-02-09,17
2020-02-16,17
2020-02-23,17
2020-03-01,17
2020-03-08,32
2020-03-15,16
2020-03-22,16
2020-03-29,0
2020-04-05,0
2020-04-12,0
2020-04-19,15
2020-04-26,30
2020-05-03,0
2020-05-10,15
2020-05-17,16
2020-05-24,15
2020-05-31,22
2020-06-07,29
2020-06-14,30
2020-06-21,16
2020-06-28,16
2020-07-05,22
2020-07-12,35
2020-07-19,64
