Categoría: Todas las categorías

Semana,Albufera: (España)
2015-08-02,57
2015-08-09,55
2015-08-16,54
2015-08-23,59
2015-08-30,44
2015-09-06,47
2015-09-13,52
2015-09-20,37
2015-09-27,66
2015-10-04,58
2015-10-11,43
2015-10-18,40
2015-10-25,40
2015-11-01,45
2015-11-08,50
2015-11-15,40
2015-11-22,38
2015-11-29,51
2015-12-06,49
2015-12-13,45
2015-12-20,31
2015-12-27,46
2016-01-03,48
2016-01-10,38
2016-01-17,41
2016-01-24,41
2016-01-31,49
2016-02-07,47
2016-02-14,35
2016-02-21,45
2016-02-28,50
2016-03-06,40
2016-03-13,42
2016-03-20,74
2016-03-27,60
2016-04-03,56
2016-04-10,57
2016-04-17,53
2016-04-24,55
2016-05-01,55
2016-05-08,56
2016-05-15,58
2016-05-22,60
2016-05-29,58
2016-06-05,61
2016-06-12,54
2016-06-19,55
2016-06-26,54
2016-07-03,60
2016-07-10,57
2016-07-17,64
2016-07-24,64
2016-07-31,61
2016-08-07,64
2016-08-14,58
2016-08-21,56
2016-08-28,52
2016-09-04,50
2016-09-11,58
2016-09-18,47
2016-09-25,48
2016-10-02,50
2016-10-09,59
2016-10-16,60
2016-10-23,48
2016-10-30,58
2016-11-06,45
2016-11-13,57
2016-11-20,42
2016-11-27,59
2016-12-04,45
2016-12-11,44
2016-12-18,36
2016-12-25,49
2017-01-01,52
2017-01-08,47
2017-01-15,47
2017-01-22,42
2017-01-29,57
2017-02-05,39
2017-02-12,50
2017-02-19,53
2017-02-26,60
2017-03-05,56
2017-03-12,54
2017-03-19,60
2017-03-26,64
2017-04-02,49
2017-04-09,79
2017-04-16,87
2017-04-23,66
2017-04-30,69
2017-05-07,56
2017-05-14,54
2017-05-21,45
2017-05-28,50
2017-06-04,58
2017-06-11,59
2017-06-18,68
2017-06-25,64
2017-07-02,62
2017-07-09,55
2017-07-16,60
2017-07-23,63
2017-07-30,76
2017-08-06,59
2017-08-13,67
2017-08-20,69
2017-08-27,56
2017-09-03,46
2017-09-10,61
2017-09-17,57
2017-09-24,64
2017-10-01,52
2017-10-08,60
2017-10-15,54
2017-10-22,60
2017-10-29,49
2017-11-05,49
2017-11-12,59
2017-11-19,55
2017-11-26,49
2017-12-03,53
2017-12-10,44
2017-12-17,42
2017-12-24,44
2017-12-31,57
2018-01-07,50
2018-01-14,42
2018-01-21,62
2018-01-28,56
2018-02-04,56
2018-02-11,46
2018-02-18,55
2018-02-25,63
2018-03-04,49
2018-03-11,54
2018-03-18,64
2018-03-25,87
2018-04-01,83
2018-04-08,51
2018-04-15,72
2018-04-22,71
2018-04-29,70
2018-05-06,58
2018-05-13,63
2018-05-20,66
2018-05-27,63
2018-06-03,65
2018-06-10,54
2018-06-17,62
2018-06-24,66
2018-07-01,58
2018-07-08,67
2018-07-15,68
2018-07-22,73
2018-07-29,67
2018-08-05,58
2018-08-12,83
2018-08-19,65
2018-08-26,57
2018-09-02,50
2018-09-09,53
2018-09-16,64
2018-09-23,57
2018-09-30,60
2018-10-07,67
2018-10-14,49
2018-10-21,57
2018-10-28,71
2018-11-04,56
2018-11-11,46
2018-11-18,41
2018-11-25,50
2018-12-02,54
2018-12-09,46
2018-12-16,42
2018-12-23,55
2018-12-30,67
2019-01-06,51
2019-01-13,60
2019-01-20,73
2019-01-27,69
2019-02-03,67
2019-02-10,71
2019-02-17,78
2019-02-24,60
2019-03-03,67
2019-03-10,63
2019-03-17,66
2019-03-24,72
2019-03-31,64
2019-04-07,65
2019-04-14,65
2019-04-21,58
2019-04-28,76
2019-05-05,67
2019-05-12,67
2019-05-19,56
2019-05-26,62
2019-06-02,67
2019-06-09,76
2019-06-16,68
2019-06-23,73
2019-06-30,65
2019-07-07,73
2019-07-14,80
2019-07-21,79
2019-07-28,84
2019-08-04,83
2019-08-11,100
2019-08-18,81
2019-08-25,64
2019-09-01,65
2019-09-08,62
2019-09-15,57
2019-09-22,55
2019-09-29,65
2019-10-06,56
2019-10-13,64
2019-10-20,59
2019-10-27,70
2019-11-03,48
2019-11-10,41
2019-11-17,56
2019-11-24,53
2019-12-01,54
2019-12-08,46
2019-12-15,50
2019-12-22,54
2019-12-29,61
2020-01-05,54
2020-01-12,57
2020-01-19,71
2020-01-26,65
2020-02-02,55
2020-02-09,60
2020-02-16,67
2020-02-23,66
2020-03-01,55
2020-03-08,47
2020-03-15,22
2020-03-22,29
2020-03-29,30
2020-04-05,39
2020-04-12,22
2020-04-19,28
2020-04-26,30
2020-05-03,31
2020-05-10,38
2020-05-17,41
2020-05-24,44
2020-05-31,43
2020-06-07,56
2020-06-14,52
2020-06-21,68
2020-06-28,76
2020-07-05,56
2020-07-12,70
2020-07-19,66
