Categoría: Todas las categorías

Semana,Cala Pregonda: (España)
2015-08-02,66
2015-08-09,43
2015-08-16,61
2015-08-23,58
2015-08-30,49
2015-09-06,47
2015-09-13,11
2015-09-20,13
2015-09-27,19
2015-10-04,6
2015-10-11,0
2015-10-18,6
2015-10-25,6
2015-11-01,6
2015-11-08,6
2015-11-15,0
2015-11-22,0
2015-11-29,0
2015-12-06,7
2015-12-13,0
2015-12-20,0
2015-12-27,7
2016-01-03,0
2016-01-10,7
2016-01-17,7
2016-01-24,7
2016-01-31,0
2016-02-07,7
2016-02-14,7
2016-02-21,7
2016-02-28,7
2016-03-06,7
2016-03-13,11
2016-03-20,8
2016-03-27,14
2016-04-03,10
2016-04-10,7
2016-04-17,7
2016-04-24,7
2016-05-01,7
2016-05-08,0
2016-05-15,18
2016-05-22,14
2016-05-29,24
2016-06-05,29
2016-06-12,24
2016-06-19,23
2016-06-26,25
2016-07-03,65
2016-07-10,37
2016-07-17,58
2016-07-24,76
2016-07-31,72
2016-08-07,60
2016-08-14,84
2016-08-21,52
2016-08-28,65
2016-09-04,39
2016-09-11,25
2016-09-18,25
2016-09-25,7
2016-10-02,7
2016-10-09,0
2016-10-16,7
2016-10-23,7
2016-10-30,7
2016-11-06,7
2016-11-13,0
2016-11-20,13
2016-11-27,7
2016-12-04,0
2016-12-11,0
2016-12-18,0
2016-12-25,0
2017-01-01,8
2017-01-08,7
2017-01-15,7
2017-01-22,7
2017-01-29,0
2017-02-05,0
2017-02-12,7
2017-02-19,0
2017-02-26,10
2017-03-05,10
2017-03-12,10
2017-03-19,0
2017-03-26,13
2017-04-02,7
2017-04-09,15
2017-04-16,9
2017-04-23,10
2017-04-30,16
2017-05-07,11
2017-05-14,10
2017-05-21,21
2017-05-28,23
2017-06-04,45
2017-06-11,42
2017-06-18,32
2017-06-25,45
2017-07-02,54
2017-07-09,53
2017-07-16,58
2017-07-23,90
2017-07-30,84
2017-08-06,63
2017-08-13,84
2017-08-20,48
2017-08-27,58
2017-09-03,45
2017-09-10,31
2017-09-17,26
2017-09-24,13
2017-10-01,10
2017-10-08,13
2017-10-15,9
2017-10-22,6
2017-10-29,6
2017-11-05,13
2017-11-12,6
2017-11-19,6
2017-11-26,0
2017-12-03,10
2017-12-10,0
2017-12-17,0
2017-12-24,0
2017-12-31,0
2018-01-07,6
2018-01-14,0
2018-01-21,0
2018-01-28,6
2018-02-04,12
2018-02-11,6
2018-02-18,6
2018-02-25,6
2018-03-04,6
2018-03-11,12
2018-03-18,12
2018-03-25,34
2018-04-01,9
2018-04-08,12
2018-04-15,8
2018-04-22,15
2018-04-29,12
2018-05-06,14
2018-05-13,15
2018-05-20,27
2018-05-27,24
2018-06-03,33
2018-06-10,50
2018-06-17,35
2018-06-24,48
2018-07-01,68
2018-07-08,65
2018-07-15,40
2018-07-22,70
2018-07-29,68
2018-08-05,86
2018-08-12,63
2018-08-19,54
2018-08-26,84
2018-09-02,70
2018-09-09,34
2018-09-16,36
2018-09-23,16
2018-09-30,8
2018-10-07,21
2018-10-14,6
2018-10-21,12
2018-10-28,0
2018-11-04,0
2018-11-11,6
2018-11-18,0
2018-11-25,0
2018-12-02,0
2018-12-09,0
2018-12-16,6
2018-12-23,7
2018-12-30,7
2019-01-06,6
2019-01-13,6
2019-01-20,5
2019-01-27,5
2019-02-03,6
2019-02-10,12
2019-02-17,6
2019-02-24,9
2019-03-03,6
2019-03-10,6
2019-03-17,9
2019-03-24,12
2019-03-31,6
2019-04-07,8
2019-04-14,20
2019-04-21,19
2019-04-28,6
2019-05-05,11
2019-05-12,12
2019-05-19,15
2019-05-26,17
2019-06-02,35
2019-06-09,32
2019-06-16,47
2019-06-23,70
2019-06-30,60
2019-07-07,90
2019-07-14,80
2019-07-21,87
2019-07-28,100
2019-08-04,83
2019-08-11,99
2019-08-18,57
2019-08-25,78
2019-09-01,61
2019-09-08,33
2019-09-15,34
2019-09-22,27
2019-09-29,14
2019-10-06,11
2019-10-13,5
2019-10-20,21
2019-10-27,7
2019-11-03,5
2019-11-10,5
2019-11-17,5
2019-11-24,10
2019-12-01,0
2019-12-08,0
2019-12-15,0
2019-12-22,6
2019-12-29,6
2020-01-05,5
2020-01-12,0
2020-01-19,5
2020-01-26,5
2020-02-02,5
2020-02-09,5
2020-02-16,5
2020-02-23,10
2020-03-01,5
2020-03-08,5
2020-03-15,5
2020-03-22,0
2020-03-29,4
2020-04-05,0
2020-04-12,4
2020-04-19,4
2020-04-26,4
2020-05-03,4
2020-05-10,4
2020-05-17,5
2020-05-24,6
2020-05-31,7
2020-06-07,9
2020-06-14,7
2020-06-21,19
2020-06-28,25
2020-07-05,40
2020-07-12,38
2020-07-19,55
