Categoría: Todas las categorías

Semana,Cala Mitjana: (España)
2015-08-02,50
2015-08-09,56
2015-08-16,46
2015-08-23,45
2015-08-30,36
2015-09-06,28
2015-09-13,16
2015-09-20,10
2015-09-27,4
2015-10-04,6
2015-10-11,4
2015-10-18,0
2015-10-25,8
2015-11-01,4
2015-11-08,0
2015-11-15,4
2015-11-22,0
2015-11-29,4
2015-12-06,4
2015-12-13,0
2015-12-20,0
2015-12-27,5
2016-01-03,0
2016-01-10,5
2016-01-17,0
2016-01-24,0
2016-01-31,0
2016-02-07,0
2016-02-14,4
2016-02-21,9
2016-02-28,0
2016-03-06,0
2016-03-13,5
2016-03-20,0
2016-03-27,7
2016-04-03,7
2016-04-10,4
2016-04-17,7
2016-04-24,5
2016-05-01,5
2016-05-08,4
2016-05-15,11
2016-05-22,11
2016-05-29,19
2016-06-05,24
2016-06-12,39
2016-06-19,34
2016-06-26,36
2016-07-03,57
2016-07-10,49
2016-07-17,61
2016-07-24,56
2016-07-31,59
2016-08-07,52
2016-08-14,78
2016-08-21,68
2016-08-28,38
2016-09-04,51
2016-09-11,28
2016-09-18,27
2016-09-25,19
2016-10-02,6
2016-10-09,8
2016-10-16,5
2016-10-23,10
2016-10-30,5
2016-11-06,0
2016-11-13,10
2016-11-20,7
2016-11-27,0
2016-12-04,5
2016-12-11,0
2016-12-18,0
2016-12-25,5
2017-01-01,10
2017-01-08,0
2017-01-15,4
2017-01-22,7
2017-01-29,6
2017-02-05,4
2017-02-12,4
2017-02-19,7
2017-02-26,6
2017-03-05,4
2017-03-12,4
2017-03-19,4
2017-03-26,4
2017-04-02,4
2017-04-09,10
2017-04-16,11
2017-04-23,8
2017-04-30,13
2017-05-07,11
2017-05-14,14
2017-05-21,17
2017-05-28,23
2017-06-04,30
2017-06-11,34
2017-06-18,48
2017-06-25,49
2017-07-02,40
2017-07-09,53
2017-07-16,54
2017-07-23,48
2017-07-30,49
2017-08-06,73
2017-08-13,80
2017-08-20,62
2017-08-27,41
2017-09-03,56
2017-09-10,26
2017-09-17,19
2017-09-24,16
2017-10-01,10
2017-10-08,13
2017-10-15,6
2017-10-22,7
2017-10-29,4
2017-11-05,4
2017-11-12,0
2017-11-19,6
2017-11-26,0
2017-12-03,5
2017-12-10,0
2017-12-17,0
2017-12-24,5
2017-12-31,0
2018-01-07,0
2018-01-14,0
2018-01-21,4
2018-01-28,4
2018-02-04,0
2018-02-11,8
2018-02-18,4
2018-02-25,4
2018-03-04,6
2018-03-11,6
2018-03-18,6
2018-03-25,9
2018-04-01,8
2018-04-08,8
2018-04-15,11
2018-04-22,8
2018-04-29,8
2018-05-06,6
2018-05-13,15
2018-05-20,20
2018-05-27,13
2018-06-03,26
2018-06-10,24
2018-06-17,54
2018-06-24,59
2018-07-01,57
2018-07-08,65
2018-07-15,57
2018-07-22,63
2018-07-29,72
2018-08-05,63
2018-08-12,66
2018-08-19,91
2018-08-26,58
2018-09-02,58
2018-09-09,47
2018-09-16,47
2018-09-23,35
2018-09-30,12
2018-10-07,12
2018-10-14,11
2018-10-21,8
2018-10-28,4
2018-11-04,4
2018-11-11,4
2018-11-18,4
2018-11-25,4
2018-12-02,4
2018-12-09,8
2018-12-16,0
2018-12-23,9
2018-12-30,4
2019-01-06,4
2019-01-13,4
2019-01-20,4
2019-01-27,4
2019-02-03,4
2019-02-10,4
2019-02-17,8
2019-02-24,6
2019-03-03,4
2019-03-10,8
2019-03-17,4
2019-03-24,5
2019-03-31,4
2019-04-07,8
2019-04-14,13
2019-04-21,11
2019-04-28,12
2019-05-05,11
2019-05-12,8
2019-05-19,25
2019-05-26,17
2019-06-02,33
2019-06-09,52
2019-06-16,35
2019-06-23,55
2019-06-30,59
2019-07-07,69
2019-07-14,73
2019-07-21,68
2019-07-28,70
2019-08-04,94
2019-08-11,100
2019-08-18,81
2019-08-25,65
2019-09-01,73
2019-09-08,35
2019-09-15,38
2019-09-22,29
2019-09-29,14
2019-10-06,12
2019-10-13,7
2019-10-20,8
2019-10-27,5
2019-11-03,3
2019-11-10,3
2019-11-17,0
2019-11-24,3
2019-12-01,0
2019-12-08,0
2019-12-15,0
2019-12-22,8
2019-12-29,4
2020-01-05,0
2020-01-12,3
2020-01-19,3
2020-01-26,3
2020-02-02,3
2020-02-09,3
2020-02-16,3
2020-02-23,3
2020-03-01,8
2020-03-08,3
2020-03-15,0
2020-03-22,3
2020-03-29,3
2020-04-05,3
2020-04-12,3
2020-04-19,3
2020-04-26,3
2020-05-03,4
2020-05-10,4
2020-05-17,6
2020-05-24,8
2020-05-31,10
2020-06-07,9
2020-06-14,14
2020-06-21,13
2020-06-28,13
2020-07-05,33
2020-07-12,33
2020-07-19,35
