Categoría: Todas las categorías

Semana,Monte Toro: (España)
2015-08-02,22
2015-08-09,66
2015-08-16,51
2015-08-23,21
2015-08-30,19
2015-09-06,29
2015-09-13,31
2015-09-20,18
2015-09-27,27
2015-10-04,18
2015-10-11,0
2015-10-18,17
2015-10-25,0
2015-11-01,0
2015-11-08,18
2015-11-15,24
2015-11-22,36
2015-11-29,18
2015-12-06,19
2015-12-13,18
2015-12-20,0
2015-12-27,21
2016-01-03,31
2016-01-10,30
2016-01-17,20
2016-01-24,20
2016-01-31,40
2016-02-07,49
2016-02-14,39
2016-02-21,26
2016-02-28,20
2016-03-06,20
2016-03-13,30
2016-03-20,44
2016-03-27,21
2016-04-03,29
2016-04-10,20
2016-04-17,19
2016-04-24,27
2016-05-01,51
2016-05-08,39
2016-05-15,31
2016-05-22,27
2016-05-29,31
2016-06-05,35
2016-06-12,51
2016-06-19,33
2016-06-26,43
2016-07-03,45
2016-07-10,23
2016-07-17,23
2016-07-24,63
2016-07-31,25
2016-08-07,60
2016-08-14,72
2016-08-21,50
2016-08-28,90
2016-09-04,74
2016-09-11,36
2016-09-18,32
2016-09-25,0
2016-10-02,20
2016-10-09,28
2016-10-16,21
2016-10-23,0
2016-10-30,21
2016-11-06,0
2016-11-13,21
2016-11-20,39
2016-11-27,0
2016-12-04,30
2016-12-11,0
2016-12-18,32
2016-12-25,23
2017-01-01,44
2017-01-08,39
2017-01-15,19
2017-01-22,19
2017-01-29,37
2017-02-05,28
2017-02-12,19
2017-02-19,32
2017-02-26,18
2017-03-05,19
2017-03-12,27
2017-03-19,75
2017-03-26,38
2017-04-02,19
2017-04-09,22
2017-04-16,26
2017-04-23,37
2017-04-30,32
2017-05-07,37
2017-05-14,27
2017-05-21,20
2017-05-28,26
2017-06-04,26
2017-06-11,20
2017-06-18,27
2017-06-25,31
2017-07-02,35
2017-07-09,52
2017-07-16,94
2017-07-23,77
2017-07-30,41
2017-08-06,70
2017-08-13,51
2017-08-20,52
2017-08-27,45
2017-09-03,39
2017-09-10,67
2017-09-17,38
2017-09-24,55
2017-10-01,18
2017-10-08,19
2017-10-15,36
2017-10-22,27
2017-10-29,36
2017-11-05,27
2017-11-12,18
2017-11-19,53
2017-11-26,27
2017-12-03,20
2017-12-10,31
2017-12-17,29
2017-12-24,21
2017-12-31,19
2018-01-07,26
2018-01-14,18
2018-01-21,17
2018-01-28,35
2018-02-04,40
2018-02-11,18
2018-02-18,26
2018-02-25,26
2018-03-04,34
2018-03-11,26
2018-03-18,29
2018-03-25,59
2018-04-01,24
2018-04-08,33
2018-04-15,17
2018-04-22,69
2018-04-29,35
2018-05-06,34
2018-05-13,44
2018-05-20,26
2018-05-27,40
2018-06-03,45
2018-06-10,33
2018-06-17,53
2018-06-24,66
2018-07-01,77
2018-07-08,59
2018-07-15,46
2018-07-22,43
2018-07-29,49
2018-08-05,48
2018-08-12,69
2018-08-19,100
2018-08-26,66
2018-09-02,52
2018-09-09,34
2018-09-16,23
2018-09-23,39
2018-09-30,34
2018-10-07,47
2018-10-14,28
2018-10-21,17
2018-10-28,23
2018-11-04,25
2018-11-11,17
2018-11-18,24
2018-11-25,17
2018-12-02,35
2018-12-09,18
2018-12-16,18
2018-12-23,20
2018-12-30,58
2019-01-06,35
2019-01-13,50
2019-01-20,21
2019-01-27,16
2019-02-03,34
2019-02-10,17
2019-02-17,17
2019-02-24,33
2019-03-03,23
2019-03-10,17
2019-03-17,52
2019-03-24,29
2019-03-31,49
2019-04-07,25
2019-04-14,29
2019-04-21,33
2019-04-28,28
2019-05-05,16
2019-05-12,28
2019-05-19,33
2019-05-26,24
2019-06-02,37
2019-06-09,49
2019-06-16,34
2019-06-23,40
2019-06-30,43
2019-07-07,50
2019-07-14,40
2019-07-21,87
2019-07-28,72
2019-08-04,66
2019-08-11,66
2019-08-18,82
2019-08-25,72
2019-09-01,64
2019-09-08,63
2019-09-15,31
2019-09-22,31
2019-09-29,31
2019-10-06,23
2019-10-13,41
2019-10-20,15
2019-10-27,25
2019-11-03,15
2019-11-10,15
2019-11-17,15
2019-11-24,19
2019-12-01,23
2019-12-08,16
2019-12-15,0
2019-12-22,0
2019-12-29,17
2020-01-05,15
2020-01-12,43
2020-01-19,14
2020-01-26,36
2020-02-02,29
2020-02-09,44
2020-02-16,22
2020-02-23,14
2020-03-01,49
2020-03-08,41
2020-03-15,40
2020-03-22,17
2020-03-29,13
2020-04-05,13
2020-04-12,13
2020-04-19,21
2020-04-26,13
2020-05-03,19
2020-05-10,31
2020-05-17,13
2020-05-24,40
2020-05-31,13
2020-06-07,26
2020-06-14,18
2020-06-21,15
2020-06-28,29
2020-07-05,30
2020-07-12,78
2020-07-19,54
