Categoría: Todas las categorías

Semana,Cala Macarella: (España)
2015-08-02,55
2015-08-09,67
2015-08-16,46
2015-08-23,27
2015-08-30,48
2015-09-06,30
2015-09-13,16
2015-09-20,9
2015-09-27,0
2015-10-04,6
2015-10-11,6
2015-10-18,0
2015-10-25,0
2015-11-01,6
2015-11-08,0
2015-11-15,0
2015-11-22,0
2015-11-29,0
2015-12-06,6
2015-12-13,0
2015-12-20,20
2015-12-27,7
2016-01-03,0
2016-01-10,6
2016-01-17,6
2016-01-24,6
2016-01-31,7
2016-02-07,0
2016-02-14,9
2016-02-21,13
2016-02-28,6
2016-03-06,6
2016-03-13,7
2016-03-20,7
2016-03-27,0
2016-04-03,6
2016-04-10,10
2016-04-17,19
2016-04-24,7
2016-05-01,13
2016-05-08,15
2016-05-15,0
2016-05-22,7
2016-05-29,31
2016-06-05,34
2016-06-12,31
2016-06-19,36
2016-06-26,37
2016-07-03,32
2016-07-10,65
2016-07-17,52
2016-07-24,33
2016-07-31,43
2016-08-07,42
2016-08-14,59
2016-08-21,43
2016-08-28,37
2016-09-04,34
2016-09-11,38
2016-09-18,23
2016-09-25,14
2016-10-02,10
2016-10-09,10
2016-10-16,7
2016-10-23,7
2016-10-30,7
2016-11-06,7
2016-11-13,7
2016-11-20,0
2016-11-27,6
2016-12-04,13
2016-12-11,0
2016-12-18,0
2016-12-25,8
2017-01-01,7
2017-01-08,13
2017-01-15,0
2017-01-22,12
2017-01-29,0
2017-02-05,12
2017-02-12,12
2017-02-19,12
2017-02-26,6
2017-03-05,12
2017-03-12,12
2017-03-19,8
2017-03-26,6
2017-04-02,13
2017-04-09,21
2017-04-16,21
2017-04-23,14
2017-04-30,10
2017-05-07,12
2017-05-14,20
2017-05-21,13
2017-05-28,19
2017-06-04,30
2017-06-11,46
2017-06-18,48
2017-06-25,43
2017-07-02,46
2017-07-09,78
2017-07-16,68
2017-07-23,68
2017-07-30,56
2017-08-06,48
2017-08-13,57
2017-08-20,45
2017-08-27,38
2017-09-03,46
2017-09-10,54
2017-09-17,31
2017-09-24,14
2017-10-01,6
2017-10-08,6
2017-10-15,9
2017-10-22,6
2017-10-29,6
2017-11-05,6
2017-11-12,0
2017-11-19,11
2017-11-26,6
2017-12-03,7
2017-12-10,0
2017-12-17,0
2017-12-24,0
2017-12-31,0
2018-01-07,0
2018-01-14,14
2018-01-21,6
2018-01-28,6
2018-02-04,17
2018-02-11,0
2018-02-18,0
2018-02-25,11
2018-03-04,6
2018-03-11,0
2018-03-18,6
2018-03-25,10
2018-04-01,6
2018-04-08,5
2018-04-15,11
2018-04-22,11
2018-04-29,13
2018-05-06,22
2018-05-13,9
2018-05-20,15
2018-05-27,22
2018-06-03,33
2018-06-10,52
2018-06-17,39
2018-06-24,57
2018-07-01,53
2018-07-08,60
2018-07-15,46
2018-07-22,54
2018-07-29,58
2018-08-05,81
2018-08-12,90
2018-08-19,61
2018-08-26,49
2018-09-02,68
2018-09-09,47
2018-09-16,37
2018-09-23,33
2018-09-30,13
2018-10-07,11
2018-10-14,5
2018-10-21,6
2018-10-28,6
2018-11-04,0
2018-11-11,8
2018-11-18,0
2018-11-25,0
2018-12-02,12
2018-12-09,0
2018-12-16,6
2018-12-23,0
2018-12-30,9
2019-01-06,0
2019-01-13,5
2019-01-20,5
2019-01-27,0
2019-02-03,6
2019-02-10,5
2019-02-17,11
2019-02-24,0
2019-03-03,6
2019-03-10,6
2019-03-17,14
2019-03-24,6
2019-03-31,8
2019-04-07,11
2019-04-14,9
2019-04-21,7
2019-04-28,17
2019-05-05,16
2019-05-12,5
2019-05-19,14
2019-05-26,21
2019-06-02,31
2019-06-09,42
2019-06-16,57
2019-06-23,64
2019-06-30,80
2019-07-07,36
2019-07-14,70
2019-07-21,55
2019-07-28,65
2019-08-04,100
2019-08-11,67
2019-08-18,73
2019-08-25,58
2019-09-01,57
2019-09-08,55
2019-09-15,41
2019-09-22,39
2019-09-29,19
2019-10-06,7
2019-10-13,15
2019-10-20,10
2019-10-27,5
2019-11-03,5
2019-11-10,5
2019-11-17,5
2019-11-24,0
2019-12-01,10
2019-12-08,5
2019-12-15,5
2019-12-22,0
2019-12-29,8
2020-01-05,5
2020-01-12,0
2020-01-19,6
2020-01-26,7
2020-02-02,7
2020-02-09,5
2020-02-16,9
2020-02-23,8
2020-03-01,5
2020-03-08,4
2020-03-15,4
2020-03-22,4
2020-03-29,0
2020-04-05,4
2020-04-12,8
2020-04-19,6
2020-04-26,8
2020-05-03,0
2020-05-10,4
2020-05-17,4
2020-05-24,7
2020-05-31,4
2020-06-07,10
2020-06-14,13
2020-06-21,7
2020-06-28,17
2020-07-05,29
2020-07-12,29
2020-07-19,35
