Categoría: Todas las categorías

Semana,es vedra: (Francia)
2015-08-02,64
2015-08-09,39
2015-08-16,57
2015-08-23,34
2015-08-30,0
2015-09-06,34
2015-09-13,32
2015-09-20,33
2015-09-27,0
2015-10-04,32
2015-10-11,32
2015-10-18,65
2015-10-25,0
2015-11-01,0
2015-11-08,32
2015-11-15,0
2015-11-22,0
2015-11-29,0
2015-12-06,0
2015-12-13,0
2015-12-20,0
2015-12-27,0
2016-01-03,0
2016-01-10,0
2016-01-17,32
2016-01-24,0
2016-01-31,32
2016-02-07,31
2016-02-14,32
2016-02-21,0
2016-02-28,0
2016-03-06,0
2016-03-13,0
2016-03-20,32
2016-03-27,0
2016-04-03,0
2016-04-10,100
2016-04-17,33
2016-04-24,33
2016-05-01,35
2016-05-08,32
2016-05-15,34
2016-05-22,33
2016-05-29,64
2016-06-05,33
2016-06-12,32
2016-06-19,0
2016-06-26,34
2016-07-03,54
2016-07-10,0
2016-07-17,0
2016-07-24,0
2016-07-31,82
2016-08-07,43
2016-08-14,44
2016-08-21,40
2016-08-28,36
2016-09-04,0
2016-09-11,36
2016-09-18,36
2016-09-25,35
2016-10-02,0
2016-10-09,0
2016-10-16,36
2016-10-23,0
2016-10-30,35
2016-11-06,0
2016-11-13,34
2016-11-20,0
2016-11-27,0
2016-12-04,32
2016-12-11,33
2016-12-18,35
2016-12-25,0
2017-01-01,33
2017-01-08,0
2017-01-15,32
2017-01-22,0
2017-01-29,63
2017-02-05,64
2017-02-12,0
2017-02-19,0
2017-02-26,31
2017-03-05,0
2017-03-12,0
2017-03-19,31
2017-03-26,0
2017-04-02,0
2017-04-09,34
2017-04-16,0
2017-04-23,0
2017-04-30,31
2017-05-07,0
2017-05-14,0
2017-05-21,0
2017-05-28,33
2017-06-04,0
2017-06-11,0
2017-06-18,0
2017-06-25,33
2017-07-02,46
2017-07-09,70
2017-07-16,52
2017-07-23,85
2017-07-30,34
2017-08-06,47
2017-08-13,55
2017-08-20,51
2017-08-27,0
2017-09-03,32
2017-09-10,31
2017-09-17,32
2017-09-24,32
2017-10-01,0
2017-10-08,0
2017-10-15,32
2017-10-22,32
2017-10-29,0
2017-11-05,30
2017-11-12,0
2017-11-19,0
2017-11-26,0
2017-12-03,0
2017-12-10,30
2017-12-17,32
2017-12-24,35
2017-12-31,32
2018-01-07,30
2018-01-14,30
2018-01-21,0
2018-01-28,0
2018-02-04,29
2018-02-11,60
2018-02-18,0
2018-02-25,30
2018-03-04,31
2018-03-11,30
2018-03-18,0
2018-03-25,0
2018-04-01,31
2018-04-08,31
2018-04-15,33
2018-04-22,31
2018-04-29,61
2018-05-06,32
2018-05-13,30
2018-05-20,31
2018-05-27,0
2018-06-03,30
2018-06-10,29
2018-06-17,0
2018-06-24,0
2018-07-01,45
2018-07-08,31
2018-07-15,33
2018-07-22,33
2018-07-29,33
2018-08-05,50
2018-08-12,68
2018-08-19,33
2018-08-26,0
2018-09-02,0
2018-09-09,31
2018-09-16,61
2018-09-23,0
2018-09-30,31
2018-10-07,31
2018-10-14,31
2018-10-21,0
2018-10-28,31
2018-11-04,0
2018-11-11,0
2018-11-18,0
2018-11-25,0
2018-12-02,0
2018-12-09,0
2018-12-16,31
2018-12-23,0
2018-12-30,33
2019-01-06,0
2019-01-13,30
2019-01-20,29
2019-01-27,29
2019-02-03,29
2019-02-10,0
2019-02-17,31
2019-02-24,31
2019-03-03,30
2019-03-10,0
2019-03-17,31
2019-03-24,0
2019-03-31,30
2019-04-07,30
2019-04-14,31
2019-04-21,0
2019-04-28,0
2019-05-05,0
2019-05-12,60
2019-05-19,30
2019-05-26,30
2019-06-02,42
2019-06-09,0
2019-06-16,30
2019-06-23,60
2019-06-30,44
2019-07-07,0
2019-07-14,31
2019-07-21,31
2019-07-28,32
2019-08-04,43
2019-08-11,53
2019-08-18,47
2019-08-25,45
2019-09-01,29
2019-09-08,58
2019-09-15,29
2019-09-22,28
2019-09-29,27
2019-10-06,28
2019-10-13,28
2019-10-20,0
2019-10-27,0
2019-11-03,27
2019-11-10,0
2019-11-17,0
2019-11-24,53
2019-12-01,27
2019-12-08,0
2019-12-15,54
2019-12-22,0
2019-12-29,0
2020-01-05,26
2020-01-12,26
2020-01-19,0
2020-01-26,26
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,25
2020-03-01,25
2020-03-08,0
2020-03-15,0
2020-03-22,0
2020-03-29,0
2020-04-05,0
2020-04-12,24
2020-04-19,23
2020-04-26,22
2020-05-03,45
2020-05-10,0
2020-05-17,0
2020-05-24,0
2020-05-31,0
2020-06-07,23
2020-06-14,0
2020-06-21,38
2020-06-28,98
2020-07-05,26
2020-07-12,55
2020-07-19,0
