Categoría: Todas las categorías

Semana,formentor: (Francia)
2015-08-02,27
2015-08-09,21
2015-08-16,32
2015-08-23,28
2015-08-30,22
2015-09-06,13
2015-09-13,9
2015-09-20,9
2015-09-27,0
2015-10-04,0
2015-10-11,9
2015-10-18,9
2015-10-25,9
2015-11-01,9
2015-11-08,9
2015-11-15,9
2015-11-22,0
2015-11-29,0
2015-12-06,0
2015-12-13,9
2015-12-20,0
2015-12-27,10
2016-01-03,9
2016-01-10,9
2016-01-17,9
2016-01-24,9
2016-01-31,9
2016-02-07,17
2016-02-14,0
2016-02-21,9
2016-02-28,0
2016-03-06,9
2016-03-13,18
2016-03-20,9
2016-03-27,12
2016-04-03,15
2016-04-10,12
2016-04-17,9
2016-04-24,9
2016-05-01,10
2016-05-08,13
2016-05-15,9
2016-05-22,18
2016-05-29,18
2016-06-05,15
2016-06-12,9
2016-06-19,14
2016-06-26,19
2016-07-03,10
2016-07-10,39
2016-07-17,27
2016-07-24,16
2016-07-31,26
2016-08-07,16
2016-08-14,12
2016-08-21,33
2016-08-28,25
2016-09-04,30
2016-09-11,24
2016-09-18,10
2016-09-25,13
2016-10-02,25
2016-10-09,10
2016-10-16,0
2016-10-23,0
2016-10-30,29
2016-11-06,9
2016-11-13,0
2016-11-20,9
2016-11-27,9
2016-12-04,9
2016-12-11,19
2016-12-18,0
2016-12-25,0
2017-01-01,14
2017-01-08,17
2017-01-15,9
2017-01-22,17
2017-01-29,14
2017-02-05,9
2017-02-12,9
2017-02-19,0
2017-02-26,9
2017-03-05,17
2017-03-12,12
2017-03-19,17
2017-03-26,27
2017-04-02,15
2017-04-09,16
2017-04-16,19
2017-04-23,17
2017-04-30,13
2017-05-07,9
2017-05-14,32
2017-05-21,20
2017-05-28,23
2017-06-04,16
2017-06-11,15
2017-06-18,18
2017-06-25,23
2017-07-02,9
2017-07-09,29
2017-07-16,10
2017-07-23,43
2017-07-30,29
2017-08-06,32
2017-08-13,37
2017-08-20,32
2017-08-27,35
2017-09-03,9
2017-09-10,9
2017-09-17,24
2017-09-24,13
2017-10-01,9
2017-10-08,9
2017-10-15,9
2017-10-22,9
2017-10-29,9
2017-11-05,8
2017-11-12,17
2017-11-19,8
2017-11-26,8
2017-12-03,8
2017-12-10,17
2017-12-17,9
2017-12-24,10
2017-12-31,9
2018-01-07,0
2018-01-14,17
2018-01-21,8
2018-01-28,8
2018-02-04,12
2018-02-11,8
2018-02-18,9
2018-02-25,17
2018-03-04,14
2018-03-11,11
2018-03-18,8
2018-03-25,14
2018-04-01,26
2018-04-08,25
2018-04-15,21
2018-04-22,12
2018-04-29,11
2018-05-06,18
2018-05-13,21
2018-05-20,13
2018-05-27,17
2018-06-03,22
2018-06-10,28
2018-06-17,8
2018-06-24,17
2018-07-01,25
2018-07-08,29
2018-07-15,21
2018-07-22,30
2018-07-29,21
2018-08-05,31
2018-08-12,66
2018-08-19,21
2018-08-26,44
2018-09-02,52
2018-09-09,26
2018-09-16,11
2018-09-23,20
2018-09-30,17
2018-10-07,17
2018-10-14,17
2018-10-21,30
2018-10-28,20
2018-11-04,8
2018-11-11,0
2018-11-18,8
2018-11-25,17
2018-12-02,8
2018-12-09,8
2018-12-16,13
2018-12-23,29
2018-12-30,0
2019-01-06,17
2019-01-13,17
2019-01-20,22
2019-01-27,19
2019-02-03,16
2019-02-10,17
2019-02-17,41
2019-02-24,23
2019-03-03,33
2019-03-10,33
2019-03-17,20
2019-03-24,31
2019-03-31,17
2019-04-07,25
2019-04-14,26
2019-04-21,30
2019-04-28,29
2019-05-05,33
2019-05-12,55
2019-05-19,24
2019-05-26,44
2019-06-02,29
2019-06-09,27
2019-06-16,25
2019-06-23,28
2019-06-30,33
2019-07-07,33
2019-07-14,40
2019-07-21,23
2019-07-28,36
2019-08-04,48
2019-08-11,65
2019-08-18,35
2019-08-25,52
2019-09-01,21
2019-09-08,37
2019-09-15,32
2019-09-22,43
2019-09-29,28
2019-10-06,16
2019-10-13,21
2019-10-20,26
2019-10-27,64
2019-11-03,15
2019-11-10,18
2019-11-17,23
2019-11-24,22
2019-12-01,15
2019-12-08,22
2019-12-15,15
2019-12-22,8
2019-12-29,29
2020-01-05,12
2020-01-12,17
2020-01-19,20
2020-01-26,14
2020-02-02,15
2020-02-09,19
2020-02-16,24
2020-02-23,21
2020-03-01,100
2020-03-08,97
2020-03-15,23
2020-03-22,16
2020-03-29,19
2020-04-05,23
2020-04-12,18
2020-04-19,19
2020-04-26,25
2020-05-03,25
2020-05-10,33
2020-05-17,44
2020-05-24,43
2020-05-31,36
2020-06-07,54
2020-06-14,84
2020-06-21,74
2020-06-28,39
2020-07-05,39
2020-07-12,48
2020-07-19,66
