Categoría: Todas las categorías

Semana,cala galdana: (Francia)
2015-08-02,40
2015-08-09,0
2015-08-16,30
2015-08-23,27
2015-08-30,0
2015-09-06,26
2015-09-13,25
2015-09-20,0
2015-09-27,0
2015-10-04,0
2015-10-11,0
2015-10-18,0
2015-10-25,0
2015-11-01,0
2015-11-08,0
2015-11-15,0
2015-11-22,0
2015-11-29,0
2015-12-06,0
2015-12-13,25
2015-12-20,0
2015-12-27,0
2016-01-03,0
2016-01-10,24
2016-01-17,24
2016-01-24,25
2016-01-31,0
2016-02-07,24
2016-02-14,38
2016-02-21,25
2016-02-28,24
2016-03-06,50
2016-03-13,25
2016-03-20,0
2016-03-27,25
2016-04-03,0
2016-04-10,0
2016-04-17,26
2016-04-24,0
2016-05-01,27
2016-05-08,37
2016-05-15,26
2016-05-22,51
2016-05-29,74
2016-06-05,0
2016-06-12,25
2016-06-19,0
2016-06-26,26
2016-07-03,28
2016-07-10,50
2016-07-17,60
2016-07-24,30
2016-07-31,31
2016-08-07,34
2016-08-14,34
2016-08-21,0
2016-08-28,28
2016-09-04,28
2016-09-11,54
2016-09-18,28
2016-09-25,0
2016-10-02,0
2016-10-09,0
2016-10-16,0
2016-10-23,0
2016-10-30,0
2016-11-06,0
2016-11-13,0
2016-11-20,26
2016-11-27,26
2016-12-04,25
2016-12-11,26
2016-12-18,27
2016-12-25,0
2017-01-01,25
2017-01-08,0
2017-01-15,0
2017-01-22,24
2017-01-29,24
2017-02-05,0
2017-02-12,76
2017-02-19,25
2017-02-26,35
2017-03-05,24
2017-03-12,24
2017-03-19,24
2017-03-26,25
2017-04-02,51
2017-04-09,26
2017-04-16,26
2017-04-23,49
2017-04-30,0
2017-05-07,24
2017-05-14,26
2017-05-21,28
2017-05-28,25
2017-06-04,78
2017-06-11,51
2017-06-18,25
2017-06-25,63
2017-07-02,40
2017-07-09,27
2017-07-16,27
2017-07-23,26
2017-07-30,27
2017-08-06,72
2017-08-13,57
2017-08-20,53
2017-08-27,25
2017-09-03,0
2017-09-10,0
2017-09-17,25
2017-09-24,24
2017-10-01,0
2017-10-08,49
2017-10-15,33
2017-10-22,0
2017-10-29,0
2017-11-05,23
2017-11-12,0
2017-11-19,24
2017-11-26,0
2017-12-03,0
2017-12-10,0
2017-12-17,25
2017-12-24,81
2017-12-31,25
2018-01-07,0
2018-01-14,23
2018-01-21,34
2018-01-28,23
2018-02-04,0
2018-02-11,23
2018-02-18,0
2018-02-25,35
2018-03-04,71
2018-03-11,39
2018-03-18,24
2018-03-25,24
2018-04-01,24
2018-04-08,36
2018-04-15,76
2018-04-22,24
2018-04-29,96
2018-05-06,25
2018-05-13,35
2018-05-20,24
2018-05-27,23
2018-06-03,31
2018-06-10,37
2018-06-17,24
2018-06-24,95
2018-07-01,23
2018-07-08,24
2018-07-15,25
2018-07-22,25
2018-07-29,26
2018-08-05,52
2018-08-12,53
2018-08-19,68
2018-08-26,25
2018-09-02,24
2018-09-09,24
2018-09-16,24
2018-09-23,36
2018-09-30,24
2018-10-07,24
2018-10-14,36
2018-10-21,24
2018-10-28,24
2018-11-04,23
2018-11-11,23
2018-11-18,23
2018-11-25,0
2018-12-02,23
2018-12-09,0
2018-12-16,0
2018-12-23,0
2018-12-30,26
2019-01-06,35
2019-01-13,23
2019-01-20,34
2019-01-27,0
2019-02-03,23
2019-02-10,32
2019-02-17,24
2019-02-24,24
2019-03-03,0
2019-03-10,58
2019-03-17,48
2019-03-24,24
2019-03-31,35
2019-04-07,47
2019-04-14,32
2019-04-21,24
2019-04-28,23
2019-05-05,34
2019-05-12,23
2019-05-19,46
2019-05-26,35
2019-06-02,43
2019-06-09,22
2019-06-16,46
2019-06-23,31
2019-06-30,34
2019-07-07,23
2019-07-14,36
2019-07-21,24
2019-07-28,33
2019-08-04,100
2019-08-11,0
2019-08-18,41
2019-08-25,69
2019-09-01,22
2019-09-08,22
2019-09-15,33
2019-09-22,32
2019-09-29,21
2019-10-06,22
2019-10-13,22
2019-10-20,0
2019-10-27,21
2019-11-03,21
2019-11-10,21
2019-11-17,21
2019-11-24,20
2019-12-01,0
2019-12-08,21
2019-12-15,21
2019-12-22,24
2019-12-29,0
2020-01-05,0
2020-01-12,40
2020-01-19,31
2020-01-26,20
2020-02-02,41
2020-02-09,20
2020-02-16,20
2020-02-23,29
2020-03-01,0
2020-03-08,0
2020-03-15,18
2020-03-22,18
2020-03-29,36
2020-04-05,18
2020-04-12,0
2020-04-19,18
2020-04-26,0
2020-05-03,17
2020-05-10,0
2020-05-17,39
2020-05-24,0
2020-05-31,18
2020-06-07,18
2020-06-14,38
2020-06-21,20
2020-06-28,19
2020-07-05,20
2020-07-12,21
2020-07-19,43
