Categoría: Todas las categorías

Semana,albufera: (Francia)
2015-08-02,66
2015-08-09,66
2015-08-16,41
2015-08-23,24
2015-08-30,21
2015-09-06,29
2015-09-13,27
2015-09-20,19
2015-09-27,21
2015-10-04,21
2015-10-11,19
2015-10-18,23
2015-10-25,14
2015-11-01,47
2015-11-08,13
2015-11-15,33
2015-11-22,13
2015-11-29,35
2015-12-06,27
2015-12-13,28
2015-12-20,36
2015-12-27,41
2016-01-03,27
2016-01-10,27
2016-01-17,18
2016-01-24,41
2016-01-31,68
2016-02-07,36
2016-02-14,51
2016-02-21,23
2016-02-28,45
2016-03-06,48
2016-03-13,42
2016-03-20,34
2016-03-27,35
2016-04-03,69
2016-04-10,43
2016-04-17,52
2016-04-24,37
2016-05-01,45
2016-05-08,28
2016-05-15,51
2016-05-22,42
2016-05-29,68
2016-06-05,24
2016-06-12,64
2016-06-19,39
2016-06-26,24
2016-07-03,52
2016-07-10,91
2016-07-17,61
2016-07-24,28
2016-07-31,61
2016-08-07,44
2016-08-14,68
2016-08-21,34
2016-08-28,46
2016-09-04,36
2016-09-11,50
2016-09-18,23
2016-09-25,35
2016-10-02,31
2016-10-09,45
2016-10-16,38
2016-10-23,30
2016-10-30,25
2016-11-06,14
2016-11-13,44
2016-11-20,23
2016-11-27,14
2016-12-04,28
2016-12-11,24
2016-12-18,38
2016-12-25,24
2017-01-01,28
2017-01-08,27
2017-01-15,23
2017-01-22,45
2017-01-29,22
2017-02-05,37
2017-02-12,49
2017-02-19,55
2017-02-26,22
2017-03-05,31
2017-03-12,20
2017-03-19,47
2017-03-26,47
2017-04-02,19
2017-04-09,53
2017-04-16,67
2017-04-23,49
2017-04-30,36
2017-05-07,63
2017-05-14,66
2017-05-21,31
2017-05-28,66
2017-06-04,43
2017-06-11,28
2017-06-18,28
2017-06-25,37
2017-07-02,44
2017-07-09,52
2017-07-16,67
2017-07-23,49
2017-07-30,49
2017-08-06,65
2017-08-13,68
2017-08-20,20
2017-08-27,48
2017-09-03,27
2017-09-10,22
2017-09-17,23
2017-09-24,40
2017-10-01,47
2017-10-08,22
2017-10-15,20
2017-10-22,13
2017-10-29,33
2017-11-05,26
2017-11-12,13
2017-11-19,20
2017-11-26,26
2017-12-03,20
2017-12-10,17
2017-12-17,45
2017-12-24,25
2017-12-31,50
2018-01-07,26
2018-01-14,59
2018-01-21,34
2018-01-28,30
2018-02-04,13
2018-02-11,32
2018-02-18,20
2018-02-25,30
2018-03-04,52
2018-03-11,52
2018-03-18,43
2018-03-25,26
2018-04-01,20
2018-04-08,48
2018-04-15,42
2018-04-22,45
2018-04-29,40
2018-05-06,41
2018-05-13,48
2018-05-20,53
2018-05-27,70
2018-06-03,26
2018-06-10,33
2018-06-17,48
2018-06-24,44
2018-07-01,47
2018-07-08,53
2018-07-15,51
2018-07-22,56
2018-07-29,33
2018-08-05,61
2018-08-12,68
2018-08-19,42
2018-08-26,23
2018-09-02,22
2018-09-09,31
2018-09-16,22
2018-09-23,33
2018-09-30,44
2018-10-07,39
2018-10-14,26
2018-10-21,31
2018-10-28,27
2018-11-04,26
2018-11-11,19
2018-11-18,34
2018-11-25,26
2018-12-02,51
2018-12-09,20
2018-12-16,93
2018-12-23,75
2018-12-30,70
2019-01-06,73
2019-01-13,84
2019-01-20,75
2019-01-27,41
2019-02-03,29
2019-02-10,35
2019-02-17,63
2019-02-24,39
2019-03-03,38
2019-03-10,60
2019-03-17,53
2019-03-24,46
2019-03-31,69
2019-04-07,43
2019-04-14,58
2019-04-21,61
2019-04-28,34
2019-05-05,54
2019-05-12,38
2019-05-19,55
2019-05-26,34
2019-06-02,56
2019-06-09,53
2019-06-16,34
2019-06-23,25
2019-06-30,38
2019-07-07,57
2019-07-14,40
2019-07-21,45
2019-07-28,69
2019-08-04,69
2019-08-11,100
2019-08-18,20
2019-08-25,42
2019-09-01,21
2019-09-08,49
2019-09-15,33
2019-09-22,36
2019-09-29,39
2019-10-06,40
2019-10-13,64
2019-10-20,24
2019-10-27,24
2019-11-03,15
2019-11-10,47
2019-11-17,46
2019-11-24,26
2019-12-01,40
2019-12-08,38
2019-12-15,27
2019-12-22,56
2019-12-29,25
2020-01-05,49
2020-01-12,30
2020-01-19,38
2020-01-26,37
2020-02-02,30
2020-02-09,26
2020-02-16,45
2020-02-23,29
2020-03-01,29
2020-03-08,25
2020-03-15,10
2020-03-22,20
2020-03-29,10
2020-04-05,10
2020-04-12,17
2020-04-19,27
2020-04-26,13
2020-05-03,19
2020-05-10,0
2020-05-17,11
2020-05-24,31
2020-05-31,26
2020-06-07,30
2020-06-14,35
2020-06-21,18
2020-06-28,32
2020-07-05,37
2020-07-12,24
2020-07-19,48
