index, Castell de bellver: (Todo el mundo),cuevas del drach: (Todo el mundo),Cabo de Formentor: (Todo el mundo),Palma Aquarium: (Todo el mundo),Soller: (Todo el mundo),Cala Galdana: (Todo el mundo),Cala Mitjana: (Todo el mundo),Monte Toro: (Todo el mundo),Cala Macarella: (Todo el mundo),Cala Macarelleta: (Todo el mundo),Albufera: (Todo el mundo),Cala Pregonda: (Todo el mundo),Faro de Favaritx: (Todo el mundo),Cala Benirras: (Todo el mundo),Es Vedra: (Todo el mundo),ses Salines: (Todo el mundo),Cala Salada: (Todo el mundo),Ses Illetes: (Todo el mundo),Es Pujols: (Todo el mundo),Cap de Barbaria: (Todo el mundo),Ses Platgetes: (Todo el mundo),magaluf: (Todo el mundo),date
0,76,91,83,68,74,67,64,35,69,71,66,59,71,59,54,70,80,29,79,35,93,86,2015-08-01
1,49,44,26,46,66,36,22,40,30,42,56,29,67,28,34,45,27,13,36,33,44,51,2015-09-01
2,56,20,26,46,57,20,9,32,11,10,52,8,34,16,29,34,15,7,20,19,43,26,2015-10-01
3,55,17,52,22,34,18,7,36,5,10,47,8,0,11,18,22,7,9,16,19,0,18,2015-11-01
4,54,15,29,19,35,12,5,33,9,11,52,6,0,12,22,15,9,8,19,22,0,21,2015-12-01
5,50,16,54,21,49,25,9,36,14,32,62,11,0,33,41,25,14,15,40,21,0,54,2016-01-01
6,50,14,27,25,48,29,7,70,15,21,60,14,0,22,41,28,12,100,55,20,45,56,2016-02-01
7,90,31,28,40,56,32,10,44,13,11,70,11,35,23,31,34,12,32,54,61,0,48,2016-03-01
8,100,20,27,33,63,36,9,36,29,21,64,11,34,34,38,38,20,17,68,40,45,72,2016-04-01
9,66,34,27,45,68,62,20,36,32,43,65,36,0,50,49,50,41,19,73,41,69,67,2016-05-01
10,60,38,42,44,73,62,37,49,57,47,64,41,36,58,53,52,53,24,88,41,47,83,2016-06-01
11,99,70,38,63,76,71,67,41,64,61,66,80,37,56,73,76,70,38,95,65,95,86,2016-07-01
12,79,67,60,63,76,61,61,53,60,100,67,66,39,67,56,72,81,32,86,46,100,71,2016-08-01
13,52,47,41,51,72,43,42,59,38,29,55,31,36,65,46,49,62,29,64,62,46,48,2016-09-01
14,51,24,55,54,60,20,15,34,17,11,53,6,35,17,26,32,14,8,22,31,46,29,2016-10-01
15,25,14,27,21,31,16,11,29,11,10,45,5,34,11,39,22,6,5,11,20,0,23,2016-11-01
16,35,11,0,14,33,11,8,46,9,22,50,5,36,11,15,16,10,6,24,21,0,16,2016-12-01
17,46,15,27,17,45,26,12,38,11,30,54,8,0,11,27,25,13,10,41,38,42,42,2017-01-01
18,61,22,37,21,48,30,7,31,19,36,54,15,31,17,17,33,15,13,40,37,0,32,2017-02-01
19,61,28,33,31,56,38,10,35,16,39,58,15,31,15,24,27,15,9,48,27,41,39,2017-03-01
20,54,42,51,38,68,39,17,40,34,39,73,13,97,28,43,49,23,12,51,28,42,53,2017-04-01
21,65,29,53,44,72,49,24,43,32,46,64,22,34,55,36,46,41,17,72,100,45,61,2017-05-01
22,59,52,66,49,79,65,47,34,52,94,68,64,34,43,54,86,62,27,100,59,57,100,2017-06-01
23,67,63,54,73,83,100,65,49,74,85,66,67,66,93,71,69,85,31,98,59,45,96,2017-07-01
24,48,71,51,78,86,73,72,49,67,81,70,61,100,61,89,71,88,25,65,68,65,66,2017-08-01
25,31,53,100,68,74,63,64,48,42,36,63,37,64,42,71,42,64,19,74,47,43,55,2017-09-01
26,39,32,25,79,59,24,15,36,16,30,63,15,32,28,43,39,23,13,19,25,41,29,2017-10-01
27,45,18,48,29,39,12,7,37,10,14,58,10,31,10,31,21,7,5,11,18,0,17,2017-11-01
28,42,16,27,24,39,31,5,36,11,15,53,10,0,20,22,24,6,7,21,20,41,25,2017-12-01
29,30,23,24,20,45,26,8,40,13,28,59,10,30,10,15,28,26,10,40,18,0,35,2018-01-01
30,29,27,31,29,52,21,6,40,8,37,55,10,59,16,23,23,12,10,33,18,39,26,2018-02-01
31,75,31,46,53,75,32,12,33,10,21,74,15,31,14,41,37,14,10,39,18,0,36,2018-03-01
32,45,51,48,73,81,42,15,37,24,22,67,12,30,52,56,59,31,18,53,29,40,58,2018-04-01
33,45,38,24,55,76,57,22,47,41,28,67,27,46,50,51,59,44,13,55,45,40,65,2018-05-01
34,59,48,47,61,79,63,58,47,64,70,60,44,30,53,63,56,64,24,83,41,40,79,2018-06-01
35,73,72,47,80,90,84,74,49,75,77,73,70,61,75,79,78,88,31,90,48,61,96,2018-07-01
36,66,82,72,81,88,74,84,67,94,43,78,94,60,100,77,100,97,31,77,66,81,69,2018-08-01
37,57,74,69,65,78,53,60,42,84,33,66,40,88,48,67,54,63,27,50,63,78,53,2018-09-01
38,44,37,47,73,66,21,17,36,13,23,62,7,59,36,39,45,17,7,23,26,0,32,2018-10-01
39,36,14,23,23,37,9,9,35,7,9,51,5,29,14,12,18,8,4,14,18,0,16,2018-11-01
40,78,16,51,27,39,17,17,30,11,18,61,13,0,11,19,18,14,4,20,17,0,21,2018-12-01
41,44,18,23,25,44,26,7,69,12,18,75,9,0,10,22,25,10,7,43,34,0,34,2019-01-01
42,49,23,45,27,52,21,11,51,19,22,74,14,29,14,21,22,9,22,35,17,0,28,2019-02-01
43,57,31,45,36,64,24,10,33,26,18,93,14,57,29,45,34,23,7,42,26,0,37,2019-03-01
44,80,47,47,96,83,36,21,40,18,15,81,22,30,49,46,56,33,11,41,24,40,50,2019-04-01
45,70,34,23,67,78,62,29,56,34,27,70,14,29,41,58,48,45,21,56,52,57,53,2019-05-01
46,70,61,44,67,85,70,68,67,78,57,76,62,44,64,83,61,64,27,79,50,38,70,2019-06-01
47,86,99,79,97,89,83,74,72,100,77,90,80,30,74,76,84,87,32,96,53,59,73,2019-07-01
48,50,100,81,100,100,72,100,75,96,81,100,100,59,81,100,90,100,34,81,91,57,65,2019-08-01
49,55,73,51,99,83,64,66,60,68,43,66,53,42,55,69,66,65,22,67,41,37,55,2019-09-01
50,40,34,21,83,67,34,18,33,20,17,68,15,54,30,45,40,21,10,41,32,36,27,2019-10-01
51,26,18,21,36,40,14,6,44,5,8,56,9,27,13,15,25,7,5,17,16,0,14,2019-11-01
52,40,13,22,27,39,44,10,36,14,22,67,5,0,10,37,27,11,5,18,35,0,20,2019-12-01
53,52,16,21,20,51,28,10,42,14,19,71,9,0,21,26,31,7,9,32,15,35,38,2020-01-01
54,43,23,26,23,50,24,8,40,15,16,68,8,26,16,19,25,11,8,20,15,0,25,2020-02-01
55,24,24,19,26,45,18,6,62,10,13,57,8,25,8,24,29,8,8,24,15,32,20,2020-03-01
56,22,8,37,5,24,8,7,100,11,18,41,4,24,8,31,21,6,5,18,14,0,12,2020-04-01
57,35,12,28,8,28,14,14,44,14,22,49,11,24,16,38,25,13,6,19,14,31,15,2020-05-01
58,48,12,45,15,40,38,20,30,28,20,56,24,48,24,37,37,20,17,50,34,65,22,2020-06-01
59,26,23,40,29,69,54,34,45,40,32,60,41,50,54,53,50,30,22,67,44,47,52,2020-07-01
