Categoría: Todas las categorías

Semana,cuevas del drach: (Todo el mundo)
2015-08-02,70
2015-08-09,71
2015-08-16,91
2015-08-23,65
2015-08-30,55
2015-09-06,44
2015-09-13,34
2015-09-20,27
2015-09-27,26
2015-10-04,17
2015-10-11,16
2015-10-18,20
2015-10-25,12
2015-11-01,11
2015-11-08,17
2015-11-15,10
2015-11-22,10
2015-11-29,6
2015-12-06,15
2015-12-13,8
2015-12-20,4
2015-12-27,11
2016-01-03,11
2016-01-10,16
2016-01-17,15
2016-01-24,6
2016-01-31,15
2016-02-07,10
2016-02-14,11
2016-02-21,14
2016-02-28,11
2016-03-06,14
2016-03-13,17
2016-03-20,31
2016-03-27,21
2016-04-03,20
2016-04-10,12
2016-04-17,19
2016-04-24,18
2016-05-01,28
2016-05-08,34
2016-05-15,28
2016-05-22,27
2016-05-29,24
2016-06-05,33
2016-06-12,27
2016-06-19,31
2016-06-26,38
2016-07-03,50
2016-07-10,39
2016-07-17,44
2016-07-24,47
2016-07-31,70
2016-08-07,66
2016-08-14,62
2016-08-21,67
2016-08-28,51
2016-09-04,47
2016-09-11,28
2016-09-18,36
2016-09-25,29
2016-10-02,21
2016-10-09,24
2016-10-16,21
2016-10-23,11
2016-10-30,15
2016-11-06,14
2016-11-13,12
2016-11-20,10
2016-11-27,9
2016-12-04,8
2016-12-11,8
2016-12-18,5
2016-12-25,11
2017-01-01,13
2017-01-08,10
2017-01-15,12
2017-01-22,15
2017-01-29,12
2017-02-05,7
2017-02-12,22
2017-02-19,15
2017-02-26,19
2017-03-05,15
2017-03-12,10
2017-03-19,28
2017-03-26,14
2017-04-02,25
2017-04-09,42
2017-04-16,18
2017-04-23,22
2017-04-30,28
2017-05-07,22
2017-05-14,23
2017-05-21,29
2017-05-28,24
2017-06-04,52
2017-06-11,30
2017-06-18,33
2017-06-25,43
2017-07-02,50
2017-07-09,54
2017-07-16,59
2017-07-23,63
2017-07-30,63
2017-08-06,71
2017-08-13,70
2017-08-20,62
2017-08-27,49
2017-09-03,49
2017-09-10,53
2017-09-17,37
2017-09-24,27
2017-10-01,28
2017-10-08,30
2017-10-15,32
2017-10-22,22
2017-10-29,13
2017-11-05,13
2017-11-12,18
2017-11-19,7
2017-11-26,14
2017-12-03,13
2017-12-10,7
2017-12-17,9
2017-12-24,13
2017-12-31,16
2018-01-07,15
2018-01-14,10
2018-01-21,15
2018-01-28,23
2018-02-04,10
2018-02-11,15
2018-02-18,22
2018-02-25,27
2018-03-04,17
2018-03-11,17
2018-03-18,24
2018-03-25,31
2018-04-01,36
2018-04-08,30
2018-04-15,27
2018-04-22,26
2018-04-29,51
2018-05-06,38
2018-05-13,30
2018-05-20,32
2018-05-27,33
2018-06-03,37
2018-06-10,42
2018-06-17,34
2018-06-24,48
2018-07-01,42
2018-07-08,61
2018-07-15,58
2018-07-22,53
2018-07-29,72
2018-08-05,65
2018-08-12,82
2018-08-19,72
2018-08-26,65
2018-09-02,74
2018-09-09,41
2018-09-16,44
2018-09-23,30
2018-09-30,25
2018-10-07,37
2018-10-14,27
2018-10-21,28
2018-10-28,21
2018-11-04,14
2018-11-11,13
2018-11-18,11
2018-11-25,12
2018-12-02,14
2018-12-09,10
2018-12-16,9
2018-12-23,16
2018-12-30,11
2019-01-06,12
2019-01-13,11
2019-01-20,18
2019-01-27,11
2019-02-03,19
2019-02-10,20
2019-02-17,23
2019-02-24,21
2019-03-03,24
2019-03-10,21
2019-03-17,31
2019-03-24,26
2019-03-31,23
2019-04-07,34
2019-04-14,47
2019-04-21,40
2019-04-28,28
2019-05-05,26
2019-05-12,26
2019-05-19,34
2019-05-26,30
2019-06-02,41
2019-06-09,40
2019-06-16,61
2019-06-23,47
2019-06-30,52
2019-07-07,58
2019-07-14,71
2019-07-21,90
2019-07-28,99
2019-08-04,100
2019-08-11,99
2019-08-18,82
2019-08-25,72
2019-09-01,73
2019-09-08,61
2019-09-15,34
2019-09-22,40
2019-09-29,45
2019-10-06,34
2019-10-13,33
2019-10-20,25
2019-10-27,19
2019-11-03,17
2019-11-10,12
2019-11-17,18
2019-11-24,12
2019-12-01,11
2019-12-08,6
2019-12-15,7
2019-12-22,11
2019-12-29,13
2020-01-05,15
2020-01-12,16
2020-01-19,10
2020-01-26,11
2020-02-02,14
2020-02-09,23
2020-02-16,19
2020-02-23,19
2020-03-01,24
2020-03-08,10
2020-03-15,6
2020-03-22,2
2020-03-29,4
2020-04-05,8
2020-04-12,6
2020-04-19,4
2020-04-26,4
2020-05-03,12
2020-05-10,5
2020-05-17,5
2020-05-24,6
2020-05-31,9
2020-06-07,7
2020-06-14,8
2020-06-21,8
2020-06-28,12
2020-07-05,21
2020-07-12,22
2020-07-19,23
