Categoría: Todas las categorías

Semana,Es Pujols: (Todo el mundo)
2015-08-02,74
2015-08-09,79
2015-08-16,55
2015-08-23,62
2015-08-30,64
2015-09-06,36
2015-09-13,35
2015-09-20,23
2015-09-27,23
2015-10-04,20
2015-10-11,18
2015-10-18,8
2015-10-25,7
2015-11-01,9
2015-11-08,11
2015-11-15,7
2015-11-22,8
2015-11-29,16
2015-12-06,8
2015-12-13,7
2015-12-20,7
2015-12-27,19
2016-01-03,22
2016-01-10,33
2016-01-17,40
2016-01-24,36
2016-01-31,28
2016-02-07,21
2016-02-14,36
2016-02-21,53
2016-02-28,55
2016-03-06,39
2016-03-13,54
2016-03-20,40
2016-03-27,46
2016-04-03,50
2016-04-10,33
2016-04-17,68
2016-04-24,55
2016-05-01,65
2016-05-08,58
2016-05-15,52
2016-05-22,73
2016-05-29,69
2016-06-05,88
2016-06-12,68
2016-06-19,73
2016-06-26,80
2016-07-03,79
2016-07-10,95
2016-07-17,83
2016-07-24,71
2016-07-31,61
2016-08-07,63
2016-08-14,52
2016-08-21,56
2016-08-28,86
2016-09-04,64
2016-09-11,54
2016-09-18,39
2016-09-25,29
2016-10-02,18
2016-10-09,14
2016-10-16,22
2016-10-23,17
2016-10-30,16
2016-11-06,11
2016-11-13,8
2016-11-20,9
2016-11-27,8
2016-12-04,7
2016-12-11,14
2016-12-18,24
2016-12-25,17
2017-01-01,25
2017-01-08,30
2017-01-15,28
2017-01-22,25
2017-01-29,41
2017-02-05,33
2017-02-12,29
2017-02-19,29
2017-02-26,40
2017-03-05,31
2017-03-12,47
2017-03-19,48
2017-03-26,25
2017-04-02,43
2017-04-09,41
2017-04-16,44
2017-04-23,51
2017-04-30,46
2017-05-07,48
2017-05-14,72
2017-05-21,55
2017-05-28,35
2017-06-04,72
2017-06-11,54
2017-06-18,80
2017-06-25,100
2017-07-02,98
2017-07-09,80
2017-07-16,79
2017-07-23,89
2017-07-30,81
2017-08-06,65
2017-08-13,61
2017-08-20,48
2017-08-27,55
2017-09-03,74
2017-09-10,43
2017-09-17,43
2017-09-24,15
2017-10-01,19
2017-10-08,16
2017-10-15,16
2017-10-22,13
2017-10-29,12
2017-11-05,6
2017-11-12,11
2017-11-19,11
2017-11-26,10
2017-12-03,10
2017-12-10,17
2017-12-17,7
2017-12-24,17
2017-12-31,21
2018-01-07,22
2018-01-14,26
2018-01-21,40
2018-01-28,23
2018-02-04,31
2018-02-11,33
2018-02-18,23
2018-02-25,27
2018-03-04,22
2018-03-11,39
2018-03-18,30
2018-03-25,34
2018-04-01,32
2018-04-08,53
2018-04-15,33
2018-04-22,37
2018-04-29,49
2018-05-06,53
2018-05-13,36
2018-05-20,55
2018-05-27,43
2018-06-03,67
2018-06-10,83
2018-06-17,53
2018-06-24,64
2018-07-01,77
2018-07-08,61
2018-07-15,56
2018-07-22,81
2018-07-29,90
2018-08-05,69
2018-08-12,77
2018-08-19,74
2018-08-26,68
2018-09-02,50
2018-09-09,47
2018-09-16,43
2018-09-23,30
2018-09-30,28
2018-10-07,23
2018-10-14,12
2018-10-21,9
2018-10-28,11
2018-11-04,11
2018-11-11,8
2018-11-18,8
2018-11-25,14
2018-12-02,4
2018-12-09,7
2018-12-16,6
2018-12-23,0
2018-12-30,20
2019-01-06,24
2019-01-13,43
2019-01-20,25
2019-01-27,25
2019-02-03,26
2019-02-10,26
2019-02-17,35
2019-02-24,23
2019-03-03,23
2019-03-10,32
2019-03-17,42
2019-03-24,25
2019-03-31,30
2019-04-07,40
2019-04-14,26
2019-04-21,26
2019-04-28,41
2019-05-05,56
2019-05-12,51
2019-05-19,54
2019-05-26,54
2019-06-02,66
2019-06-09,56
2019-06-16,59
2019-06-23,79
2019-06-30,48
2019-07-07,80
2019-07-14,68
2019-07-21,96
2019-07-28,70
2019-08-04,81
2019-08-11,66
2019-08-18,63
2019-08-25,72
2019-09-01,67
2019-09-08,54
2019-09-15,46
2019-09-22,34
2019-09-29,44
2019-10-06,41
2019-10-13,21
2019-10-20,11
2019-10-27,5
2019-11-03,10
2019-11-10,7
2019-11-17,17
2019-11-24,11
2019-12-01,15
2019-12-08,11
2019-12-15,10
2019-12-22,14
2019-12-29,18
2020-01-05,32
2020-01-12,31
2020-01-19,22
2020-01-26,25
2020-02-02,20
2020-02-09,13
2020-02-16,15
2020-02-23,18
2020-03-01,24
2020-03-08,16
2020-03-15,17
2020-03-22,11
2020-03-29,10
2020-04-05,18
2020-04-12,9
2020-04-19,15
2020-04-26,8
2020-05-03,14
2020-05-10,11
2020-05-17,13
2020-05-24,8
2020-05-31,19
2020-06-07,25
2020-06-14,33
2020-06-21,29
2020-06-28,50
2020-07-05,40
2020-07-12,43
2020-07-19,67
