Categoría: Todas las categorías

Semana,Cap de Barbaria: (Todo el mundo)
2015-08-02,0
2015-08-09,35
2015-08-16,21
2015-08-23,30
2015-08-30,0
2015-09-06,20
2015-09-13,33
2015-09-20,26
2015-09-27,20
2015-10-04,19
2015-10-11,19
2015-10-18,19
2015-10-25,0
2015-11-01,0
2015-11-08,0
2015-11-15,19
2015-11-22,19
2015-11-29,19
2015-12-06,19
2015-12-13,0
2015-12-20,0
2015-12-27,22
2016-01-03,21
2016-01-10,20
2016-01-17,0
2016-01-24,20
2016-01-31,20
2016-02-07,0
2016-02-14,20
2016-02-21,0
2016-02-28,19
2016-03-06,39
2016-03-13,0
2016-03-20,21
2016-03-27,61
2016-04-03,40
2016-04-10,0
2016-04-17,20
2016-04-24,30
2016-05-01,40
2016-05-08,20
2016-05-15,40
2016-05-22,20
2016-05-29,41
2016-06-05,34
2016-06-12,20
2016-06-19,28
2016-06-26,41
2016-07-03,33
2016-07-10,35
2016-07-17,36
2016-07-24,33
2016-07-31,65
2016-08-07,45
2016-08-14,46
2016-08-21,29
2016-08-28,42
2016-09-04,56
2016-09-11,35
2016-09-18,62
2016-09-25,41
2016-10-02,31
2016-10-09,21
2016-10-16,20
2016-10-23,20
2016-10-30,0
2016-11-06,20
2016-11-13,20
2016-11-20,20
2016-11-27,19
2016-12-04,19
2016-12-11,0
2016-12-18,21
2016-12-25,0
2017-01-01,20
2017-01-08,38
2017-01-15,31
2017-01-22,19
2017-01-29,19
2017-02-05,28
2017-02-12,19
2017-02-19,37
2017-02-26,18
2017-03-05,27
2017-03-12,18
2017-03-19,25
2017-03-26,19
2017-04-02,19
2017-04-09,19
2017-04-16,19
2017-04-23,28
2017-04-30,19
2017-05-07,46
2017-05-14,49
2017-05-21,100
2017-05-28,40
2017-06-04,59
2017-06-11,33
2017-06-18,26
2017-06-25,20
2017-07-02,31
2017-07-09,30
2017-07-16,47
2017-07-23,59
2017-07-30,39
2017-08-06,39
2017-08-13,0
2017-08-20,68
2017-08-27,39
2017-09-03,26
2017-09-10,44
2017-09-17,47
2017-09-24,19
2017-10-01,19
2017-10-08,25
2017-10-15,19
2017-10-22,18
2017-10-29,0
2017-11-05,18
2017-11-12,18
2017-11-19,18
2017-11-26,18
2017-12-03,0
2017-12-10,0
2017-12-17,19
2017-12-24,20
2017-12-31,19
2018-01-07,0
2018-01-14,18
2018-01-21,17
2018-01-28,18
2018-02-04,18
2018-02-11,18
2018-02-18,0
2018-02-25,0
2018-03-04,0
2018-03-11,0
2018-03-18,0
2018-03-25,18
2018-04-01,0
2018-04-08,17
2018-04-15,0
2018-04-22,29
2018-04-29,18
2018-05-06,18
2018-05-13,18
2018-05-20,45
2018-05-27,42
2018-06-03,30
2018-06-10,40
2018-06-17,41
2018-06-24,29
2018-07-01,29
2018-07-08,44
2018-07-15,48
2018-07-22,24
2018-07-29,47
2018-08-05,52
2018-08-12,35
2018-08-19,66
2018-08-26,35
2018-09-02,63
2018-09-09,34
2018-09-16,51
2018-09-23,34
2018-09-30,26
2018-10-07,17
2018-10-14,26
2018-10-21,17
2018-10-28,0
2018-11-04,17
2018-11-11,17
2018-11-18,18
2018-11-25,17
2018-12-02,17
2018-12-09,0
2018-12-16,0
2018-12-23,0
2018-12-30,0
2019-01-06,0
2019-01-13,34
2019-01-20,17
2019-01-27,0
2019-02-03,0
2019-02-10,17
2019-02-17,0
2019-02-24,0
2019-03-03,0
2019-03-10,17
2019-03-17,0
2019-03-24,26
2019-03-31,26
2019-04-07,17
2019-04-14,24
2019-04-21,18
2019-04-28,17
2019-05-05,26
2019-05-12,52
2019-05-19,25
2019-05-26,17
2019-06-02,17
2019-06-09,22
2019-06-16,40
2019-06-23,50
2019-06-30,29
2019-07-07,40
2019-07-14,40
2019-07-21,47
2019-07-28,53
2019-08-04,29
2019-08-11,52
2019-08-18,91
2019-08-25,39
2019-09-01,41
2019-09-08,33
2019-09-15,16
2019-09-22,16
2019-09-29,32
2019-10-06,16
2019-10-13,21
2019-10-20,32
2019-10-27,16
2019-11-03,16
2019-11-10,16
2019-11-17,16
2019-11-24,16
2019-12-01,16
2019-12-08,0
2019-12-15,33
2019-12-22,35
2019-12-29,0
2020-01-05,0
2020-01-12,15
2020-01-19,15
2020-01-26,15
2020-02-02,15
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,15
2020-03-08,0
2020-03-15,14
2020-03-22,0
2020-03-29,13
2020-04-05,0
2020-04-12,14
2020-04-19,14
2020-04-26,14
2020-05-03,14
2020-05-10,0
2020-05-17,0
2020-05-24,0
2020-05-31,14
2020-06-07,18
2020-06-14,0
2020-06-21,34
2020-06-28,19
2020-07-05,44
2020-07-12,37
2020-07-19,31
