Categoría: Todas las categorías

Semana,Cabo de Formentor: (Todo el mundo)
2015-08-02,83
2015-08-09,0
2015-08-16,27
2015-08-23,27
2015-08-30,40
2015-09-06,0
2015-09-13,0
2015-09-20,26
2015-09-27,0
2015-10-04,26
2015-10-11,0
2015-10-18,26
2015-10-25,26
2015-11-01,26
2015-11-08,52
2015-11-15,26
2015-11-22,0
2015-11-29,25
2015-12-06,0
2015-12-13,0
2015-12-20,0
2015-12-27,29
2016-01-03,27
2016-01-10,0
2016-01-17,54
2016-01-24,0
2016-01-31,0
2016-02-07,27
2016-02-14,0
2016-02-21,0
2016-02-28,26
2016-03-06,27
2016-03-13,26
2016-03-20,28
2016-03-27,27
2016-04-03,27
2016-04-10,27
2016-04-17,0
2016-04-24,0
2016-05-01,0
2016-05-08,0
2016-05-15,27
2016-05-22,0
2016-05-29,27
2016-06-05,27
2016-06-12,27
2016-06-19,27
2016-06-26,42
2016-07-03,29
2016-07-10,28
2016-07-17,28
2016-07-24,38
2016-07-31,29
2016-08-07,60
2016-08-14,40
2016-08-21,58
2016-08-28,42
2016-09-04,28
2016-09-11,0
2016-09-18,0
2016-09-25,41
2016-10-02,0
2016-10-09,54
2016-10-16,27
2016-10-23,0
2016-10-30,55
2016-11-06,26
2016-11-13,27
2016-11-20,0
2016-11-27,26
2016-12-04,0
2016-12-11,0
2016-12-18,0
2016-12-25,0
2017-01-01,27
2017-01-08,25
2017-01-15,25
2017-01-22,25
2017-01-29,25
2017-02-05,37
2017-02-12,25
2017-02-19,25
2017-02-26,24
2017-03-05,0
2017-03-12,24
2017-03-19,0
2017-03-26,33
2017-04-02,49
2017-04-09,51
2017-04-16,25
2017-04-23,24
2017-04-30,0
2017-05-07,0
2017-05-14,26
2017-05-21,0
2017-05-28,53
2017-06-04,39
2017-06-11,66
2017-06-18,38
2017-06-25,0
2017-07-02,54
2017-07-09,26
2017-07-16,54
2017-07-23,53
2017-07-30,39
2017-08-06,51
2017-08-13,43
2017-08-20,38
2017-08-27,43
2017-09-03,34
2017-09-10,100
2017-09-17,25
2017-09-24,50
2017-10-01,25
2017-10-08,0
2017-10-15,25
2017-10-22,0
2017-10-29,0
2017-11-05,0
2017-11-12,36
2017-11-19,48
2017-11-26,0
2017-12-03,0
2017-12-10,0
2017-12-17,0
2017-12-24,27
2017-12-31,0
2018-01-07,24
2018-01-14,0
2018-01-21,0
2018-01-28,0
2018-02-04,23
2018-02-11,24
2018-02-18,31
2018-02-25,0
2018-03-04,46
2018-03-11,23
2018-03-18,23
2018-03-25,32
2018-04-01,48
2018-04-08,46
2018-04-15,24
2018-04-22,23
2018-04-29,0
2018-05-06,0
2018-05-13,0
2018-05-20,24
2018-05-27,24
2018-06-03,24
2018-06-10,23
2018-06-17,23
2018-06-24,47
2018-07-01,47
2018-07-08,23
2018-07-15,24
2018-07-22,24
2018-07-29,39
2018-08-05,46
2018-08-12,63
2018-08-19,72
2018-08-26,35
2018-09-02,69
2018-09-09,38
2018-09-16,23
2018-09-23,23
2018-09-30,34
2018-10-07,23
2018-10-14,47
2018-10-21,23
2018-10-28,35
2018-11-04,0
2018-11-11,23
2018-11-18,23
2018-11-25,0
2018-12-02,35
2018-12-09,23
2018-12-16,0
2018-12-23,51
2018-12-30,25
2019-01-06,23
2019-01-13,0
2019-01-20,0
2019-01-27,22
2019-02-03,45
2019-02-10,0
2019-02-17,22
2019-02-24,22
2019-03-03,45
2019-03-10,22
2019-03-17,23
2019-03-24,30
2019-03-31,23
2019-04-07,0
2019-04-14,47
2019-04-21,23
2019-04-28,46
2019-05-05,23
2019-05-12,23
2019-05-19,22
2019-05-26,23
2019-06-02,34
2019-06-09,44
2019-06-16,34
2019-06-23,37
2019-06-30,0
2019-07-07,79
2019-07-14,38
2019-07-21,55
2019-07-28,47
2019-08-04,81
2019-08-11,53
2019-08-18,45
2019-08-25,37
2019-09-01,51
2019-09-08,43
2019-09-15,43
2019-09-22,43
2019-09-29,43
2019-10-06,0
2019-10-13,21
2019-10-20,21
2019-10-27,21
2019-11-03,0
2019-11-10,21
2019-11-17,0
2019-11-24,21
2019-12-01,21
2019-12-08,21
2019-12-15,22
2019-12-22,0
2019-12-29,22
2020-01-05,0
2020-01-12,20
2020-01-19,21
2020-01-26,0
2020-02-02,20
2020-02-09,20
2020-02-16,20
2020-02-23,26
2020-03-01,19
2020-03-08,19
2020-03-15,19
2020-03-22,19
2020-03-29,0
2020-04-05,0
2020-04-12,37
2020-04-19,19
2020-04-26,18
2020-05-03,27
2020-05-10,0
2020-05-17,25
2020-05-24,28
2020-05-31,18
2020-06-07,37
2020-06-14,28
2020-06-21,0
2020-06-28,45
2020-07-05,0
2020-07-12,40
2020-07-19,0
