Categoría: Todas las categorías

Semana,albufera: (Italia)
2015-08-02,11
2015-08-09,14
2015-08-16,0
2015-08-23,4
2015-08-30,13
2015-09-06,7
2015-09-13,7
2015-09-20,4
2015-09-27,7
2015-10-04,0
2015-10-11,4
2015-10-18,7
2015-10-25,7
2015-11-01,5
2015-11-08,7
2015-11-15,9
2015-11-22,7
2015-11-29,5
2015-12-06,4
2015-12-13,15
2015-12-20,0
2015-12-27,4
2016-01-03,0
2016-01-10,10
2016-01-17,8
2016-01-24,4
2016-01-31,10
2016-02-07,6
2016-02-14,11
2016-02-21,6
2016-02-28,15
2016-03-06,12
2016-03-13,4
2016-03-20,4
2016-03-27,17
2016-04-03,12
2016-04-10,4
2016-04-17,4
2016-04-24,6
2016-05-01,8
2016-05-08,8
2016-05-15,6
2016-05-22,8
2016-05-29,4
2016-06-05,4
2016-06-12,16
2016-06-19,14
2016-06-26,8
2016-07-03,11
2016-07-10,17
2016-07-17,7
2016-07-24,11
2016-07-31,14
2016-08-07,5
2016-08-14,16
2016-08-21,9
2016-08-28,13
2016-09-04,4
2016-09-11,8
2016-09-18,6
2016-09-25,8
2016-10-02,4
2016-10-09,20
2016-10-16,4
2016-10-23,16
2016-10-30,4
2016-11-06,8
2016-11-13,4
2016-11-20,12
2016-11-27,0
2016-12-04,8
2016-12-11,8
2016-12-18,4
2016-12-25,5
2017-01-01,10
2017-01-08,4
2017-01-15,4
2017-01-22,11
2017-01-29,7
2017-02-05,4
2017-02-12,6
2017-02-19,7
2017-02-26,5
2017-03-05,4
2017-03-12,11
2017-03-19,9
2017-03-26,12
2017-04-02,6
2017-04-09,8
2017-04-16,4
2017-04-23,4
2017-04-30,11
2017-05-07,4
2017-05-14,15
2017-05-21,18
2017-05-28,25
2017-06-04,8
2017-06-11,12
2017-06-18,10
2017-06-25,8
2017-07-02,4
2017-07-09,8
2017-07-16,8
2017-07-23,8
2017-07-30,8
2017-08-06,8
2017-08-13,11
2017-08-20,6
2017-08-27,11
2017-09-03,7
2017-09-10,0
2017-09-17,5
2017-09-24,7
2017-10-01,7
2017-10-08,4
2017-10-15,7
2017-10-22,7
2017-10-29,6
2017-11-05,14
2017-11-12,12
2017-11-19,11
2017-11-26,5
2017-12-03,9
2017-12-10,5
2017-12-17,12
2017-12-24,4
2017-12-31,4
2018-01-07,11
2018-01-14,7
2018-01-21,5
2018-01-28,19
2018-02-04,12
2018-02-11,14
2018-02-18,15
2018-02-25,10
2018-03-04,15
2018-03-11,8
2018-03-18,8
2018-03-25,4
2018-04-01,13
2018-04-08,17
2018-04-15,7
2018-04-22,14
2018-04-29,9
2018-05-06,20
2018-05-13,8
2018-05-20,10
2018-05-27,5
2018-06-03,5
2018-06-10,13
2018-06-17,14
2018-06-24,12
2018-07-01,7
2018-07-08,15
2018-07-15,10
2018-07-22,9
2018-07-29,16
2018-08-05,9
2018-08-12,8
2018-08-19,10
2018-08-26,12
2018-09-02,17
2018-09-09,5
2018-09-16,8
2018-09-23,8
2018-09-30,5
2018-10-07,16
2018-10-14,10
2018-10-21,10
2018-10-28,7
2018-11-04,8
2018-11-11,9
2018-11-18,8
2018-11-25,9
2018-12-02,14
2018-12-09,5
2018-12-16,7
2018-12-23,8
2018-12-30,13
2019-01-06,9
2019-01-13,10
2019-01-20,16
2019-01-27,3
2019-02-03,11
2019-02-10,16
2019-02-17,22
2019-02-24,8
2019-03-03,16
2019-03-10,5
2019-03-17,14
2019-03-24,19
2019-03-31,100
2019-04-07,75
2019-04-14,40
2019-04-21,45
2019-04-28,15
2019-05-05,18
2019-05-12,11
2019-05-19,15
2019-05-26,16
2019-06-02,13
2019-06-09,15
2019-06-16,10
2019-06-23,5
2019-06-30,7
2019-07-07,17
2019-07-14,15
2019-07-21,7
2019-07-28,11
2019-08-04,24
2019-08-11,14
2019-08-18,11
2019-08-25,12
2019-09-01,12
2019-09-08,7
2019-09-15,5
2019-09-22,13
2019-09-29,16
2019-10-06,11
2019-10-13,10
2019-10-20,12
2019-10-27,5
2019-11-03,8
2019-11-10,9
2019-11-17,6
2019-11-24,12
2019-12-01,11
2019-12-08,11
2019-12-15,6
2019-12-22,11
2019-12-29,12
2020-01-05,12
2020-01-12,9
2020-01-19,21
2020-01-26,9
2020-02-02,10
2020-02-09,10
2020-02-16,19
2020-02-23,13
2020-03-01,4
2020-03-08,3
2020-03-15,5
2020-03-22,2
2020-03-29,8
2020-04-05,5
2020-04-12,5
2020-04-19,9
2020-04-26,12
2020-05-03,4
2020-05-10,12
2020-05-17,5
2020-05-24,13
2020-05-31,4
2020-06-07,8
2020-06-14,6
2020-06-21,6
2020-06-28,9
2020-07-05,9
2020-07-12,9
2020-07-19,9
