Categoría: Todas las categorías

Semana,ses salines: (Italia)
2015-08-02,0
2015-08-09,90
2015-08-16,100
2015-08-23,26
2015-08-30,0
2015-09-06,48
2015-09-13,23
2015-09-20,23
2015-09-27,0
2015-10-04,23
2015-10-11,0
2015-10-18,0
2015-10-25,0
2015-11-01,0
2015-11-08,0
2015-11-15,0
2015-11-22,0
2015-11-29,0
2015-12-06,0
2015-12-13,0
2015-12-20,28
2015-12-27,0
2016-01-03,0
2016-01-10,0
2016-01-17,0
2016-01-24,25
2016-01-31,0
2016-02-07,0
2016-02-14,0
2016-02-21,0
2016-02-28,24
2016-03-06,75
2016-03-13,25
2016-03-20,0
2016-03-27,27
2016-04-03,0
2016-04-10,39
2016-04-17,0
2016-04-24,0
2016-05-01,0
2016-05-08,0
2016-05-15,26
2016-05-22,26
2016-05-29,26
2016-06-05,0
2016-06-12,38
2016-06-19,53
2016-06-26,54
2016-07-03,29
2016-07-10,69
2016-07-17,67
2016-07-24,48
2016-07-31,40
2016-08-07,65
2016-08-14,59
2016-08-21,30
2016-08-28,82
2016-09-04,0
2016-09-11,26
2016-09-18,26
2016-09-25,27
2016-10-02,0
2016-10-09,27
2016-10-16,27
2016-10-23,27
2016-10-30,27
2016-11-06,0
2016-11-13,0
2016-11-20,0
2016-11-27,0
2016-12-04,0
2016-12-11,0
2016-12-18,28
2016-12-25,30
2017-01-01,0
2017-01-08,25
2017-01-15,24
2017-01-22,24
2017-01-29,0
2017-02-05,0
2017-02-12,24
2017-02-19,24
2017-02-26,0
2017-03-05,0
2017-03-12,24
2017-03-19,0
2017-03-26,0
2017-04-02,25
2017-04-09,25
2017-04-16,26
2017-04-23,25
2017-04-30,24
2017-05-07,48
2017-05-14,37
2017-05-21,34
2017-05-28,36
2017-06-04,38
2017-06-11,34
2017-06-18,50
2017-06-25,60
2017-07-02,44
2017-07-09,52
2017-07-16,65
2017-07-23,94
2017-07-30,61
2017-08-06,93
2017-08-13,88
2017-08-20,39
2017-08-27,36
2017-09-03,24
2017-09-10,0
2017-09-17,0
2017-09-24,0
2017-10-01,23
2017-10-08,24
2017-10-15,0
2017-10-22,0
2017-10-29,0
2017-11-05,23
2017-11-12,0
2017-11-19,0
2017-11-26,23
2017-12-03,0
2017-12-10,23
2017-12-17,0
2017-12-24,0
2017-12-31,0
2018-01-07,0
2018-01-14,0
2018-01-21,0
2018-01-28,0
2018-02-04,0
2018-02-11,22
2018-02-18,22
2018-02-25,0
2018-03-04,0
2018-03-11,21
2018-03-18,0
2018-03-25,35
2018-04-01,24
2018-04-08,0
2018-04-15,23
2018-04-22,23
2018-04-29,30
2018-05-06,22
2018-05-13,22
2018-05-20,33
2018-05-27,45
2018-06-03,45
2018-06-10,29
2018-06-17,33
2018-06-24,52
2018-07-01,44
2018-07-08,44
2018-07-15,38
2018-07-22,68
2018-07-29,46
2018-08-05,95
2018-08-12,50
2018-08-19,41
2018-08-26,23
2018-09-02,22
2018-09-09,22
2018-09-16,21
2018-09-23,22
2018-09-30,22
2018-10-07,0
2018-10-14,0
2018-10-21,0
2018-10-28,0
2018-11-04,0
2018-11-11,0
2018-11-18,0
2018-11-25,22
2018-12-02,0
2018-12-09,0
2018-12-16,0
2018-12-23,53
2018-12-30,49
2019-01-06,22
2019-01-13,22
2019-01-20,52
2019-01-27,21
2019-02-03,21
2019-02-10,0
2019-02-17,22
2019-02-24,21
2019-03-03,0
2019-03-10,22
2019-03-17,22
2019-03-24,22
2019-03-31,0
2019-04-07,0
2019-04-14,22
2019-04-21,24
2019-04-28,0
2019-05-05,21
2019-05-12,32
2019-05-19,21
2019-05-26,20
2019-06-02,37
2019-06-09,33
2019-06-16,22
2019-06-23,45
2019-06-30,34
2019-07-07,32
2019-07-14,23
2019-07-21,23
2019-07-28,23
2019-08-04,56
2019-08-11,88
2019-08-18,58
2019-08-25,65
2019-09-01,27
2019-09-08,42
2019-09-15,31
2019-09-22,41
2019-09-29,0
2019-10-06,42
2019-10-13,0
2019-10-20,0
2019-10-27,20
2019-11-03,0
2019-11-10,20
2019-11-17,0
2019-11-24,0
2019-12-01,21
2019-12-08,21
2019-12-15,0
2019-12-22,24
2019-12-29,23
2020-01-05,20
2020-01-12,19
2020-01-19,0
2020-01-26,29
2020-02-02,0
2020-02-09,19
2020-02-16,0
2020-02-23,18
2020-03-01,36
2020-03-08,17
2020-03-15,0
2020-03-22,16
2020-03-29,0
2020-04-05,18
2020-04-12,35
2020-04-19,17
2020-04-26,0
2020-05-03,0
2020-05-10,17
2020-05-17,0
2020-05-24,0
2020-05-31,0
2020-06-07,0
2020-06-14,19
2020-06-21,20
2020-06-28,39
2020-07-05,0
2020-07-12,20
2020-07-19,0
