Categoría: Todas las categorías

Semana,magaluf: (Italia)
2015-08-02,59
2015-08-09,100
2015-08-16,65
2015-08-23,32
2015-08-30,23
2015-09-06,22
2015-09-13,15
2015-09-20,11
2015-09-27,8
2015-10-04,3
2015-10-11,8
2015-10-18,7
2015-10-25,3
2015-11-01,4
2015-11-08,3
2015-11-15,2
2015-11-22,2
2015-11-29,4
2015-12-06,3
2015-12-13,20
2015-12-20,3
2015-12-27,8
2016-01-03,7
2016-01-10,11
2016-01-17,17
2016-01-24,12
2016-01-31,10
2016-02-07,12
2016-02-14,14
2016-02-21,17
2016-02-28,18
2016-03-06,21
2016-03-13,18
2016-03-20,15
2016-03-27,19
2016-04-03,23
2016-04-10,22
2016-04-17,19
2016-04-24,25
2016-05-01,21
2016-05-08,21
2016-05-15,19
2016-05-22,23
2016-05-29,18
2016-06-05,26
2016-06-12,20
2016-06-19,25
2016-06-26,24
2016-07-03,34
2016-07-10,40
2016-07-17,55
2016-07-24,68
2016-07-31,63
2016-08-07,53
2016-08-14,39
2016-08-21,38
2016-08-28,28
2016-09-04,15
2016-09-11,11
2016-09-18,6
2016-09-25,14
2016-10-02,12
2016-10-09,6
2016-10-16,4
2016-10-23,4
2016-10-30,3
2016-11-06,4
2016-11-13,3
2016-11-20,4
2016-11-27,3
2016-12-04,3
2016-12-11,4
2016-12-18,3
2016-12-25,2
2017-01-01,15
2017-01-08,13
2017-01-15,10
2017-01-22,16
2017-01-29,14
2017-02-05,12
2017-02-12,12
2017-02-19,16
2017-02-26,14
2017-03-05,14
2017-03-12,19
2017-03-19,17
2017-03-26,16
2017-04-02,15
2017-04-09,15
2017-04-16,10
2017-04-23,18
2017-04-30,16
2017-05-07,11
2017-05-14,19
2017-05-21,19
2017-05-28,18
2017-06-04,19
2017-06-11,21
2017-06-18,31
2017-06-25,34
2017-07-02,32
2017-07-09,30
2017-07-16,42
2017-07-23,87
2017-07-30,59
2017-08-06,45
2017-08-13,37
2017-08-20,31
2017-08-27,26
2017-09-03,13
2017-09-10,11
2017-09-17,9
2017-09-24,7
2017-10-01,6
2017-10-08,3
2017-10-15,12
2017-10-22,6
2017-10-29,3
2017-11-05,4
2017-11-12,2
2017-11-19,2
2017-11-26,5
2017-12-03,2
2017-12-10,4
2017-12-17,3
2017-12-24,5
2017-12-31,7
2018-01-07,10
2018-01-14,12
2018-01-21,11
2018-01-28,11
2018-02-04,12
2018-02-11,9
2018-02-18,11
2018-02-25,11
2018-03-04,7
2018-03-11,12
2018-03-18,14
2018-03-25,17
2018-04-01,20
2018-04-08,14
2018-04-15,11
2018-04-22,15
2018-04-29,14
2018-05-06,19
2018-05-13,16
2018-05-20,15
2018-05-27,22
2018-06-03,19
2018-06-10,18
2018-06-17,24
2018-06-24,25
2018-07-01,35
2018-07-08,31
2018-07-15,31
2018-07-22,36
2018-07-29,36
2018-08-05,33
2018-08-12,29
2018-08-19,22
2018-08-26,17
2018-09-02,14
2018-09-09,14
2018-09-16,9
2018-09-23,8
2018-09-30,7
2018-10-07,3
2018-10-14,7
2018-10-21,4
2018-10-28,3
2018-11-04,5
2018-11-11,5
2018-11-18,3
2018-11-25,4
2018-12-02,2
2018-12-09,4
2018-12-16,1
2018-12-23,5
2018-12-30,3
2019-01-06,8
2019-01-13,8
2019-01-20,7
2019-01-27,8
2019-02-03,11
2019-02-10,9
2019-02-17,9
2019-02-24,19
2019-03-03,16
2019-03-10,11
2019-03-17,15
2019-03-24,9
2019-03-31,12
2019-04-07,8
2019-04-14,15
2019-04-21,16
2019-04-28,14
2019-05-05,14
2019-05-12,12
2019-05-19,14
2019-05-26,9
2019-06-02,18
2019-06-09,16
2019-06-16,20
2019-06-23,22
2019-06-30,26
2019-07-07,26
2019-07-14,34
2019-07-21,36
2019-07-28,34
2019-08-04,36
2019-08-11,32
2019-08-18,19
2019-08-25,20
2019-09-01,15
2019-09-08,13
2019-09-15,9
2019-09-22,6
2019-09-29,5
2019-10-06,5
2019-10-13,2
2019-10-20,4
2019-10-27,2
2019-11-03,3
2019-11-10,2
2019-11-17,2
2019-11-24,4
2019-12-01,2
2019-12-08,3
2019-12-15,4
2019-12-22,3
2019-12-29,4
2020-01-05,7
2020-01-12,8
2020-01-19,11
2020-01-26,8
2020-02-02,9
2020-02-09,5
2020-02-16,9
2020-02-23,5
2020-03-01,5
2020-03-08,2
2020-03-15,3
2020-03-22,2
2020-03-29,3
2020-04-05,2
2020-04-12,2
2020-04-19,2
2020-04-26,4
2020-05-03,4
2020-05-10,2
2020-05-17,2
2020-05-24,1
2020-05-31,1
2020-06-07,2
2020-06-14,3
2020-06-21,5
2020-06-28,5
2020-07-05,5
2020-07-12,7
2020-07-19,5
