Categoría: Todas las categorías

Semana,monte toro: (Italia)
2015-08-02,0
2015-08-09,14
2015-08-16,13
2015-08-23,12
2015-08-30,0
2015-09-06,0
2015-09-13,7
2015-09-20,15
2015-09-27,0
2015-10-04,0
2015-10-11,0
2015-10-18,7
2015-10-25,0
2015-11-01,11
2015-11-08,7
2015-11-15,11
2015-11-22,7
2015-11-29,0
2015-12-06,8
2015-12-13,8
2015-12-20,0
2015-12-27,9
2016-01-03,8
2016-01-10,0
2016-01-17,12
2016-01-24,0
2016-01-31,0
2016-02-07,8
2016-02-14,8
2016-02-21,12
2016-02-28,8
2016-03-06,8
2016-03-13,0
2016-03-20,0
2016-03-27,0
2016-04-03,8
2016-04-10,8
2016-04-17,0
2016-04-24,8
2016-05-01,8
2016-05-08,16
2016-05-15,0
2016-05-22,0
2016-05-29,0
2016-06-05,8
2016-06-12,8
2016-06-19,0
2016-06-26,8
2016-07-03,0
2016-07-10,17
2016-07-17,0
2016-07-24,9
2016-07-31,19
2016-08-07,10
2016-08-14,11
2016-08-21,0
2016-08-28,17
2016-09-04,0
2016-09-11,0
2016-09-18,8
2016-09-25,0
2016-10-02,0
2016-10-09,0
2016-10-16,8
2016-10-23,8
2016-10-30,9
2016-11-06,8
2016-11-13,0
2016-11-20,8
2016-11-27,8
2016-12-04,0
2016-12-11,8
2016-12-18,9
2016-12-25,9
2017-01-01,8
2017-01-08,0
2017-01-15,8
2017-01-22,15
2017-01-29,7
2017-02-05,11
2017-02-12,15
2017-02-19,15
2017-02-26,7
2017-03-05,15
2017-03-12,11
2017-03-19,0
2017-03-26,8
2017-04-02,0
2017-04-09,0
2017-04-16,8
2017-04-23,0
2017-04-30,8
2017-05-07,15
2017-05-14,8
2017-05-21,8
2017-05-28,8
2017-06-04,8
2017-06-11,8
2017-06-18,0
2017-06-25,0
2017-07-02,8
2017-07-09,8
2017-07-16,0
2017-07-23,11
2017-07-30,8
2017-08-06,8
2017-08-13,14
2017-08-20,8
2017-08-27,15
2017-09-03,7
2017-09-10,0
2017-09-17,15
2017-09-24,7
2017-10-01,11
2017-10-08,19
2017-10-15,11
2017-10-22,15
2017-10-29,11
2017-11-05,7
2017-11-12,7
2017-11-19,7
2017-11-26,0
2017-12-03,0
2017-12-10,7
2017-12-17,8
2017-12-24,17
2017-12-31,8
2018-01-07,7
2018-01-14,7
2018-01-21,7
2018-01-28,0
2018-02-04,10
2018-02-11,7
2018-02-18,7
2018-02-25,0
2018-03-04,0
2018-03-11,7
2018-03-18,0
2018-03-25,0
2018-04-01,15
2018-04-08,0
2018-04-15,7
2018-04-22,0
2018-04-29,11
2018-05-06,7
2018-05-13,7
2018-05-20,7
2018-05-27,7
2018-06-03,0
2018-06-10,7
2018-06-17,7
2018-06-24,11
2018-07-01,7
2018-07-08,0
2018-07-15,0
2018-07-22,7
2018-07-29,11
2018-08-05,15
2018-08-12,8
2018-08-19,0
2018-08-26,7
2018-09-02,7
2018-09-09,7
2018-09-16,0
2018-09-23,7
2018-09-30,21
2018-10-07,14
2018-10-14,7
2018-10-21,7
2018-10-28,7
2018-11-04,7
2018-11-11,0
2018-11-18,14
2018-11-25,0
2018-12-02,11
2018-12-09,7
2018-12-16,7
2018-12-23,0
2018-12-30,0
2019-01-06,0
2019-01-13,0
2019-01-20,7
2019-01-27,13
2019-02-03,7
2019-02-10,0
2019-02-17,7
2019-02-24,7
2019-03-03,7
2019-03-10,7
2019-03-17,7
2019-03-24,14
2019-03-31,7
2019-04-07,7
2019-04-14,7
2019-04-21,22
2019-04-28,7
2019-05-05,7
2019-05-12,7
2019-05-19,7
2019-05-26,0
2019-06-02,7
2019-06-09,9
2019-06-16,7
2019-06-23,7
2019-06-30,7
2019-07-07,7
2019-07-14,14
2019-07-21,14
2019-07-28,22
2019-08-04,7
2019-08-11,12
2019-08-18,0
2019-08-25,10
2019-09-01,0
2019-09-08,7
2019-09-15,13
2019-09-22,17
2019-09-29,0
2019-10-06,0
2019-10-13,7
2019-10-20,6
2019-10-27,13
2019-11-03,6
2019-11-10,6
2019-11-17,0
2019-11-24,6
2019-12-01,19
2019-12-08,13
2019-12-15,0
2019-12-22,15
2019-12-29,17
2020-01-05,6
2020-01-12,6
2020-01-19,9
2020-01-26,6
2020-02-02,6
2020-02-09,6
2020-02-16,6
2020-02-23,6
2020-03-01,6
2020-03-08,5
2020-03-15,6
2020-03-22,5
2020-03-29,28
2020-04-05,100
2020-04-12,30
2020-04-19,10
2020-04-26,9
2020-05-03,8
2020-05-10,0
2020-05-17,6
2020-05-24,6
2020-05-31,6
2020-06-07,6
2020-06-14,0
2020-06-21,6
2020-06-28,12
2020-07-05,12
2020-07-12,6
2020-07-19,18
