Categoría: Todas las categorías

Semana,cala macarella: (Italia)
2015-08-02,77
2015-08-09,27
2015-08-16,26
2015-08-23,24
2015-08-30,22
2015-09-06,0
2015-09-13,0
2015-09-20,0
2015-09-27,0
2015-10-04,0
2015-10-11,0
2015-10-18,0
2015-10-25,0
2015-11-01,0
2015-11-08,0
2015-11-15,0
2015-11-22,0
2015-11-29,0
2015-12-06,0
2015-12-13,22
2015-12-20,0
2015-12-27,0
2016-01-03,0
2016-01-10,0
2016-01-17,23
2016-01-24,0
2016-01-31,23
2016-02-07,0
2016-02-14,0
2016-02-21,23
2016-02-28,0
2016-03-06,0
2016-03-13,0
2016-03-20,0
2016-03-27,37
2016-04-03,0
2016-04-10,24
2016-04-17,0
2016-04-24,0
2016-05-01,0
2016-05-08,0
2016-05-15,24
2016-05-22,0
2016-05-29,24
2016-06-05,23
2016-06-12,31
2016-06-19,36
2016-06-26,100
2016-07-03,52
2016-07-10,25
2016-07-17,27
2016-07-24,53
2016-07-31,0
2016-08-07,30
2016-08-14,32
2016-08-21,0
2016-08-28,25
2016-09-04,32
2016-09-11,24
2016-09-18,0
2016-09-25,0
2016-10-02,0
2016-10-09,0
2016-10-16,0
2016-10-23,0
2016-10-30,0
2016-11-06,0
2016-11-13,0
2016-11-20,0
2016-11-27,0
2016-12-04,0
2016-12-11,0
2016-12-18,0
2016-12-25,0
2017-01-01,0
2017-01-08,0
2017-01-15,22
2017-01-22,0
2017-01-29,0
2017-02-05,21
2017-02-12,22
2017-02-19,44
2017-02-26,0
2017-03-05,43
2017-03-12,22
2017-03-19,0
2017-03-26,23
2017-04-02,34
2017-04-09,23
2017-04-16,24
2017-04-23,0
2017-04-30,22
2017-05-07,0
2017-05-14,23
2017-05-21,24
2017-05-28,25
2017-06-04,70
2017-06-11,0
2017-06-18,34
2017-06-25,24
2017-07-02,49
2017-07-09,24
2017-07-16,24
2017-07-23,24
2017-07-30,36
2017-08-06,24
2017-08-13,53
2017-08-20,48
2017-08-27,29
2017-09-03,21
2017-09-10,21
2017-09-17,21
2017-09-24,0
2017-10-01,0
2017-10-08,0
2017-10-15,0
2017-10-22,0
2017-10-29,0
2017-11-05,21
2017-11-12,0
2017-11-19,0
2017-11-26,0
2017-12-03,0
2017-12-10,0
2017-12-17,23
2017-12-24,0
2017-12-31,0
2018-01-07,21
2018-01-14,21
2018-01-21,0
2018-01-28,0
2018-02-04,0
2018-02-11,0
2018-02-18,0
2018-02-25,0
2018-03-04,0
2018-03-11,0
2018-03-18,20
2018-03-25,21
2018-04-01,0
2018-04-08,0
2018-04-15,0
2018-04-22,21
2018-04-29,0
2018-05-06,20
2018-05-13,0
2018-05-20,20
2018-05-27,31
2018-06-03,0
2018-06-10,0
2018-06-17,61
2018-06-24,21
2018-07-01,30
2018-07-08,31
2018-07-15,42
2018-07-22,56
2018-07-29,42
2018-08-05,33
2018-08-12,39
2018-08-19,53
2018-08-26,42
2018-09-02,20
2018-09-09,20
2018-09-16,20
2018-09-23,0
2018-09-30,20
2018-10-07,0
2018-10-14,0
2018-10-21,0
2018-10-28,20
2018-11-04,0
2018-11-11,0
2018-11-18,0
2018-11-25,0
2018-12-02,21
2018-12-09,0
2018-12-16,0
2018-12-23,0
2018-12-30,0
2019-01-06,21
2019-01-13,20
2019-01-20,0
2019-01-27,19
2019-02-03,0
2019-02-10,20
2019-02-17,20
2019-02-24,0
2019-03-03,0
2019-03-10,0
2019-03-17,0
2019-03-24,20
2019-03-31,0
2019-04-07,0
2019-04-14,0
2019-04-21,22
2019-04-28,0
2019-05-05,19
2019-05-12,20
2019-05-19,39
2019-05-26,19
2019-06-02,20
2019-06-09,20
2019-06-16,20
2019-06-23,31
2019-06-30,41
2019-07-07,0
2019-07-14,41
2019-07-21,31
2019-07-28,56
2019-08-04,22
2019-08-11,46
2019-08-18,53
2019-08-25,20
2019-09-01,19
2019-09-08,0
2019-09-15,19
2019-09-22,19
2019-09-29,0
2019-10-06,0
2019-10-13,0
2019-10-20,0
2019-10-27,0
2019-11-03,0
2019-11-10,0
2019-11-17,0
2019-11-24,0
2019-12-01,19
2019-12-08,0
2019-12-15,0
2019-12-22,0
2019-12-29,21
2020-01-05,0
2020-01-12,0
2020-01-19,18
2020-01-26,18
2020-02-02,0
2020-02-09,0
2020-02-16,35
2020-02-23,0
2020-03-01,0
2020-03-08,0
2020-03-15,0
2020-03-22,0
2020-03-29,0
2020-04-05,0
2020-04-12,0
2020-04-19,0
2020-04-26,0
2020-05-03,16
2020-05-10,0
2020-05-17,0
2020-05-24,0
2020-05-31,0
2020-06-07,17
2020-06-14,17
2020-06-21,0
2020-06-28,18
2020-07-05,18
2020-07-12,19
2020-07-19,25
