Categoría: Todas las categorías

Semana,albufera: (Reino Unido)
2015-08-02,57
2015-08-09,75
2015-08-16,56
2015-08-23,32
2015-08-30,47
2015-09-06,14
2015-09-13,32
2015-09-20,31
2015-09-27,53
2015-10-04,66
2015-10-11,33
2015-10-18,35
2015-10-25,40
2015-11-01,30
2015-11-08,30
2015-11-15,26
2015-11-22,21
2015-11-29,26
2015-12-06,13
2015-12-13,28
2015-12-20,32
2015-12-27,37
2016-01-03,48
2016-01-10,39
2016-01-17,31
2016-01-24,52
2016-01-31,39
2016-02-07,20
2016-02-14,41
2016-02-21,62
2016-02-28,44
2016-03-06,58
2016-03-13,32
2016-03-20,23
2016-03-27,21
2016-04-03,58
2016-04-10,45
2016-04-17,41
2016-04-24,79
2016-05-01,59
2016-05-08,73
2016-05-15,67
2016-05-22,51
2016-05-29,61
2016-06-05,46
2016-06-12,62
2016-06-19,67
2016-06-26,82
2016-07-03,100
2016-07-10,50
2016-07-17,66
2016-07-24,97
2016-07-31,55
2016-08-07,62
2016-08-14,47
2016-08-21,46
2016-08-28,73
2016-09-04,43
2016-09-11,39
2016-09-18,21
2016-09-25,21
2016-10-02,42
2016-10-09,46
2016-10-16,42
2016-10-23,42
2016-10-30,14
2016-11-06,54
2016-11-13,27
2016-11-20,17
2016-11-27,18
2016-12-04,22
2016-12-11,28
2016-12-18,30
2016-12-25,25
2017-01-01,52
2017-01-08,54
2017-01-15,51
2017-01-22,34
2017-01-29,45
2017-02-05,17
2017-02-12,25
2017-02-19,17
2017-02-26,41
2017-03-05,41
2017-03-12,74
2017-03-19,38
2017-03-26,52
2017-04-02,49
2017-04-09,54
2017-04-16,56
2017-04-23,46
2017-04-30,68
2017-05-07,42
2017-05-14,48
2017-05-21,41
2017-05-28,72
2017-06-04,43
2017-06-11,81
2017-06-18,57
2017-06-25,45
2017-07-02,73
2017-07-09,31
2017-07-16,36
2017-07-23,40
2017-07-30,56
2017-08-06,35
2017-08-13,44
2017-08-20,22
2017-08-27,63
2017-09-03,39
2017-09-10,34
2017-09-17,55
2017-09-24,46
2017-10-01,43
2017-10-08,50
2017-10-15,25
2017-10-22,25
2017-10-29,25
2017-11-05,12
2017-11-12,16
2017-11-19,24
2017-11-26,37
2017-12-03,25
2017-12-10,13
2017-12-17,34
2017-12-24,29
2017-12-31,33
2018-01-07,56
2018-01-14,47
2018-01-21,51
2018-01-28,32
2018-02-04,36
2018-02-11,37
2018-02-18,48
2018-02-25,23
2018-03-04,44
2018-03-11,36
2018-03-18,33
2018-03-25,54
2018-04-01,54
2018-04-08,69
2018-04-15,42
2018-04-22,52
2018-04-29,37
2018-05-06,71
2018-05-13,67
2018-05-20,33
2018-05-27,37
2018-06-03,57
2018-06-10,51
2018-06-17,37
2018-06-24,34
2018-07-01,25
2018-07-08,65
2018-07-15,46
2018-07-22,37
2018-07-29,31
2018-08-05,53
2018-08-12,46
2018-08-19,34
2018-08-26,39
2018-09-02,25
2018-09-09,38
2018-09-16,12
2018-09-23,21
2018-09-30,25
2018-10-07,19
2018-10-14,25
2018-10-21,38
2018-10-28,21
2018-11-04,20
2018-11-11,12
2018-11-18,23
2018-11-25,12
2018-12-02,12
2018-12-09,13
2018-12-16,39
2018-12-23,22
2018-12-30,25
2019-01-06,32
2019-01-13,55
2019-01-20,56
2019-01-27,27
2019-02-03,23
2019-02-10,49
2019-02-17,49
2019-02-24,44
2019-03-03,28
2019-03-10,36
2019-03-17,37
2019-03-24,21
2019-03-31,57
2019-04-07,61
2019-04-14,47
2019-04-21,45
2019-04-28,52
2019-05-05,44
2019-05-12,41
2019-05-19,40
2019-05-26,60
2019-06-02,27
2019-06-09,35
2019-06-16,52
2019-06-23,53
2019-06-30,36
2019-07-07,36
2019-07-14,24
2019-07-21,37
2019-07-28,61
2019-08-04,48
2019-08-11,40
2019-08-18,25
2019-08-25,48
2019-09-01,29
2019-09-08,47
2019-09-15,69
2019-09-22,17
2019-09-29,37
2019-10-06,48
2019-10-13,22
2019-10-20,22
2019-10-27,18
2019-11-03,32
2019-11-10,27
2019-11-17,11
2019-11-24,10
2019-12-01,22
2019-12-08,11
2019-12-15,17
2019-12-22,19
2019-12-29,45
2020-01-05,42
2020-01-12,61
2020-01-19,53
2020-01-26,38
2020-02-02,32
2020-02-09,31
2020-02-16,58
2020-02-23,47
2020-03-01,24
2020-03-08,30
2020-03-15,20
2020-03-22,9
2020-03-29,19
2020-04-05,29
2020-04-12,19
2020-04-19,16
2020-04-26,27
2020-05-03,9
2020-05-10,23
2020-05-17,31
2020-05-24,16
2020-05-31,30
2020-06-07,27
2020-06-14,23
2020-06-21,19
2020-06-28,23
2020-07-05,24
2020-07-12,27
2020-07-19,43
