Categoría: Todas las categorías

Semana,ses salines: (Reino Unido)
2015-08-02,0
2015-08-09,21
2015-08-16,0
2015-08-23,0
2015-08-30,21
2015-09-06,21
2015-09-13,30
2015-09-20,0
2015-09-27,20
2015-10-04,0
2015-10-11,20
2015-10-18,0
2015-10-25,20
2015-11-01,0
2015-11-08,0
2015-11-15,0
2015-11-22,0
2015-11-29,0
2015-12-06,0
2015-12-13,21
2015-12-20,24
2015-12-27,0
2016-01-03,0
2016-01-10,29
2016-01-17,20
2016-01-24,0
2016-01-31,20
2016-02-07,20
2016-02-14,0
2016-02-21,20
2016-02-28,20
2016-03-06,20
2016-03-13,20
2016-03-20,0
2016-03-27,20
2016-04-03,0
2016-04-10,0
2016-04-17,0
2016-04-24,20
2016-05-01,20
2016-05-08,20
2016-05-15,30
2016-05-22,31
2016-05-29,42
2016-06-05,62
2016-06-12,60
2016-06-19,40
2016-06-26,72
2016-07-03,64
2016-07-10,21
2016-07-17,23
2016-07-24,64
2016-07-31,0
2016-08-07,0
2016-08-14,47
2016-08-21,23
2016-08-28,0
2016-09-04,22
2016-09-11,22
2016-09-18,0
2016-09-25,0
2016-10-02,41
2016-10-09,0
2016-10-16,0
2016-10-23,0
2016-10-30,0
2016-11-06,20
2016-11-13,0
2016-11-20,0
2016-11-27,0
2016-12-04,20
2016-12-11,0
2016-12-18,0
2016-12-25,0
2017-01-01,0
2017-01-08,19
2017-01-15,19
2017-01-22,0
2017-01-29,0
2017-02-05,19
2017-02-12,0
2017-02-19,0
2017-02-26,0
2017-03-05,27
2017-03-12,19
2017-03-19,19
2017-03-26,39
2017-04-02,0
2017-04-09,40
2017-04-16,29
2017-04-23,0
2017-04-30,38
2017-05-07,19
2017-05-14,29
2017-05-21,20
2017-05-28,20
2017-06-04,38
2017-06-11,20
2017-06-18,39
2017-06-25,40
2017-07-02,62
2017-07-09,30
2017-07-16,100
2017-07-23,40
2017-07-30,0
2017-08-06,20
2017-08-13,20
2017-08-20,20
2017-08-27,0
2017-09-03,39
2017-09-10,28
2017-09-17,38
2017-09-24,19
2017-10-01,0
2017-10-08,19
2017-10-15,18
2017-10-22,0
2017-10-29,0
2017-11-05,0
2017-11-12,0
2017-11-19,0
2017-11-26,0
2017-12-03,0
2017-12-10,0
2017-12-17,0
2017-12-24,0
2017-12-31,18
2018-01-07,0
2018-01-14,35
2018-01-21,26
2018-01-28,18
2018-02-04,18
2018-02-11,55
2018-02-18,0
2018-02-25,0
2018-03-04,0
2018-03-11,18
2018-03-18,18
2018-03-25,0
2018-04-01,0
2018-04-08,0
2018-04-15,28
2018-04-22,0
2018-04-29,27
2018-05-06,19
2018-05-13,19
2018-05-20,0
2018-05-27,19
2018-06-03,64
2018-06-10,35
2018-06-17,37
2018-06-24,0
2018-07-01,19
2018-07-08,18
2018-07-15,19
2018-07-22,18
2018-07-29,46
2018-08-05,28
2018-08-12,19
2018-08-19,19
2018-08-26,19
2018-09-02,38
2018-09-09,0
2018-09-16,27
2018-09-23,0
2018-09-30,0
2018-10-07,0
2018-10-14,0
2018-10-21,0
2018-10-28,0
2018-11-04,0
2018-11-11,18
2018-11-18,0
2018-11-25,71
2018-12-02,0
2018-12-09,19
2018-12-16,0
2018-12-23,22
2018-12-30,0
2019-01-06,0
2019-01-13,18
2019-01-20,18
2019-01-27,0
2019-02-03,17
2019-02-10,27
2019-02-17,0
2019-02-24,0
2019-03-03,18
2019-03-10,0
2019-03-17,18
2019-03-24,28
2019-03-31,18
2019-04-07,18
2019-04-14,19
2019-04-21,18
2019-04-28,18
2019-05-05,0
2019-05-12,18
2019-05-19,36
2019-05-26,36
2019-06-02,51
2019-06-09,52
2019-06-16,36
2019-06-23,18
2019-06-30,27
2019-07-07,18
2019-07-14,36
2019-07-21,0
2019-07-28,37
2019-08-04,18
2019-08-11,18
2019-08-18,0
2019-08-25,18
2019-09-01,26
2019-09-08,17
2019-09-15,17
2019-09-22,33
2019-09-29,0
2019-10-06,17
2019-10-13,17
2019-10-20,17
2019-10-27,16
2019-11-03,0
2019-11-10,24
2019-11-17,16
2019-11-24,0
2019-12-01,0
2019-12-08,0
2019-12-15,0
2019-12-22,0
2019-12-29,0
2020-01-05,0
2020-01-12,15
2020-01-19,0
2020-01-26,63
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,15
2020-03-01,30
2020-03-08,0
2020-03-15,14
2020-03-22,28
2020-03-29,0
2020-04-05,14
2020-04-12,0
2020-04-19,0
2020-04-26,0
2020-05-03,0
2020-05-10,0
2020-05-17,0
2020-05-24,22
2020-05-31,0
2020-06-07,13
2020-06-14,0
2020-06-21,28
2020-06-28,14
2020-07-05,14
2020-07-12,0
2020-07-19,21
