Categoría: Todas las categorías

Semana,cala galdana: (Reino Unido)
2015-08-02,68
2015-08-09,70
2015-08-16,63
2015-08-23,61
2015-08-30,58
2015-09-06,67
2015-09-13,48
2015-09-20,32
2015-09-27,27
2015-10-04,32
2015-10-11,28
2015-10-18,18
2015-10-25,22
2015-11-01,18
2015-11-08,7
2015-11-15,10
2015-11-22,4
2015-11-29,4
2015-12-06,9
2015-12-13,11
2015-12-20,9
2015-12-27,32
2016-01-03,32
2016-01-10,37
2016-01-17,32
2016-01-24,44
2016-01-31,36
2016-02-07,32
2016-02-14,29
2016-02-21,34
2016-02-28,27
2016-03-06,19
2016-03-13,23
2016-03-20,47
2016-03-27,24
2016-04-03,32
2016-04-10,38
2016-04-17,26
2016-04-24,47
2016-05-01,56
2016-05-08,50
2016-05-15,58
2016-05-22,64
2016-05-29,79
2016-06-05,51
2016-06-12,69
2016-06-19,54
2016-06-26,55
2016-07-03,59
2016-07-10,74
2016-07-17,73
2016-07-24,60
2016-07-31,100
2016-08-07,80
2016-08-14,47
2016-08-21,63
2016-08-28,92
2016-09-04,58
2016-09-11,48
2016-09-18,45
2016-09-25,34
2016-10-02,27
2016-10-09,24
2016-10-16,34
2016-10-23,11
2016-10-30,10
2016-11-06,28
2016-11-13,18
2016-11-20,13
2016-11-27,11
2016-12-04,11
2016-12-11,8
2016-12-18,19
2016-12-25,29
2017-01-01,45
2017-01-08,62
2017-01-15,42
2017-01-22,35
2017-01-29,34
2017-02-05,23
2017-02-12,25
2017-02-19,42
2017-02-26,29
2017-03-05,37
2017-03-12,41
2017-03-19,19
2017-03-26,34
2017-04-02,23
2017-04-09,63
2017-04-16,46
2017-04-23,46
2017-04-30,50
2017-05-07,48
2017-05-14,66
2017-05-21,77
2017-05-28,51
2017-06-04,64
2017-06-11,81
2017-06-18,71
2017-06-25,55
2017-07-02,72
2017-07-09,61
2017-07-16,68
2017-07-23,72
2017-07-30,80
2017-08-06,68
2017-08-13,75
2017-08-20,73
2017-08-27,65
2017-09-03,67
2017-09-10,53
2017-09-17,51
2017-09-24,36
2017-10-01,26
2017-10-08,23
2017-10-15,27
2017-10-22,13
2017-10-29,11
2017-11-05,7
2017-11-12,8
2017-11-19,6
2017-11-26,11
2017-12-03,10
2017-12-10,4
2017-12-17,7
2017-12-24,31
2017-12-31,41
2018-01-07,34
2018-01-14,32
2018-01-21,58
2018-01-28,29
2018-02-04,30
2018-02-11,31
2018-02-18,30
2018-02-25,30
2018-03-04,23
2018-03-11,37
2018-03-18,24
2018-03-25,39
2018-04-01,47
2018-04-08,39
2018-04-15,33
2018-04-22,48
2018-04-29,47
2018-05-06,51
2018-05-13,57
2018-05-20,55
2018-05-27,74
2018-06-03,64
2018-06-10,71
2018-06-17,43
2018-06-24,64
2018-07-01,89
2018-07-08,51
2018-07-15,71
2018-07-22,56
2018-07-29,69
2018-08-05,59
2018-08-12,54
2018-08-19,54
2018-08-26,56
2018-09-02,42
2018-09-09,33
2018-09-16,44
2018-09-23,24
2018-09-30,24
2018-10-07,13
2018-10-14,20
2018-10-21,19
2018-10-28,26
2018-11-04,19
2018-11-11,6
2018-11-18,11
2018-11-25,11
2018-12-02,6
2018-12-09,9
2018-12-16,9
2018-12-23,28
2018-12-30,38
2019-01-06,29
2019-01-13,23
2019-01-20,29
2019-01-27,36
2019-02-03,19
2019-02-10,24
2019-02-17,18
2019-02-24,29
2019-03-03,30
2019-03-10,25
2019-03-17,33
2019-03-24,31
2019-03-31,22
2019-04-07,29
2019-04-14,19
2019-04-21,49
2019-04-28,55
2019-05-05,51
2019-05-12,58
2019-05-19,65
2019-05-26,71
2019-06-02,48
2019-06-09,65
2019-06-16,62
2019-06-23,51
2019-06-30,60
2019-07-07,78
2019-07-14,61
2019-07-21,61
2019-07-28,73
2019-08-04,53
2019-08-11,52
2019-08-18,66
2019-08-25,45
2019-09-01,42
2019-09-08,53
2019-09-15,45
2019-09-22,43
2019-09-29,41
2019-10-06,23
2019-10-13,24
2019-10-20,27
2019-10-27,10
2019-11-03,9
2019-11-10,9
2019-11-17,5
2019-11-24,11
2019-12-01,9
2019-12-08,11
2019-12-15,9
2019-12-22,41
2019-12-29,36
2020-01-05,47
2020-01-12,21
2020-01-19,35
2020-01-26,36
2020-02-02,21
2020-02-09,28
2020-02-16,22
2020-02-23,23
2020-03-01,27
2020-03-08,10
2020-03-15,5
2020-03-22,3
2020-03-29,12
2020-04-05,4
2020-04-12,15
2020-04-19,6
2020-04-26,7
2020-05-03,5
2020-05-10,7
2020-05-17,15
2020-05-24,9
2020-05-31,11
2020-06-07,6
2020-06-14,13
2020-06-21,17
2020-06-28,20
2020-07-05,20
2020-07-12,22
2020-07-19,33
