Categoría: Todas las categorías

Semana,cala galdana: (Suiza)
2015-08-02,46
2015-08-09,0
2015-08-16,0
2015-08-23,0
2015-08-30,0
2015-09-06,0
2015-09-13,38
2015-09-20,0
2015-09-27,0
2015-10-04,0
2015-10-11,0
2015-10-18,39
2015-10-25,0
2015-11-01,0
2015-11-08,0
2015-11-15,0
2015-11-22,0
2015-11-29,0
2015-12-06,76
2015-12-13,0
2015-12-20,50
2015-12-27,0
2016-01-03,67
2016-01-10,50
2016-01-17,0
2016-01-24,0
2016-01-31,68
2016-02-07,51
2016-02-14,0
2016-02-21,0
2016-02-28,32
2016-03-06,33
2016-03-13,68
2016-03-20,0
2016-03-27,0
2016-04-03,51
2016-04-10,35
2016-04-17,0
2016-04-24,0
2016-05-01,0
2016-05-08,0
2016-05-15,36
2016-05-22,35
2016-05-29,65
2016-06-05,34
2016-06-12,33
2016-06-19,35
2016-06-26,35
2016-07-03,59
2016-07-10,39
2016-07-17,0
2016-07-24,44
2016-07-31,0
2016-08-07,41
2016-08-14,40
2016-08-21,0
2016-08-28,38
2016-09-04,0
2016-09-11,0
2016-09-18,0
2016-09-25,0
2016-10-02,37
2016-10-09,0
2016-10-16,0
2016-10-23,0
2016-10-30,0
2016-11-06,0
2016-11-13,0
2016-11-20,35
2016-11-27,0
2016-12-04,35
2016-12-11,0
2016-12-18,37
2016-12-25,0
2017-01-01,37
2017-01-08,0
2017-01-15,0
2017-01-22,50
2017-01-29,0
2017-02-05,0
2017-02-12,0
2017-02-19,0
2017-02-26,32
2017-03-05,32
2017-03-12,32
2017-03-19,32
2017-03-26,0
2017-04-02,100
2017-04-09,37
2017-04-16,36
2017-04-23,33
2017-04-30,49
2017-05-07,0
2017-05-14,34
2017-05-21,38
2017-05-28,35
2017-06-04,0
2017-06-11,70
2017-06-18,35
2017-06-25,53
2017-07-02,55
2017-07-09,37
2017-07-16,0
2017-07-23,38
2017-07-30,40
2017-08-06,34
2017-08-13,35
2017-08-20,34
2017-08-27,0
2017-09-03,0
2017-09-10,32
2017-09-17,64
2017-09-24,33
2017-10-01,0
2017-10-08,0
2017-10-15,0
2017-10-22,0
2017-10-29,0
2017-11-05,0
2017-11-12,0
2017-11-19,0
2017-11-26,0
2017-12-03,0
2017-12-10,0
2017-12-17,0
2017-12-24,78
2017-12-31,34
2018-01-07,30
2018-01-14,29
2018-01-21,29
2018-01-28,30
2018-02-04,30
2018-02-11,31
2018-02-18,30
2018-02-25,30
2018-03-04,0
2018-03-11,30
2018-03-18,30
2018-03-25,31
2018-04-01,68
2018-04-08,0
2018-04-15,32
2018-04-22,0
2018-04-29,31
2018-05-06,65
2018-05-13,30
2018-05-20,0
2018-05-27,62
2018-06-03,0
2018-06-10,30
2018-06-17,0
2018-06-24,31
2018-07-01,31
2018-07-08,33
2018-07-15,0
2018-07-22,71
2018-07-29,37
2018-08-05,0
2018-08-12,64
2018-08-19,31
2018-08-26,31
2018-09-02,31
2018-09-09,0
2018-09-16,0
2018-09-23,0
2018-09-30,32
2018-10-07,0
2018-10-14,32
2018-10-21,0
2018-10-28,29
2018-11-04,29
2018-11-11,0
2018-11-18,0
2018-11-25,0
2018-12-02,0
2018-12-09,0
2018-12-16,31
2018-12-23,38
2018-12-30,0
2019-01-06,0
2019-01-13,29
2019-01-20,29
2019-01-27,57
2019-02-03,30
2019-02-10,0
2019-02-17,30
2019-02-24,30
2019-03-03,28
2019-03-10,0
2019-03-17,0
2019-03-24,0
2019-03-31,0
2019-04-07,27
2019-04-14,0
2019-04-21,0
2019-04-28,28
2019-05-05,0
2019-05-12,44
2019-05-19,0
2019-05-26,32
2019-06-02,29
2019-06-09,59
2019-06-16,45
2019-06-23,31
2019-06-30,31
2019-07-07,31
2019-07-14,34
2019-07-21,36
2019-07-28,72
2019-08-04,33
2019-08-11,30
2019-08-18,0
2019-08-25,30
2019-09-01,28
2019-09-08,30
2019-09-15,0
2019-09-22,0
2019-09-29,29
2019-10-06,0
2019-10-13,44
2019-10-20,0
2019-10-27,0
2019-11-03,0
2019-11-10,0
2019-11-17,0
2019-11-24,0
2019-12-01,0
2019-12-08,27
2019-12-15,0
2019-12-22,0
2019-12-29,0
2020-01-05,27
2020-01-12,39
2020-01-19,27
2020-01-26,53
2020-02-02,0
2020-02-09,27
2020-02-16,41
2020-02-23,0
2020-03-01,0
2020-03-08,0
2020-03-15,0
2020-03-22,0
2020-03-29,0
2020-04-05,0
2020-04-12,26
2020-04-19,0
2020-04-26,0
2020-05-03,0
2020-05-10,0
2020-05-17,0
2020-05-24,26
2020-05-31,0
2020-06-07,37
2020-06-14,25
2020-06-21,27
2020-06-28,0
2020-07-05,28
2020-07-12,28
2020-07-19,39
