index,bellver: (Italia),cuevas del drach: (Italia),formentor: (Italia),palma aquarium: (Italia),soller: (Italia),cala galdana: (Italia),cala mitjana: (Italia),monte toro: (Italia),cala macarella: (Italia),cala macarelleta: (Italia),albufera: (Italia),cala pregonda: (Italia),favaritx: (Italia),cala benirras: (Italia),es vedra: (Italia),ses salines: (Italia),cala salada: (Italia),ses illetes: (Italia),es pujols: (Italia),magaluf: (Italia),date
0,74,52,30,58,63,86,46,14,77,78,14,66,75,71,30,100,57,79,100,100,2015-08-01
1,49,42,7,47,42,31,26,15,0,31,7,33,67,0,15,48,20,22,41,22,2015-09-01
2,32,0,7,45,42,30,0,7,0,0,7,0,0,0,15,23,21,22,15,8,2015-10-01
3,33,0,0,46,21,15,26,11,0,0,9,0,0,30,15,0,0,22,28,4,2015-11-01
4,67,0,7,0,44,18,0,9,22,73,15,0,0,0,0,28,24,23,20,20,2015-12-01
5,36,45,8,0,68,32,0,12,23,33,10,35,0,32,32,25,22,37,46,17,2016-01-01
6,0,0,23,47,36,42,27,12,23,33,15,33,0,62,16,24,32,46,57,18,2016-02-01
7,0,46,8,51,55,34,56,8,37,35,17,35,0,34,16,75,0,26,55,21,2016-03-01
8,36,0,8,0,35,50,48,8,24,35,12,72,0,0,25,39,22,49,74,25,2016-04-01
9,70,45,16,0,69,49,29,16,24,35,8,36,0,33,25,26,46,50,86,23,2016-05-01
10,36,47,16,0,39,67,43,8,100,36,16,59,0,35,44,54,48,77,96,26,2016-06-01
11,100,100,19,58,67,70,66,19,53,38,17,100,0,38,42,69,77,82,95,68,2016-07-01
12,46,58,38,69,73,56,60,17,32,43,16,83,100,89,48,82,62,100,74,53,2016-08-01
13,37,0,24,50,47,17,29,8,32,0,8,36,75,34,33,27,35,99,41,15,2016-09-01
14,38,0,16,52,48,26,0,9,0,0,20,0,78,34,33,27,23,25,8,12,2016-10-01
15,36,44,8,52,24,25,0,8,0,0,12,35,0,0,16,0,22,25,16,4,2016-11-01
16,36,0,16,58,53,0,0,9,0,0,8,0,0,0,37,30,0,0,15,4,2016-12-01
17,66,0,8,48,44,30,0,15,22,32,11,0,0,0,22,25,21,25,36,16,2017-01-01
