bellver: (Suiza),formentor: (Suiza),palma aquarium: (Suiza),soller: (Suiza),cala galdana: (Suiza),cala mitjana: (Suiza),albufera: (Suiza),es vedra: (Suiza),ses salines: (Suiza),cala salada: (Suiza),magaluf: (Suiza),date
56,37,32,69,46,60,50,55,71,67,76,2015-08-01
100,33,34,62,38,55,54,0,37,0,39,2015-09-01
49,24,100,48,39,0,48,0,72,59,11,2015-10-01
48,0,0,36,0,0,64,0,35,0,16,2015-11-01
61,0,0,45,76,0,82,63,45,0,32,2015-12-01
42,14,0,53,68,45,84,0,32,0,35,2016-01-01
83,27,29,57,51,0,56,45,31,0,38,2016-02-01
67,29,31,72,68,0,55,45,31,0,51,2016-03-01
42,21,29,52,51,46,56,0,63,50,41,2016-04-01
42,30,30,71,65,0,54,50,34,0,51,2016-05-01
44,28,30,45,35,66,100,46,33,53,56,2016-06-01
53,36,36,100,59,0,85,0,73,66,89,2016-07-01
51,51,35,49,41,53,65,55,0,56,55,2016-08-01
45,45,32,62,0,0,92,49,34,0,51,2016-09-01
46,30,63,56,37,0,90,100,34,56,24,2016-10-01
43,0,30,32,35,0,29,0,0,0,20,2016-11-01
46,15,0,32,37,0,35,0,0,0,41,2016-12-01
0,13,28,56,50,45,55,45,33,50,28,2017-01-01
41,14,29,57,32,0,55,0,30,0,31,2017-02-01
42,13,0,51,32,0,41,43,0,50,39,2017-03-01
45,20,0,69,100,0,95,44,33,55,40,2017-04-01
42,31,29,74,38,50,62,43,44,0,46,2017-05-01
87,29,30,59,70,47,57,0,31,52,98,2017-06-01
48,31,33,90,55,0,97,53,100,86,100,2017-07-01
43,42,44,47,35,46,71,46,31,51,48,2017-08-01
41,26,28,50,64,0,54,43,59,49,39,2017-09-01
42,18,28,62,0,0,55,44,31,0,19,2017-10-01
76,12,0,28,0,0,50,0,0,46,14,2017-11-01
0,16,0,31,78,0,48,0,36,0,22,2017-12-01
38,25,26,55,30,0,76,39,27,45,28,2018-01-01
38,12,51,41,31,41,76,41,28,44,30,2018-02-01
39,25,25,68,31,0,49,82,55,0,36,2018-03-01
41,20,0,54,68,42,40,0,29,47,42,2018-04-01
38,13,27,65,65,0,43,40,58,0,39,2018-05-01
38,13,26,47,31,42,57,41,28,47,55,2018-06-01
91,25,29,62,71,100,77,49,63,78,90,2018-07-01
0,20,0,60,64,44,78,43,29,46,61,2018-08-01
39,25,27,57,32,42,52,42,29,46,29,2018-09-01
38,13,53,54,32,44,27,40,59,0,23,2018-10-01
37,12,50,32,29,0,50,0,0,0,24,2018-11-01
75,15,0,39,38,45,42,40,56,0,29,2018-12-01
0,12,24,61,57,0,71,0,27,0,24,2019-01-01
36,68,0,41,30,0,41,0,27,0,28,2019-02-01
37,20,0,63,28,40,62,0,0,45,25,2019-03-01
80,22,0,52,28,43,53,0,76,0,45,2019-04-01
39,25,26,53,44,0,96,84,27,86,49,2019-05-01
36,30,27,52,59,0,62,42,57,46,41,2019-06-01
45,25,31,71,72,0,50,44,92,53,77,2019-07-01
0,24,28,63,33,90,41,44,31,100,54,2019-08-01
36,34,24,80,30,39,48,38,68,0,41,2019-09-01
35,47,50,43,44,0,46,38,54,44,24,2019-10-01
34,17,23,32,0,0,46,0,25,0,15,2019-11-01
34,27,0,30,27,37,28,0,0,0,12,2019-12-01
33,33,45,41,53,36,65,35,0,0,17,2020-01-01
33,17,23,25,41,0,33,0,25,40,17,2020-02-01
31,100,0,34,0,0,21,33,23,0,18,2020-03-01
29,25,0,22,26,0,32,31,48,0,16,2020-04-01
31,40,0,23,26,0,22,0,46,0,14,2020-05-01
46,94,0,40,37,0,44,36,0,0,28,2020-06-01
0,85,33,64,39,0,33,37,26,0,48,2020-07-01
