Categoría: Todas las categorías

Semana,Cala Salada: (España)
2015-08-02,63
2015-08-09,86
2015-08-16,77
2015-08-23,45
2015-08-30,46
2015-09-06,18
2015-09-13,21
2015-09-20,13
2015-09-27,11
2015-10-04,6
2015-10-11,6
2015-10-18,5
2015-10-25,5
2015-11-01,0
2015-11-08,0
2015-11-15,6
2015-11-22,5
2015-11-29,6
2015-12-06,6
2015-12-13,0
2015-12-20,0
2015-12-27,0
2016-01-03,6
2016-01-10,9
2016-01-17,0
2016-01-24,0
2016-01-31,0
2016-02-07,6
2016-02-14,6
2016-02-21,6
2016-02-28,0
2016-03-06,8
2016-03-13,8
2016-03-20,7
2016-03-27,10
2016-04-03,9
2016-04-10,6
2016-04-17,12
2016-04-24,10
2016-05-01,15
2016-05-08,20
2016-05-15,10
2016-05-22,29
2016-05-29,16
2016-06-05,32
2016-06-12,44
2016-06-19,36
2016-06-26,35
2016-07-03,56
2016-07-10,30
2016-07-17,61
2016-07-24,65
2016-07-31,53
2016-08-07,91
2016-08-14,64
2016-08-21,69
2016-08-28,60
2016-09-04,57
2016-09-11,36
2016-09-18,26
2016-09-25,19
2016-10-02,15
2016-10-09,0
2016-10-16,13
2016-10-23,6
2016-10-30,20
2016-11-06,6
2016-11-13,0
2016-11-20,6
2016-11-27,6
2016-12-04,6
2016-12-11,0
2016-12-18,0
2016-12-25,14
2017-01-01,0
2017-01-08,6
2017-01-15,6
2017-01-22,6
2017-01-29,9
2017-02-05,6
2017-02-12,6
2017-02-19,6
2017-02-26,9
2017-03-05,12
2017-03-12,14
2017-03-19,12
2017-03-26,9
2017-04-02,6
2017-04-09,22
2017-04-16,18
2017-04-23,11
2017-04-30,24
2017-05-07,26
2017-05-14,33
2017-05-21,16
2017-05-28,37
2017-06-04,30
2017-06-11,25
2017-06-18,51
2017-06-25,57
2017-07-02,45
2017-07-09,54
2017-07-16,67
2017-07-23,47
2017-07-30,72
2017-08-06,78
2017-08-13,70
2017-08-20,98
2017-08-27,40
2017-09-03,36
2017-09-10,47
2017-09-17,44
2017-09-24,25
2017-10-01,20
2017-10-08,6
2017-10-15,14
2017-10-22,13
2017-10-29,13
2017-11-05,6
2017-11-12,0
2017-11-19,0
2017-11-26,0
2017-12-03,6
2017-12-10,0
2017-12-17,0
2017-12-24,0
2017-12-31,6
2018-01-07,5
2018-01-14,5
2018-01-21,11
2018-01-28,5
2018-02-04,5
2018-02-11,0
2018-02-18,0
2018-02-25,0
2018-03-04,5
2018-03-11,5
2018-03-18,16
2018-03-25,12
2018-04-01,18
2018-04-08,8
2018-04-15,13
2018-04-22,16
2018-04-29,20
2018-05-06,19
2018-05-13,39
2018-05-20,23
2018-05-27,39
2018-06-03,31
2018-06-10,47
2018-06-17,44
2018-06-24,53
2018-07-01,77
2018-07-08,49
2018-07-15,56
2018-07-22,66
2018-07-29,70
2018-08-05,60
2018-08-12,83
2018-08-19,85
2018-08-26,60
2018-09-02,51
2018-09-09,42
2018-09-16,48
2018-09-23,45
2018-09-30,14
2018-10-07,18
2018-10-14,10
2018-10-21,7
2018-10-28,0
2018-11-04,5
2018-11-11,5
2018-11-18,0
2018-11-25,5
2018-12-02,0
2018-12-09,0
2018-12-16,0
2018-12-23,6
2018-12-30,6
2019-01-06,7
2019-01-13,15
2019-01-20,5
2019-01-27,10
2019-02-03,0
2019-02-10,5
2019-02-17,8
2019-02-24,5
2019-03-03,10
2019-03-10,5
2019-03-17,5
2019-03-24,9
2019-03-31,15
2019-04-07,8
2019-04-14,13
2019-04-21,23
2019-04-28,9
2019-05-05,22
2019-05-12,19
2019-05-19,24
2019-05-26,28
2019-06-02,36
2019-06-09,47
2019-06-16,41
2019-06-23,53
2019-06-30,56
2019-07-07,50
2019-07-14,48
2019-07-21,61
2019-07-28,61
2019-08-04,100
2019-08-11,99
2019-08-18,76
2019-08-25,57
2019-09-01,67
2019-09-08,32
2019-09-15,30
2019-09-22,32
2019-09-29,27
2019-10-06,14
2019-10-13,16
2019-10-20,5
2019-10-27,7
2019-11-03,0
2019-11-10,5
2019-11-17,5
2019-11-24,9
2019-12-01,0
2019-12-08,5
2019-12-15,5
2019-12-22,5
2019-12-29,5
2020-01-05,5
2020-01-12,4
2020-01-19,4
2020-01-26,4
2020-02-02,5
2020-02-09,0
2020-02-16,0
2020-02-23,4
2020-03-01,4
2020-03-08,4
2020-03-15,4
2020-03-22,4
2020-03-29,4
2020-04-05,0
2020-04-12,4
2020-04-19,0
2020-04-26,6
2020-05-03,4
2020-05-10,4
2020-05-17,8
2020-05-24,10
2020-05-31,7
2020-06-07,8
2020-06-14,6
2020-06-21,15
2020-06-28,12
2020-07-05,26
2020-07-12,26
2020-07-19,31
