Categoría: Todas las categorías

Semana,Ses Illetes: (España)
2015-08-02,44
2015-08-09,64
2015-08-16,52
2015-08-23,74
2015-08-30,33
2015-09-06,26
2015-09-13,10
2015-09-20,24
2015-09-27,12
2015-10-04,9
2015-10-11,14
2015-10-18,0
2015-10-25,9
2015-11-01,9
2015-11-08,9
2015-11-15,9
2015-11-22,0
2015-11-29,14
2015-12-06,10
2015-12-13,0
2015-12-20,21
2015-12-27,11
2016-01-03,11
2016-01-10,10
2016-01-17,20
2016-01-24,10
2016-01-31,20
2016-02-07,10
2016-02-14,100
2016-02-21,33
2016-02-28,20
2016-03-06,20
2016-03-13,24
2016-03-20,23
2016-03-27,26
2016-04-03,15
2016-04-10,15
2016-04-17,10
2016-04-24,10
2016-05-01,27
2016-05-08,23
2016-05-15,48
2016-05-22,28
2016-05-29,38
2016-06-05,49
2016-06-12,35
2016-06-19,48
2016-06-26,22
2016-07-03,57
2016-07-10,89
2016-07-17,62
2016-07-24,92
2016-07-31,67
2016-08-07,84
2016-08-14,46
2016-08-21,46
2016-08-28,61
2016-09-04,42
2016-09-11,33
2016-09-18,22
2016-09-25,16
2016-10-02,18
2016-10-09,11
2016-10-16,10
2016-10-23,14
2016-10-30,11
2016-11-06,11
2016-11-13,16
2016-11-20,10
2016-11-27,0
2016-12-04,21
2016-12-11,10
2016-12-18,0
2016-12-25,0
2017-01-01,11
2017-01-08,10
2017-01-15,29
2017-01-22,10
2017-01-29,0
2017-02-05,14
2017-02-12,0
2017-02-19,39
2017-02-26,9
2017-03-05,19
2017-03-12,0
2017-03-19,10
2017-03-26,10
2017-04-02,16
2017-04-09,26
2017-04-16,20
2017-04-23,22
2017-04-30,33
2017-05-07,28
2017-05-14,17
2017-05-21,36
2017-05-28,30
2017-06-04,50
2017-06-11,31
2017-06-18,58
2017-06-25,52
2017-07-02,39
2017-07-09,46
2017-07-16,64
2017-07-23,60
2017-07-30,77
2017-08-06,29
2017-08-13,48
2017-08-20,63
2017-08-27,56
2017-09-03,29
2017-09-10,16
2017-09-17,19
2017-09-24,23
2017-10-01,19
2017-10-08,19
2017-10-15,18
2017-10-22,9
2017-10-29,9
2017-11-05,9
2017-11-12,0
2017-11-19,9
2017-11-26,9
2017-12-03,20
2017-12-10,0
2017-12-17,10
2017-12-24,11
2017-12-31,20
2018-01-07,0
2018-01-14,18
2018-01-21,9
2018-01-28,9
2018-02-04,9
2018-02-11,9
2018-02-18,13
2018-02-25,17
2018-03-04,9
2018-03-11,12
2018-03-18,0
2018-03-25,20
2018-04-01,12
2018-04-08,17
2018-04-15,27
2018-04-22,18
2018-04-29,18
2018-05-06,11
2018-05-13,27
2018-05-20,40
2018-05-27,17
2018-06-03,26
2018-06-10,48
2018-06-17,40
2018-06-24,55
2018-07-01,36
2018-07-08,42
2018-07-15,43
2018-07-22,47
2018-07-29,78
2018-08-05,68
2018-08-12,61
2018-08-19,92
2018-08-26,83
2018-09-02,59
2018-09-09,47
2018-09-16,38
2018-09-23,40
2018-09-30,29
2018-10-07,21
2018-10-14,13
2018-10-21,9
2018-10-28,9
2018-11-04,8
2018-11-11,26
2018-11-18,17
2018-11-25,9
2018-12-02,9
2018-12-09,9
2018-12-16,13
2018-12-23,10
2018-12-30,10
2019-01-06,9
2019-01-13,8
2019-01-20,8
2019-01-27,8
2019-02-03,13
2019-02-10,17
2019-02-17,13
2019-02-24,20
2019-03-03,17
2019-03-10,9
2019-03-17,9
2019-03-24,9
2019-03-31,17
2019-04-07,22
2019-04-14,13
2019-04-21,23
2019-04-28,17
2019-05-05,17
2019-05-12,31
2019-05-19,28
2019-05-26,55
2019-06-02,51
2019-06-09,47
2019-06-16,40
2019-06-23,67
2019-06-30,47
2019-07-07,59
2019-07-14,44
2019-07-21,74
2019-07-28,76
2019-08-04,82
2019-08-11,61
2019-08-18,86
2019-08-25,77
2019-09-01,57
2019-09-08,19
2019-09-15,47
2019-09-22,29
2019-09-29,32
2019-10-06,21
2019-10-13,19
2019-10-20,8
2019-10-27,8
2019-11-03,8
2019-11-10,0
2019-11-17,0
2019-11-24,0
2019-12-01,8
2019-12-08,12
2019-12-15,8
2019-12-22,9
2019-12-29,9
2020-01-05,8
2020-01-12,7
2020-01-19,7
2020-01-26,7
2020-02-02,7
2020-02-09,0
2020-02-16,7
2020-02-23,10
2020-03-01,0
2020-03-08,0
2020-03-15,7
2020-03-22,0
2020-03-29,19
2020-04-05,0
2020-04-12,7
2020-04-19,6
2020-04-26,11
2020-05-03,6
2020-05-10,13
2020-05-17,10
2020-05-24,9
2020-05-31,10
2020-06-07,10
2020-06-14,17
2020-06-21,11
2020-06-28,37
2020-07-05,46
2020-07-12,40
2020-07-19,51
