Categoría: Todas las categorías

Semana,Es Pujols: (España)
2015-08-02,50
2015-08-09,43
2015-08-16,31
2015-08-23,33
2015-08-30,38
2015-09-06,48
2015-09-13,35
2015-09-20,49
2015-09-27,14
2015-10-04,19
2015-10-11,20
2015-10-18,0
2015-10-25,19
2015-11-01,0
2015-11-08,0
2015-11-15,9
2015-11-22,19
2015-11-29,0
2015-12-06,0
2015-12-13,0
2015-12-20,0
2015-12-27,11
2016-01-03,18
2016-01-10,10
2016-01-17,21
2016-01-24,17
2016-01-31,16
2016-02-07,16
2016-02-14,28
2016-02-21,17
2016-02-28,16
2016-03-06,21
2016-03-13,16
2016-03-20,28
2016-03-27,33
2016-04-03,26
2016-04-10,14
2016-04-17,0
2016-04-24,32
2016-05-01,40
2016-05-08,41
2016-05-15,33
2016-05-22,32
2016-05-29,40
2016-06-05,44
2016-06-12,47
2016-06-19,31
2016-06-26,57
2016-07-03,40
2016-07-10,69
2016-07-17,45
2016-07-24,58
2016-07-31,66
2016-08-07,46
2016-08-14,57
2016-08-21,40
2016-08-28,56
2016-09-04,63
2016-09-11,46
2016-09-18,19
2016-09-25,22
2016-10-02,38
2016-10-09,0
2016-10-16,22
2016-10-23,22
2016-10-30,23
2016-11-06,0
2016-11-13,11
2016-11-20,10
2016-11-27,10
2016-12-04,11
2016-12-11,11
2016-12-18,0
2016-12-25,0
2017-01-01,12
2017-01-08,31
2017-01-15,20
2017-01-22,10
2017-01-29,10
2017-02-05,17
2017-02-12,10
2017-02-19,10
2017-02-26,19
2017-03-05,29
2017-03-12,29
2017-03-19,10
2017-03-26,25
2017-04-02,15
2017-04-09,35
2017-04-16,26
2017-04-23,19
2017-04-30,36
2017-05-07,26
2017-05-14,16
2017-05-21,42
2017-05-28,39
2017-06-04,38
2017-06-11,50
2017-06-18,71
2017-06-25,47
2017-07-02,37
2017-07-09,63
2017-07-16,59
2017-07-23,100
2017-07-30,44
2017-08-06,63
2017-08-13,31
2017-08-20,62
2017-08-27,62
2017-09-03,51
2017-09-10,54
2017-09-17,43
2017-09-24,33
2017-10-01,26
2017-10-08,23
2017-10-15,28
2017-10-22,10
2017-10-29,10
2017-11-05,10
2017-11-12,0
2017-11-19,0
2017-11-26,9
2017-12-03,11
2017-12-10,0
2017-12-17,10
2017-12-24,0
2017-12-31,51
2018-01-07,16
2018-01-14,9
2018-01-21,19
2018-01-28,9
2018-02-04,14
2018-02-11,22
2018-02-18,19
2018-02-25,0
2018-03-04,9
2018-03-11,14
2018-03-18,19
2018-03-25,26
2018-04-01,19
2018-04-08,22
2018-04-15,12
2018-04-22,37
2018-04-29,35
2018-05-06,36
2018-05-13,40
2018-05-20,43
2018-05-27,45
2018-06-03,39
2018-06-10,70
2018-06-17,51
2018-06-24,54
2018-07-01,54
2018-07-08,63
2018-07-15,58
2018-07-22,62
2018-07-29,72
2018-08-05,68
2018-08-12,63
2018-08-19,57
2018-08-26,54
2018-09-02,95
2018-09-09,49
2018-09-16,49
2018-09-23,57
2018-09-30,54
2018-10-07,46
2018-10-14,18
2018-10-21,12
2018-10-28,14
2018-11-04,9
2018-11-11,9
2018-11-18,9
2018-11-25,12
2018-12-02,10
2018-12-09,9
2018-12-16,9
2018-12-23,14
2018-12-30,10
2019-01-06,9
2019-01-13,9
2019-01-20,14
2019-01-27,17
2019-02-03,18
2019-02-10,9
2019-02-17,15
2019-02-24,13
2019-03-03,14
2019-03-10,18
2019-03-17,12
2019-03-24,18
2019-03-31,20
2019-04-07,9
2019-04-14,14
2019-04-21,15
2019-04-28,30
2019-05-05,26
2019-05-12,44
2019-05-19,38
2019-05-26,26
2019-06-02,45
2019-06-09,57
2019-06-16,51
2019-06-23,46
2019-06-30,58
2019-07-07,50
2019-07-14,46
2019-07-21,90
2019-07-28,64
2019-08-04,86
2019-08-11,90
2019-08-18,56
2019-08-25,86
2019-09-01,93
2019-09-08,81
2019-09-15,69
2019-09-22,50
2019-09-29,28
2019-10-06,37
2019-10-13,11
2019-10-20,20
2019-10-27,8
2019-11-03,13
2019-11-10,8
2019-11-17,16
2019-11-24,0
2019-12-01,8
2019-12-08,8
2019-12-15,16
2019-12-22,0
2019-12-29,9
2020-01-05,8
2020-01-12,15
2020-01-19,12
2020-01-26,8
2020-02-02,13
2020-02-09,12
2020-02-16,8
2020-02-23,0
2020-03-01,12
2020-03-08,7
2020-03-15,0
2020-03-22,0
2020-03-29,13
2020-04-05,11
2020-04-12,7
2020-04-19,7
2020-04-26,11
2020-05-03,13
2020-05-10,13
2020-05-17,25
2020-05-24,17
2020-05-31,30
2020-06-07,21
2020-06-14,32
2020-06-21,44
2020-06-28,46
2020-07-05,45
2020-07-12,33
2020-07-19,57
