Categoría: Todas las categorías

Semana,Cap de Barbaria: (España)
2015-08-02,36
2015-08-09,36
2015-08-16,71
2015-08-23,34
2015-08-30,0
2015-09-06,31
2015-09-13,0
2015-09-20,45
2015-09-27,87
2015-10-04,0
2015-10-11,0
2015-10-18,28
2015-10-25,0
2015-11-01,0
2015-11-08,0
2015-11-15,29
2015-11-22,29
2015-11-29,30
2015-12-06,0
2015-12-13,0
2015-12-20,0
2015-12-27,34
2016-01-03,0
2016-01-10,32
2016-01-17,0
2016-01-24,0
2016-01-31,0
2016-02-07,0
2016-02-14,0
2016-02-21,0
2016-02-28,31
2016-03-06,32
2016-03-13,33
2016-03-20,0
2016-03-27,66
2016-04-03,47
2016-04-10,31
2016-04-17,31
2016-04-24,32
2016-05-01,33
2016-05-08,0
2016-05-15,34
2016-05-22,33
2016-05-29,33
2016-06-05,34
2016-06-12,33
2016-06-19,35
2016-06-26,46
2016-07-03,55
2016-07-10,37
2016-07-17,0
2016-07-24,51
2016-07-31,53
2016-08-07,56
2016-08-14,43
2016-08-21,40
2016-08-28,36
2016-09-04,54
2016-09-11,53
2016-09-18,0
2016-09-25,34
2016-10-02,0
2016-10-09,0
2016-10-16,66
2016-10-23,0
2016-10-30,0
2016-11-06,33
2016-11-13,0
2016-11-20,0
2016-11-27,0
2016-12-04,33
2016-12-11,0
2016-12-18,34
2016-12-25,0
2017-01-01,0
2017-01-08,31
2017-01-15,31
2017-01-22,30
2017-01-29,0
2017-02-05,30
2017-02-12,0
2017-02-19,0
2017-02-26,30
2017-03-05,60
2017-03-12,29
2017-03-19,30
2017-03-26,0
2017-04-02,94
2017-04-09,0
2017-04-16,0
2017-04-23,30
2017-04-30,41
2017-05-07,89
2017-05-14,54
2017-05-21,32
2017-05-28,32
2017-06-04,32
2017-06-11,43
2017-06-18,32
2017-06-25,33
2017-07-02,34
2017-07-09,51
2017-07-16,34
2017-07-23,67
2017-07-30,0
2017-08-06,51
2017-08-13,47
2017-08-20,50
2017-08-27,63
2017-09-03,31
2017-09-10,52
2017-09-17,61
2017-09-24,45
2017-10-01,30
2017-10-08,61
2017-10-15,29
2017-10-22,0
2017-10-29,29
2017-11-05,0
2017-11-12,30
2017-11-19,0
2017-11-26,29
2017-12-03,0
2017-12-10,29
2017-12-17,31
2017-12-24,34
2017-12-31,0
2018-01-07,28
2018-01-14,28
2018-01-21,28
2018-01-28,28
2018-02-04,0
2018-02-11,29
2018-02-18,28
2018-02-25,0
2018-03-04,0
2018-03-11,0
2018-03-18,0
2018-03-25,0
2018-04-01,0
2018-04-08,27
2018-04-15,28
2018-04-22,28
2018-04-29,29
2018-05-06,27
2018-05-13,0
2018-05-20,28
2018-05-27,55
2018-06-03,41
2018-06-10,53
2018-06-17,48
2018-06-24,58
2018-07-01,29
2018-07-08,29
2018-07-15,69
2018-07-22,59
2018-07-29,49
2018-08-05,44
2018-08-12,76
2018-08-19,40
2018-08-26,44
2018-09-02,65
2018-09-09,65
2018-09-16,28
2018-09-23,68
2018-09-30,27
2018-10-07,28
2018-10-14,27
2018-10-21,0
2018-10-28,28
2018-11-04,27
2018-11-11,0
2018-11-18,26
2018-11-25,0
2018-12-02,29
2018-12-09,0
2018-12-16,0
2018-12-23,0
2018-12-30,0
2019-01-06,0
2019-01-13,40
2019-01-20,26
2019-01-27,0
2019-02-03,0
2019-02-10,27
2019-02-17,0
2019-02-24,0
2019-03-03,28
2019-03-10,0
2019-03-17,0
2019-03-24,46
2019-03-31,27
2019-04-07,0
2019-04-14,28
2019-04-21,27
2019-04-28,27
2019-05-05,26
2019-05-12,27
2019-05-19,44
2019-05-26,26
2019-06-02,39
2019-06-09,61
2019-06-16,27
2019-06-23,42
2019-06-30,37
2019-07-07,45
2019-07-14,70
2019-07-21,56
2019-07-28,39
2019-08-04,44
2019-08-11,49
2019-08-18,47
2019-08-25,99
2019-09-01,77
2019-09-08,38
2019-09-15,50
2019-09-22,25
2019-09-29,25
2019-10-06,25
2019-10-13,49
2019-10-20,49
2019-10-27,0
2019-11-03,24
2019-11-10,0
2019-11-17,0
2019-11-24,24
2019-12-01,0
2019-12-08,0
2019-12-15,0
2019-12-22,0
2019-12-29,0
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,23
2020-02-02,47
2020-02-09,47
2020-02-16,0
2020-02-23,23
2020-03-01,0
2020-03-08,22
2020-03-15,0
2020-03-22,0
2020-03-29,0
2020-04-05,0
2020-04-12,21
2020-04-19,20
2020-04-26,20
2020-05-03,20
2020-05-10,0
2020-05-17,0
2020-05-24,22
2020-05-31,21
2020-06-07,21
2020-06-14,22
2020-06-21,39
2020-06-28,35
2020-07-05,24
2020-07-12,100
2020-07-19,35
