Categoría: Todas las categorías

Semana,Cabo de Formentor: (España)
2015-08-02,26
2015-08-09,27
2015-08-16,40
2015-08-23,25
2015-08-30,31
2015-09-06,35
2015-09-13,0
2015-09-20,33
2015-09-27,22
2015-10-04,0
2015-10-11,22
2015-10-18,0
2015-10-25,21
2015-11-01,0
2015-11-08,22
2015-11-15,22
2015-11-22,0
2015-11-29,22
2015-12-06,23
2015-12-13,0
2015-12-20,0
2015-12-27,0
2016-01-03,0
2016-01-10,0
2016-01-17,48
2016-01-24,24
2016-01-31,36
2016-02-07,23
2016-02-14,0
2016-02-21,0
2016-02-28,0
2016-03-06,0
2016-03-13,0
2016-03-20,27
2016-03-27,25
2016-04-03,0
2016-04-10,24
2016-04-17,0
2016-04-24,0
2016-05-01,24
2016-05-08,23
2016-05-15,0
2016-05-22,24
2016-05-29,0
2016-06-05,25
2016-06-12,25
2016-06-19,26
2016-06-26,26
2016-07-03,27
2016-07-10,27
2016-07-17,0
2016-07-24,29
2016-07-31,59
2016-08-07,47
2016-08-14,32
2016-08-21,59
2016-08-28,40
2016-09-04,27
2016-09-11,26
2016-09-18,51
2016-09-25,38
2016-10-02,0
2016-10-09,0
2016-10-16,25
2016-10-23,0
2016-10-30,50
2016-11-06,50
2016-11-13,25
2016-11-20,0
2016-11-27,23
2016-12-04,0
2016-12-11,0
2016-12-18,0
2016-12-25,0
2017-01-01,26
2017-01-08,0
2017-01-15,0
2017-01-22,0
2017-01-29,22
2017-02-05,45
2017-02-12,0
2017-02-19,23
2017-02-26,0
2017-03-05,22
2017-03-12,22
2017-03-19,22
2017-03-26,23
2017-04-02,46
2017-04-09,52
2017-04-16,23
2017-04-23,22
2017-04-30,46
2017-05-07,22
2017-05-14,36
2017-05-21,0
2017-05-28,24
2017-06-04,24
2017-06-11,32
2017-06-18,48
2017-06-25,49
2017-07-02,50
2017-07-09,25
2017-07-16,58
2017-07-23,25
2017-07-30,24
2017-08-06,100
2017-08-13,26
2017-08-20,37
2017-08-27,39
2017-09-03,46
2017-09-10,23
2017-09-17,0
2017-09-24,22
2017-10-01,0
2017-10-08,23
2017-10-15,22
2017-10-22,0
2017-10-29,0
2017-11-05,0
2017-11-12,22
2017-11-19,0
2017-11-26,0
2017-12-03,0
2017-12-10,22
2017-12-17,0
2017-12-24,0
2017-12-31,0
2018-01-07,0
2018-01-14,21
2018-01-21,0
2018-01-28,21
2018-02-04,0
2018-02-11,21
2018-02-18,42
2018-02-25,20
2018-03-04,41
2018-03-11,20
2018-03-18,0
2018-03-25,47
2018-04-01,42
2018-04-08,40
2018-04-15,21
2018-04-22,41
2018-04-29,32
2018-05-06,20
2018-05-13,21
2018-05-20,0
2018-05-27,0
2018-06-03,34
2018-06-10,30
2018-06-17,22
2018-06-24,29
2018-07-01,43
2018-07-08,0
2018-07-15,44
2018-07-22,0
2018-07-29,51
2018-08-05,51
2018-08-12,38
2018-08-19,60
2018-08-26,0
2018-09-02,21
2018-09-09,41
2018-09-16,20
2018-09-23,20
2018-09-30,41
2018-10-07,21
2018-10-14,20
2018-10-21,20
2018-10-28,35
2018-11-04,0
2018-11-11,20
2018-11-18,19
2018-11-25,20
2018-12-02,0
2018-12-09,21
2018-12-16,0
2018-12-23,24
2018-12-30,23
2019-01-06,21
2019-01-13,20
2019-01-20,19
2019-01-27,0
2019-02-03,60
2019-02-10,40
2019-02-17,20
2019-02-24,20
2019-03-03,20
2019-03-10,21
2019-03-17,21
2019-03-24,41
2019-03-31,0
2019-04-07,20
2019-04-14,21
2019-04-21,40
2019-04-28,34
2019-05-05,20
2019-05-12,0
2019-05-19,20
2019-05-26,19
2019-06-02,29
2019-06-09,39
2019-06-16,0
2019-06-23,41
2019-06-30,27
2019-07-07,60
2019-07-14,28
2019-07-21,21
2019-07-28,22
2019-08-04,43
2019-08-11,36
2019-08-18,53
2019-08-25,40
2019-09-01,64
2019-09-08,47
2019-09-15,19
2019-09-22,38
2019-09-29,19
2019-10-06,0
2019-10-13,54
2019-10-20,18
2019-10-27,18
2019-11-03,36
2019-11-10,0
2019-11-17,18
2019-11-24,18
2019-12-01,0
2019-12-08,19
2019-12-15,0
2019-12-22,20
2019-12-29,0
2020-01-05,0
2020-01-12,0
2020-01-19,17
2020-01-26,0
2020-02-02,17
2020-02-09,0
2020-02-16,18
2020-02-23,26
2020-03-01,33
2020-03-08,16
2020-03-15,16
2020-03-22,0
2020-03-29,0
2020-04-05,0
2020-04-12,0
2020-04-19,0
2020-04-26,0
2020-05-03,15
2020-05-10,0
2020-05-17,32
2020-05-24,0
2020-05-31,0
2020-06-07,31
2020-06-14,16
2020-06-21,17
2020-06-28,35
2020-07-05,18
2020-07-12,19
2020-07-19,26
