Categoría: Todas las categorías

Semana,Soller: (España)
2015-08-02,51
2015-08-09,59
2015-08-16,63
2015-08-23,42
2015-08-30,44
2015-09-06,37
2015-09-13,36
2015-09-20,28
2015-09-27,36
2015-10-04,34
2015-10-11,28
2015-10-18,29
2015-10-25,27
2015-11-01,24
2015-11-08,15
2015-11-15,16
2015-11-22,13
2015-11-29,15
2015-12-06,15
2015-12-13,15
2015-12-20,10
2015-12-27,18
2016-01-03,12
2016-01-10,17
2016-01-17,18
2016-01-24,16
2016-01-31,22
2016-02-07,26
2016-02-14,19
2016-02-21,20
2016-02-28,21
2016-03-06,31
2016-03-13,27
2016-03-20,39
2016-03-27,39
2016-04-03,36
2016-04-10,30
2016-04-17,31
2016-04-24,44
2016-05-01,50
2016-05-08,52
2016-05-15,38
2016-05-22,35
2016-05-29,32
2016-06-05,41
2016-06-12,44
2016-06-19,50
2016-06-26,49
2016-07-03,44
2016-07-10,56
2016-07-17,59
2016-07-24,60
2016-07-31,63
2016-08-07,68
2016-08-14,73
2016-08-21,67
2016-08-28,50
2016-09-04,53
2016-09-11,46
2016-09-18,55
2016-09-25,42
2016-10-02,41
2016-10-09,44
2016-10-16,40
2016-10-23,30
2016-10-30,30
2016-11-06,18
2016-11-13,22
2016-11-20,20
2016-11-27,17
2016-12-04,18
2016-12-11,14
2016-12-18,16
2016-12-25,21
2017-01-01,17
2017-01-08,19
2017-01-15,21
2017-01-22,20
2017-01-29,21
2017-02-05,28
2017-02-12,24
2017-02-19,26
2017-02-26,26
2017-03-05,29
2017-03-12,31
2017-03-19,34
2017-03-26,40
2017-04-02,40
2017-04-09,46
2017-04-16,42
2017-04-23,44
2017-04-30,43
2017-05-07,48
2017-05-14,49
2017-05-21,45
2017-05-28,46
2017-06-04,47
2017-06-11,46
2017-06-18,53
2017-06-25,52
2017-07-02,47
2017-07-09,50
2017-07-16,57
2017-07-23,58
2017-07-30,62
2017-08-06,84
2017-08-13,64
2017-08-20,64
2017-08-27,60
2017-09-03,54
2017-09-10,63
2017-09-17,52
2017-09-24,49
2017-10-01,39
2017-10-08,42
2017-10-15,38
2017-10-22,40
2017-10-29,34
2017-11-05,29
2017-11-12,25
2017-11-19,19
2017-11-26,26
2017-12-03,23
2017-12-10,21
2017-12-17,18
2017-12-24,22
2017-12-31,22
2018-01-07,20
2018-01-14,22
2018-01-21,27
2018-01-28,24
2018-02-04,25
2018-02-11,29
2018-02-18,33
2018-02-25,32
2018-03-04,35
2018-03-11,35
2018-03-18,37
2018-03-25,57
2018-04-01,56
2018-04-08,47
2018-04-15,48
2018-04-22,43
2018-04-29,62
2018-05-06,63
2018-05-13,61
2018-05-20,49
2018-05-27,53
2018-06-03,58
2018-06-10,55
2018-06-17,52
2018-06-24,53
2018-07-01,60
2018-07-08,65
2018-07-15,65
2018-07-22,67
2018-07-29,63
2018-08-05,82
2018-08-12,87
2018-08-19,81
2018-08-26,70
2018-09-02,67
2018-09-09,73
2018-09-16,65
2018-09-23,55
2018-09-30,58
2018-10-07,61
2018-10-14,51
2018-10-21,45
2018-10-28,41
2018-11-04,29
2018-11-11,23
2018-11-18,23
2018-11-25,23
2018-12-02,23
2018-12-09,19
2018-12-16,18
2018-12-23,28
2018-12-30,24
2019-01-06,19
2019-01-13,21
2019-01-20,25
2019-01-27,20
2019-02-03,22
2019-02-10,29
2019-02-17,32
2019-02-24,33
2019-03-03,33
2019-03-10,39
2019-03-17,40
2019-03-24,35
2019-03-31,44
2019-04-07,56
2019-04-14,76
2019-04-21,65
2019-04-28,59
2019-05-05,55
2019-05-12,57
2019-05-19,53
2019-05-26,54
2019-06-02,48
2019-06-09,59
2019-06-16,58
2019-06-23,59
2019-06-30,58
2019-07-07,68
2019-07-14,66
2019-07-21,77
2019-07-28,67
2019-08-04,92
2019-08-11,100
2019-08-18,91
2019-08-25,74
2019-09-01,76
2019-09-08,75
2019-09-15,69
2019-09-22,55
2019-09-29,56
2019-10-06,53
2019-10-13,53
2019-10-20,45
2019-10-27,43
2019-11-03,29
2019-11-10,25
2019-11-17,25
2019-11-24,20
2019-12-01,27
2019-12-08,21
2019-12-15,17
2019-12-22,25
2019-12-29,24
2020-01-05,22
2020-01-12,19
2020-01-19,24
2020-01-26,26
2020-02-02,27
2020-02-09,28
2020-02-16,35
2020-02-23,35
2020-03-01,35
2020-03-08,27
2020-03-15,13
2020-03-22,13
2020-03-29,14
2020-04-05,13
2020-04-12,12
2020-04-19,12
2020-04-26,11
2020-05-03,18
2020-05-10,18
2020-05-17,17
2020-05-24,20
2020-05-31,20
2020-06-07,23
2020-06-14,21
2020-06-21,23
2020-06-28,30
2020-07-05,39
2020-07-12,44
2020-07-19,45
