Categoría: Todas las categorías

Semana,Cala Galdana: (España)
2015-08-02,47
2015-08-09,47
2015-08-16,44
2015-08-23,41
2015-08-30,40
2015-09-06,22
2015-09-13,14
2015-09-20,22
2015-09-27,9
2015-10-04,9
2015-10-11,6
2015-10-18,7
2015-10-25,5
2015-11-01,4
2015-11-08,4
2015-11-15,5
2015-11-22,15
2015-11-29,7
2015-12-06,4
2015-12-13,3
2015-12-20,4
2015-12-27,5
2016-01-03,9
2016-01-10,8
2016-01-17,4
2016-01-24,9
2016-01-31,15
2016-02-07,10
2016-02-14,13
2016-02-21,12
2016-02-28,11
2016-03-06,16
2016-03-13,18
2016-03-20,13
2016-03-27,20
2016-04-03,19
2016-04-10,20
2016-04-17,19
2016-04-24,21
2016-05-01,21
2016-05-08,29
2016-05-15,24
2016-05-22,29
2016-05-29,28
2016-06-05,42
2016-06-12,39
2016-06-19,43
2016-06-26,38
2016-07-03,42
2016-07-10,55
2016-07-17,58
2016-07-24,54
2016-07-31,46
2016-08-07,47
2016-08-14,42
2016-08-21,46
2016-08-28,33
2016-09-04,39
2016-09-11,37
2016-09-18,35
2016-09-25,15
2016-10-02,12
2016-10-09,12
2016-10-16,7
2016-10-23,5
2016-10-30,4
2016-11-06,7
2016-11-13,5
2016-11-20,2
2016-11-27,4
2016-12-04,2
2016-12-11,2
2016-12-18,4
2016-12-25,3
2017-01-01,4
2017-01-08,13
2017-01-15,12
2017-01-22,8
2017-01-29,11
2017-02-05,12
2017-02-12,17
2017-02-19,15
2017-02-26,13
2017-03-05,18
2017-03-12,11
2017-03-19,18
2017-03-26,22
2017-04-02,20
2017-04-09,23
2017-04-16,27
2017-04-23,31
2017-04-30,28
2017-05-07,24
2017-05-14,32
2017-05-21,26
2017-05-28,34
2017-06-04,52
2017-06-11,41
2017-06-18,40
2017-06-25,51
2017-07-02,55
2017-07-09,100
2017-07-16,83
2017-07-23,65
2017-07-30,75
2017-08-06,68
2017-08-13,75
2017-08-20,47
2017-08-27,57
2017-09-03,47
2017-09-10,37
2017-09-17,37
2017-09-24,22
2017-10-01,13
2017-10-08,17
2017-10-15,12
2017-10-22,6
2017-10-29,3
2017-11-05,3
2017-11-12,5
2017-11-19,5
2017-11-26,4
2017-12-03,5
2017-12-10,4
2017-12-17,11
2017-12-24,5
2017-12-31,4
2018-01-07,5
2018-01-14,9
2018-01-21,10
2018-01-28,10
2018-02-04,9
2018-02-11,9
2018-02-18,10
2018-02-25,7
2018-03-04,11
2018-03-11,16
2018-03-18,9
2018-03-25,16
2018-04-01,14
2018-04-08,17
2018-04-15,22
2018-04-22,27
2018-04-29,21
2018-05-06,28
2018-05-13,28
2018-05-20,30
2018-05-27,33
2018-06-03,45
2018-06-10,50
2018-06-17,48
2018-06-24,57
2018-07-01,62
2018-07-08,60
2018-07-15,70
2018-07-22,64
2018-07-29,55
2018-08-05,59
2018-08-12,68
2018-08-19,83
2018-08-26,59
2018-09-02,48
2018-09-09,40
2018-09-16,44
2018-09-23,27
2018-09-30,23
2018-10-07,16
2018-10-14,10
2018-10-21,8
2018-10-28,6
2018-11-04,5
2018-11-11,3
2018-11-18,4
2018-11-25,4
2018-12-02,5
2018-12-09,5
2018-12-16,3
2018-12-23,4
2018-12-30,8
2019-01-06,3
2019-01-13,10
2019-01-20,6
2019-01-27,5
2019-02-03,6
2019-02-10,7
2019-02-17,12
2019-02-24,11
2019-03-03,14
2019-03-10,11
2019-03-17,12
2019-03-24,13
2019-03-31,17
2019-04-07,11
2019-04-14,21
2019-04-21,14
2019-04-28,26
2019-05-05,26
2019-05-12,40
2019-05-19,34
2019-05-26,34
2019-06-02,38
2019-06-09,51
2019-06-16,48
2019-06-23,56
2019-06-30,53
2019-07-07,54
2019-07-14,76
2019-07-21,72
2019-07-28,73
2019-08-04,65
2019-08-11,81
2019-08-18,77
2019-08-25,53
2019-09-01,67
2019-09-08,54
2019-09-15,33
2019-09-22,38
2019-09-29,27
2019-10-06,23
2019-10-13,32
2019-10-20,13
2019-10-27,7
2019-11-03,6
2019-11-10,7
2019-11-17,3
2019-11-24,6
2019-12-01,3
2019-12-08,2
2019-12-15,4
2019-12-22,18
2019-12-29,6
2020-01-05,8
2020-01-12,8
2020-01-19,10
2020-01-26,12
2020-02-02,9
2020-02-09,10
2020-02-16,14
2020-02-23,13
2020-03-01,10
2020-03-08,8
2020-03-15,2
2020-03-22,5
2020-03-29,4
2020-04-05,4
2020-04-12,4
2020-04-19,3
2020-04-26,3
2020-05-03,2
2020-05-10,4
2020-05-17,7
2020-05-24,14
2020-05-31,9
2020-06-07,21
2020-06-14,26
2020-06-21,19
2020-06-28,34
2020-07-05,50
2020-07-12,51
2020-07-19,50
