Categoría: Todas las categorías

Semana,Cala Macarelleta: (España)
2015-08-02,41
2015-08-09,47
2015-08-16,35
2015-08-23,22
2015-08-30,26
2015-09-06,39
2015-09-13,25
2015-09-20,29
2015-09-27,14
2015-10-04,14
2015-10-11,15
2015-10-18,14
2015-10-25,0
2015-11-01,14
2015-11-08,0
2015-11-15,0
2015-11-22,0
2015-11-29,0
2015-12-06,0
2015-12-13,15
2015-12-20,16
2015-12-27,0
2016-01-03,17
2016-01-10,16
2016-01-17,0
2016-01-24,16
2016-01-31,0
2016-02-07,0
2016-02-14,31
2016-02-21,15
2016-02-28,0
2016-03-06,16
2016-03-13,0
2016-03-20,18
2016-03-27,25
2016-04-03,16
2016-04-10,16
2016-04-17,15
2016-04-24,0
2016-05-01,32
2016-05-08,30
2016-05-15,0
2016-05-22,33
2016-05-29,49
2016-06-05,44
2016-06-12,49
2016-06-19,41
2016-06-26,40
2016-07-03,48
2016-07-10,45
2016-07-17,61
2016-07-24,69
2016-07-31,66
2016-08-07,63
2016-08-14,50
2016-08-21,59
2016-08-28,36
2016-09-04,53
2016-09-11,17
2016-09-18,17
2016-09-25,17
2016-10-02,16
2016-10-09,17
2016-10-16,0
2016-10-23,0
2016-10-30,17
2016-11-06,16
2016-11-13,16
2016-11-20,15
2016-11-27,0
2016-12-04,0
2016-12-11,16
2016-12-18,0
2016-12-25,0
2017-01-01,17
2017-01-08,0
2017-01-15,15
2017-01-22,0
2017-01-29,30
2017-02-05,15
2017-02-12,15
2017-02-19,0
2017-02-26,20
2017-03-05,44
2017-03-12,29
2017-03-19,15
2017-03-26,15
2017-04-02,23
2017-04-09,17
2017-04-16,31
2017-04-23,14
2017-04-30,31
2017-05-07,37
2017-05-14,16
2017-05-21,32
2017-05-28,47
2017-06-04,26
2017-06-11,38
2017-06-18,64
2017-06-25,57
2017-07-02,61
2017-07-09,28
2017-07-16,100
2017-07-23,83
2017-07-30,44
2017-08-06,62
2017-08-13,61
2017-08-20,99
2017-08-27,36
2017-09-03,41
2017-09-10,31
2017-09-17,37
2017-09-24,29
2017-10-01,29
2017-10-08,0
2017-10-15,14
2017-10-22,14
2017-10-29,14
2017-11-05,15
2017-11-12,0
2017-11-19,0
2017-11-26,0
2017-12-03,16
2017-12-10,0
2017-12-17,15
2017-12-24,17
2017-12-31,16
2018-01-07,14
2018-01-14,0
2018-01-21,0
2018-01-28,0
2018-02-04,0
2018-02-11,14
2018-02-18,0
2018-02-25,0
2018-03-04,13
2018-03-11,27
2018-03-18,19
2018-03-25,16
2018-04-01,14
2018-04-08,13
2018-04-15,14
2018-04-22,14
2018-04-29,0
2018-05-06,13
2018-05-13,28
2018-05-20,28
2018-05-27,20
2018-06-03,20
2018-06-10,48
2018-06-17,48
2018-06-24,52
2018-07-01,52
2018-07-08,56
2018-07-15,63
2018-07-22,39
2018-07-29,93
2018-08-05,58
2018-08-12,40
2018-08-19,23
2018-08-26,79
2018-09-02,41
2018-09-09,50
2018-09-16,23
2018-09-23,36
2018-09-30,14
2018-10-07,28
2018-10-14,0
2018-10-21,14
2018-10-28,14
2018-11-04,0
2018-11-11,13
2018-11-18,0
2018-11-25,0
2018-12-02,0
2018-12-09,0
2018-12-16,0
2018-12-23,16
2018-12-30,0
2019-01-06,0
2019-01-13,13
2019-01-20,13
2019-01-27,0
2019-02-03,13
2019-02-10,13
2019-02-17,14
2019-02-24,0
2019-03-03,27
2019-03-10,28
2019-03-17,0
2019-03-24,0
2019-03-31,26
2019-04-07,13
2019-04-14,14
2019-04-21,0
2019-04-28,13
2019-05-05,22
2019-05-12,13
2019-05-19,17
2019-05-26,26
2019-06-02,38
2019-06-09,47
2019-06-16,58
2019-06-23,32
2019-06-30,69
2019-07-07,31
2019-07-14,46
2019-07-21,42
2019-07-28,43
2019-08-04,38
2019-08-11,34
2019-08-18,79
2019-08-25,44
2019-09-01,17
2019-09-08,29
2019-09-15,17
2019-09-22,13
2019-09-29,21
2019-10-06,0
2019-10-13,0
2019-10-20,12
2019-10-27,0
2019-11-03,12
2019-11-10,12
2019-11-17,0
2019-11-24,0
2019-12-01,0
2019-12-08,0
2019-12-15,0
2019-12-22,14
2019-12-29,0
2020-01-05,12
2020-01-12,11
2020-01-19,0
2020-01-26,0
2020-02-02,12
2020-02-09,12
2020-02-16,0
2020-02-23,23
2020-03-01,11
2020-03-08,0
2020-03-15,0
2020-03-22,10
2020-03-29,0
2020-04-05,0
2020-04-12,0
2020-04-19,0
2020-04-26,10
2020-05-03,0
2020-05-10,10
2020-05-17,0
2020-05-24,0
2020-05-31,0
2020-06-07,10
2020-06-14,15
2020-06-21,35
2020-06-28,19
2020-07-05,18
2020-07-12,29
2020-07-19,17
