Categoría: Todas las categorías

Semana,benirras: (Francia)
2015-08-02,50
2015-08-09,0
2015-08-16,0
2015-08-23,0
2015-08-30,44
2015-09-06,0
2015-09-13,41
2015-09-20,0
2015-09-27,0
2015-10-04,0
2015-10-11,0
2015-10-18,0
2015-10-25,40
2015-11-01,0
2015-11-08,0
2015-11-15,0
2015-11-22,0
2015-11-29,0
2015-12-06,0
2015-12-13,41
2015-12-20,46
2015-12-27,0
2016-01-03,0
2016-01-10,0
2016-01-17,0
2016-01-24,0
2016-01-31,0
2016-02-07,0
2016-02-14,0
2016-02-21,0
2016-02-28,0
2016-03-06,0
2016-03-13,0
2016-03-20,0
2016-03-27,0
2016-04-03,0
2016-04-10,43
2016-04-17,0
2016-04-24,42
2016-05-01,0
2016-05-08,41
2016-05-15,0
2016-05-22,0
2016-05-29,0
2016-06-05,0
2016-06-12,41
2016-06-19,0
2016-06-26,0
2016-07-03,0
2016-07-10,49
2016-07-17,49
2016-07-24,100
2016-07-31,52
2016-08-07,57
2016-08-14,56
2016-08-21,51
2016-08-28,0
2016-09-04,0
2016-09-11,46
2016-09-18,0
2016-09-25,45
2016-10-02,0
2016-10-09,0
2016-10-16,0
2016-10-23,0
2016-10-30,0
2016-11-06,0
2016-11-13,0
2016-11-20,42
2016-11-27,0
2016-12-04,0
2016-12-11,0
2016-12-18,0
2016-12-25,0
2017-01-01,0
2017-01-08,0
2017-01-15,0
2017-01-22,0
2017-01-29,0
2017-02-05,41
2017-02-12,0
2017-02-19,42
2017-02-26,40
2017-03-05,40
2017-03-12,0
2017-03-19,0
2017-03-26,42
2017-04-02,0
2017-04-09,0
2017-04-16,43
2017-04-23,0
2017-04-30,0
2017-05-07,0
2017-05-14,86
2017-05-21,46
2017-05-28,0
2017-06-04,0
2017-06-11,0
2017-06-18,42
2017-06-25,41
2017-07-02,44
2017-07-09,45
2017-07-16,0
2017-07-23,0
2017-07-30,0
2017-08-06,0
2017-08-13,47
2017-08-20,88
2017-08-27,0
2017-09-03,41
2017-09-10,0
2017-09-17,0
2017-09-24,40
2017-10-01,0
2017-10-08,40
2017-10-15,0
2017-10-22,40
2017-10-29,0
2017-11-05,0
2017-11-12,39
2017-11-19,0
2017-11-26,0
2017-12-03,0
2017-12-10,0
2017-12-17,0
2017-12-24,0
2017-12-31,41
2018-01-07,0
2018-01-14,0
2018-01-21,38
2018-01-28,38
2018-02-04,0
2018-02-11,0
2018-02-18,0
2018-02-25,39
2018-03-04,0
2018-03-11,0
2018-03-18,0
2018-03-25,0
2018-04-01,0
2018-04-08,0
2018-04-15,42
2018-04-22,0
2018-04-29,0
2018-05-06,41
2018-05-13,59
2018-05-20,40
2018-05-27,0
2018-06-03,0
2018-06-10,0
2018-06-17,78
2018-06-24,39
2018-07-01,38
2018-07-08,40
2018-07-15,0
2018-07-22,42
2018-07-29,86
2018-08-05,0
2018-08-12,87
2018-08-19,43
2018-08-26,82
2018-09-02,0
2018-09-09,40
2018-09-16,39
2018-09-23,40
2018-09-30,0
2018-10-07,0
2018-10-14,0
2018-10-21,0
2018-10-28,0
2018-11-04,0
2018-11-11,0
2018-11-18,0
2018-11-25,0
2018-12-02,0
2018-12-09,0
2018-12-16,0
2018-12-23,0
2018-12-30,0
2019-01-06,0
2019-01-13,38
2019-01-20,0
2019-01-27,0
2019-02-03,0
2019-02-10,0
2019-02-17,0
2019-02-24,0
2019-03-03,0
2019-03-10,0
2019-03-17,0
2019-03-24,0
2019-03-31,0
2019-04-07,0
2019-04-14,0
2019-04-21,40
2019-04-28,0
2019-05-05,38
2019-05-12,57
2019-05-19,38
2019-05-26,0
2019-06-02,36
2019-06-09,37
2019-06-16,39
2019-06-23,38
2019-06-30,38
2019-07-07,57
2019-07-14,40
2019-07-21,0
2019-07-28,41
2019-08-04,41
2019-08-11,82
2019-08-18,67
2019-08-25,57
2019-09-01,37
2019-09-08,37
2019-09-15,55
2019-09-22,35
2019-09-29,35
2019-10-06,0
2019-10-13,36
2019-10-20,72
2019-10-27,0
2019-11-03,0
2019-11-10,0
2019-11-17,0
2019-11-24,0
2019-12-01,0
2019-12-08,0
2019-12-15,0
2019-12-22,0
2019-12-29,0
2020-01-05,0
2020-01-12,0
2020-01-19,34
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,33
2020-03-01,0
2020-03-08,0
2020-03-15,31
2020-03-22,0
2020-03-29,0
2020-04-05,0
2020-04-12,0
2020-04-19,30
2020-04-26,0
2020-05-03,0
2020-05-10,0
2020-05-17,0
2020-05-24,31
2020-05-31,0
2020-06-07,0
2020-06-14,31
2020-06-21,0
2020-06-28,31
2020-07-05,0
2020-07-12,36
2020-07-19,0
