Categoría: Todas las categorías

Semana,babaria: (Francia)
2015-08-02,35
2015-08-09,0
2015-08-16,35
2015-08-23,32
2015-08-30,31
2015-09-06,31
2015-09-13,29
2015-09-20,30
2015-09-27,30
2015-10-04,30
2015-10-11,0
2015-10-18,0
2015-10-25,29
2015-11-01,29
2015-11-08,0
2015-11-15,0
2015-11-22,29
2015-11-29,28
2015-12-06,0
2015-12-13,0
2015-12-20,0
2015-12-27,0
2016-01-03,0
2016-01-10,87
2016-01-17,0
2016-01-24,0
2016-01-31,0
2016-02-07,86
2016-02-14,0
2016-02-21,59
2016-02-28,44
2016-03-06,30
2016-03-13,30
2016-03-20,30
2016-03-27,0
2016-04-03,30
2016-04-10,30
2016-04-17,0
2016-04-24,30
2016-05-01,0
2016-05-08,29
2016-05-15,0
2016-05-22,30
2016-05-29,59
2016-06-05,30
2016-06-12,29
2016-06-19,31
2016-06-26,0
2016-07-03,33
2016-07-10,0
2016-07-17,36
2016-07-24,36
2016-07-31,74
2016-08-07,0
2016-08-14,0
2016-08-21,36
2016-08-28,0
2016-09-04,50
2016-09-11,0
2016-09-18,33
2016-09-25,33
2016-10-02,0
2016-10-09,32
2016-10-16,33
2016-10-23,32
2016-10-30,0
2016-11-06,0
2016-11-13,0
2016-11-20,30
2016-11-27,30
2016-12-04,30
2016-12-11,62
2016-12-18,0
2016-12-25,0
2017-01-01,31
2017-01-08,0
2017-01-15,29
2017-01-22,0
2017-01-29,29
2017-02-05,30
2017-02-12,30
2017-02-19,30
2017-02-26,28
2017-03-05,28
2017-03-12,0
2017-03-19,0
2017-03-26,30
2017-04-02,31
2017-04-09,0
2017-04-16,31
2017-04-23,58
2017-04-30,29
2017-05-07,29
2017-05-14,31
2017-05-21,33
2017-05-28,0
2017-06-04,31
2017-06-11,31
2017-06-18,30
2017-06-25,0
2017-07-02,0
2017-07-09,48
2017-07-16,32
2017-07-23,31
2017-07-30,0
2017-08-06,0
2017-08-13,50
2017-08-20,32
2017-08-27,30
2017-09-03,29
2017-09-10,0
2017-09-17,29
2017-09-24,0
2017-10-01,0
2017-10-08,29
2017-10-15,0
2017-10-22,29
2017-10-29,0
2017-11-05,28
2017-11-12,28
2017-11-19,0
2017-11-26,0
2017-12-03,28
2017-12-10,0
2017-12-17,29
2017-12-24,32
2017-12-31,0
2018-01-07,0
2018-01-14,28
2018-01-21,27
2018-01-28,27
2018-02-04,54
2018-02-11,28
2018-02-18,0
2018-02-25,28
2018-03-04,0
2018-03-11,28
2018-03-18,0
2018-03-25,0
2018-04-01,28
2018-04-08,0
2018-04-15,30
2018-04-22,0
2018-04-29,28
2018-05-06,59
2018-05-13,28
2018-05-20,29
2018-05-27,0
2018-06-03,0
2018-06-10,0
2018-06-17,0
2018-06-24,28
2018-07-01,0
2018-07-08,0
2018-07-15,30
2018-07-22,30
2018-07-29,46
2018-08-05,31
2018-08-12,63
2018-08-19,61
2018-08-26,29
2018-09-02,29
2018-09-09,28
2018-09-16,85
2018-09-23,29
2018-09-30,29
2018-10-07,0
2018-10-14,28
2018-10-21,0
2018-10-28,0
2018-11-04,0
2018-11-11,27
2018-11-18,0
2018-11-25,0
2018-12-02,0
2018-12-09,0
2018-12-16,0
2018-12-23,65
2018-12-30,0
2019-01-06,28
2019-01-13,0
2019-01-20,0
2019-01-27,26
2019-02-03,27
2019-02-10,0
2019-02-17,29
2019-02-24,28
2019-03-03,0
2019-03-10,27
2019-03-17,0
2019-03-24,0
2019-03-31,56
2019-04-07,0
2019-04-14,0
2019-04-21,28
2019-04-28,0
2019-05-05,0
2019-05-12,0
2019-05-19,27
2019-05-26,0
2019-06-02,0
2019-06-09,27
2019-06-16,42
2019-06-23,28
2019-06-30,27
2019-07-07,41
2019-07-14,57
2019-07-21,100
2019-07-28,0
2019-08-04,30
2019-08-11,29
2019-08-18,39
2019-08-25,41
2019-09-01,53
2019-09-08,0
2019-09-15,26
2019-09-22,0
2019-09-29,25
2019-10-06,26
2019-10-13,26
2019-10-20,26
2019-10-27,25
2019-11-03,25
2019-11-10,25
2019-11-17,0
2019-11-24,24
2019-12-01,0
2019-12-08,0
2019-12-15,0
2019-12-22,0
2019-12-29,0
2020-01-05,0
2020-01-12,24
2020-01-19,0
2020-01-26,24
2020-02-02,24
2020-02-09,24
2020-02-16,0
2020-02-23,23
2020-03-01,23
2020-03-08,0
2020-03-15,0
2020-03-22,22
2020-03-29,0
2020-04-05,43
2020-04-12,22
2020-04-19,43
2020-04-26,20
2020-05-03,41
2020-05-10,21
2020-05-17,23
2020-05-24,0
2020-05-31,32
2020-06-07,21
2020-06-14,45
2020-06-21,24
2020-06-28,30
2020-07-05,48
2020-07-12,51
2020-07-19,0
