Categoría: Todas las categorías

Semana,Cala Pregonda: (Todo el mundo)
2015-08-02,54
2015-08-09,51
2015-08-16,59
2015-08-23,36
2015-08-30,49
2015-09-06,17
2015-09-13,29
2015-09-20,11
2015-09-27,5
2015-10-04,5
2015-10-11,5
2015-10-18,5
2015-10-25,8
2015-11-01,5
2015-11-08,8
2015-11-15,0
2015-11-22,0
2015-11-29,5
2015-12-06,0
2015-12-13,0
2015-12-20,6
2015-12-27,0
2016-01-03,0
2016-01-10,5
2016-01-17,11
2016-01-24,5
2016-01-31,0
2016-02-07,14
2016-02-14,0
2016-02-21,11
2016-02-28,5
2016-03-06,11
2016-03-13,5
2016-03-20,6
2016-03-27,11
2016-04-03,8
2016-04-10,11
2016-04-17,0
2016-04-24,5
2016-05-01,11
2016-05-08,11
2016-05-15,36
2016-05-22,17
2016-05-29,23
2016-06-05,19
2016-06-12,41
2016-06-19,25
2016-06-26,25
2016-07-03,54
2016-07-10,23
2016-07-17,29
2016-07-24,59
2016-07-31,80
2016-08-07,40
2016-08-14,66
2016-08-21,42
2016-08-28,49
2016-09-04,31
2016-09-11,23
2016-09-18,28
2016-09-25,17
2016-10-02,6
2016-10-09,6
2016-10-16,0
2016-10-23,6
2016-10-30,6
2016-11-06,5
2016-11-13,0
2016-11-20,0
2016-11-27,0
2016-12-04,5
2016-12-11,5
2016-12-18,0
2016-12-25,0
2017-01-01,5
2017-01-08,5
2017-01-15,0
2017-01-22,8
2017-01-29,0
2017-02-05,8
2017-02-12,5
2017-02-19,5
2017-02-26,15
2017-03-05,5
2017-03-12,15
2017-03-19,8
2017-03-26,10
2017-04-02,8
2017-04-09,10
2017-04-16,13
2017-04-23,10
2017-04-30,13
2017-05-07,15
2017-05-14,22
2017-05-21,14
2017-05-28,16
2017-06-04,32
2017-06-11,35
2017-06-18,31
2017-06-25,64
2017-07-02,50
2017-07-09,49
2017-07-16,66
2017-07-23,65
2017-07-30,67
2017-08-06,50
2017-08-13,61
2017-08-20,52
2017-08-27,61
2017-09-03,37
2017-09-10,26
2017-09-17,28
2017-09-24,5
2017-10-01,5
2017-10-08,15
2017-10-15,0
2017-10-22,5
2017-10-29,10
2017-11-05,10
2017-11-12,0
2017-11-19,5
2017-11-26,5
2017-12-03,5
2017-12-10,0
2017-12-17,5
2017-12-24,0
2017-12-31,10
2018-01-07,10
2018-01-14,0
2018-01-21,10
2018-01-28,5
2018-02-04,10
2018-02-11,5
2018-02-18,5
2018-02-25,5
2018-03-04,9
2018-03-11,9
2018-03-18,14
2018-03-25,15
2018-04-01,5
2018-04-08,12
2018-04-15,10
2018-04-22,10
2018-04-29,10
2018-05-06,7
2018-05-13,10
2018-05-20,27
2018-05-27,15
2018-06-03,27
2018-06-10,44
2018-06-17,19
2018-06-24,39
2018-07-01,43
2018-07-08,70
2018-07-15,57
2018-07-22,56
2018-07-29,60
2018-08-05,71
2018-08-12,94
2018-08-19,63
2018-08-26,59
2018-09-02,40
2018-09-09,12
2018-09-16,33
2018-09-23,19
2018-09-30,14
2018-10-07,7
2018-10-14,5
2018-10-21,0
2018-10-28,5
2018-11-04,5
2018-11-11,5
2018-11-18,0
2018-11-25,5
2018-12-02,5
2018-12-09,0
2018-12-16,5
2018-12-23,0
2018-12-30,13
2019-01-06,5
2019-01-13,9
2019-01-20,0
2019-01-27,9
2019-02-03,5
2019-02-10,9
2019-02-17,9
2019-02-24,14
2019-03-03,5
2019-03-10,9
2019-03-17,9
2019-03-24,9
2019-03-31,14
2019-04-07,9
2019-04-14,12
2019-04-21,22
2019-04-28,9
2019-05-05,12
2019-05-12,5
2019-05-19,14
2019-05-26,12
2019-06-02,37
2019-06-09,41
2019-06-16,56
2019-06-23,62
2019-06-30,35
2019-07-07,72
2019-07-14,80
2019-07-21,61
2019-07-28,60
2019-08-04,100
2019-08-11,80
2019-08-18,65
2019-08-25,46
2019-09-01,38
2019-09-08,53
2019-09-15,29
2019-09-22,20
2019-09-29,11
2019-10-06,15
2019-10-13,7
2019-10-20,9
2019-10-27,9
2019-11-03,0
2019-11-10,9
2019-11-17,4
2019-11-24,0
2019-12-01,0
2019-12-08,4
2019-12-15,4
2019-12-22,5
2019-12-29,0
2020-01-05,9
2020-01-12,6
2020-01-19,0
2020-01-26,4
2020-02-02,8
2020-02-09,4
2020-02-16,0
2020-02-23,4
2020-03-01,8
2020-03-08,4
2020-03-15,4
2020-03-22,6
2020-03-29,4
2020-04-05,4
2020-04-12,0
2020-04-19,0
2020-04-26,0
2020-05-03,11
2020-05-10,4
2020-05-17,4
2020-05-24,4
2020-05-31,4
2020-06-07,8
2020-06-14,17
2020-06-21,20
2020-06-28,24
2020-07-05,24
2020-07-12,41
2020-07-19,37
