Categoría: Todas las categorías

Semana,Cala Benirras: (Todo el mundo)
2015-08-02,59
2015-08-09,43
2015-08-16,42
2015-08-23,26
2015-08-30,45
2015-09-06,28
2015-09-13,25
2015-09-20,18
2015-09-27,11
2015-10-04,16
2015-10-11,11
2015-10-18,11
2015-10-25,0
2015-11-01,0
2015-11-08,11
2015-11-15,0
2015-11-22,11
2015-11-29,11
2015-12-06,0
2015-12-13,0
2015-12-20,12
2015-12-27,0
2016-01-03,11
2016-01-10,33
2016-01-17,17
2016-01-24,11
2016-01-31,0
2016-02-07,0
2016-02-14,11
2016-02-21,22
2016-02-28,11
2016-03-06,23
2016-03-13,0
2016-03-20,11
2016-03-27,11
2016-04-03,17
2016-04-10,34
2016-04-17,22
2016-04-24,22
2016-05-01,23
2016-05-08,22
2016-05-15,28
2016-05-22,11
2016-05-29,50
2016-06-05,34
2016-06-12,34
2016-06-19,38
2016-06-26,58
2016-07-03,37
2016-07-10,43
2016-07-17,52
2016-07-24,56
2016-07-31,52
2016-08-07,67
2016-08-14,51
2016-08-21,49
2016-08-28,47
2016-09-04,65
2016-09-11,23
2016-09-18,35
2016-09-25,38
2016-10-02,17
2016-10-09,11
2016-10-16,11
2016-10-23,0
2016-10-30,0
2016-11-06,11
2016-11-13,0
2016-11-20,11
2016-11-27,11
2016-12-04,0
2016-12-11,11
2016-12-18,0
2016-12-25,0
2017-01-01,11
2017-01-08,11
2017-01-15,11
2017-01-22,0
2017-01-29,10
2017-02-05,17
2017-02-12,0
2017-02-19,11
2017-02-26,10
2017-03-05,10
2017-03-12,15
2017-03-19,10
2017-03-26,10
2017-04-02,15
2017-04-09,16
2017-04-16,21
2017-04-23,21
2017-04-30,28
2017-05-07,21
2017-05-14,55
2017-05-21,34
2017-05-28,19
2017-06-04,33
2017-06-11,22
2017-06-18,43
2017-06-25,38
2017-07-02,65
2017-07-09,93
2017-07-16,56
2017-07-23,66
2017-07-30,65
2017-08-06,61
2017-08-13,54
2017-08-20,57
2017-08-27,43
2017-09-03,39
2017-09-10,42
2017-09-17,39
2017-09-24,25
2017-10-01,25
2017-10-08,16
2017-10-15,28
2017-10-22,21
2017-10-29,16
2017-11-05,10
2017-11-12,10
2017-11-19,10
2017-11-26,0
2017-12-03,10
2017-12-10,20
2017-12-17,0
2017-12-24,11
2017-12-31,0
2018-01-07,10
2018-01-14,0
2018-01-21,0
2018-01-28,0
2018-02-04,10
2018-02-11,10
2018-02-18,0
2018-02-25,16
2018-03-04,14
2018-03-11,10
2018-03-18,10
2018-03-25,10
2018-04-01,25
2018-04-08,15
2018-04-15,10
2018-04-22,52
2018-04-29,27
2018-05-06,30
2018-05-13,30
2018-05-20,50
2018-05-27,27
2018-06-03,53
2018-06-10,48
2018-06-17,45
2018-06-24,43
2018-07-01,75
2018-07-08,62
2018-07-15,51
2018-07-22,40
2018-07-29,49
2018-08-05,100
2018-08-12,62
2018-08-19,57
2018-08-26,71
2018-09-02,48
2018-09-09,38
2018-09-16,25
2018-09-23,19
2018-09-30,16
2018-10-07,19
2018-10-14,36
2018-10-21,10
2018-10-28,15
2018-11-04,10
2018-11-11,14
2018-11-18,10
2018-11-25,14
2018-12-02,10
2018-12-09,10
2018-12-16,0
2018-12-23,11
2018-12-30,10
2019-01-06,10
2019-01-13,10
2019-01-20,9
2019-01-27,9
2019-02-03,9
2019-02-10,9
2019-02-17,9
2019-02-24,14
2019-03-03,0
2019-03-10,19
2019-03-17,10
2019-03-24,29
2019-03-31,16
2019-04-07,16
2019-04-14,49
2019-04-21,23
2019-04-28,26
2019-05-05,41
2019-05-12,35
2019-05-19,41
2019-05-26,28
2019-06-02,44
2019-06-09,44
2019-06-16,60
2019-06-23,44
2019-06-30,64
2019-07-07,54
2019-07-14,74
2019-07-21,59
2019-07-28,62
2019-08-04,72
2019-08-11,73
2019-08-18,79
2019-08-25,81
2019-09-01,55
2019-09-08,51
2019-09-15,52
2019-09-22,36
2019-09-29,23
2019-10-06,30
2019-10-13,12
2019-10-20,9
2019-10-27,9
2019-11-03,9
2019-11-10,0
2019-11-17,13
2019-11-24,0
2019-12-01,9
2019-12-08,0
2019-12-15,0
2019-12-22,10
2019-12-29,9
2020-01-05,17
2020-01-12,21
2020-01-19,0
2020-01-26,17
2020-02-02,0
2020-02-09,13
2020-02-16,8
2020-02-23,16
2020-03-01,8
2020-03-08,8
2020-03-15,8
2020-03-22,8
2020-03-29,8
2020-04-05,0
2020-04-12,8
2020-04-19,8
2020-04-26,8
2020-05-03,8
2020-05-10,8
2020-05-17,8
2020-05-24,16
2020-05-31,8
2020-06-07,8
2020-06-14,12
2020-06-21,16
2020-06-28,24
2020-07-05,27
2020-07-12,42
2020-07-19,54
