Categoría: Todas las categorías

Semana,ses Salines: (Todo el mundo)
2015-08-02,54
2015-08-09,70
2015-08-16,68
2015-08-23,62
2015-08-30,53
2015-09-06,40
2015-09-13,45
2015-09-20,32
2015-09-27,29
2015-10-04,32
2015-10-11,34
2015-10-18,31
2015-10-25,28
2015-11-01,21
2015-11-08,14
2015-11-15,22
2015-11-22,21
2015-11-29,14
2015-12-06,15
2015-12-13,9
2015-12-20,10
2015-12-27,14
2016-01-03,18
2016-01-10,25
2016-01-17,17
2016-01-24,25
2016-01-31,24
2016-02-07,16
2016-02-14,19
2016-02-21,28
2016-02-28,26
2016-03-06,29
2016-03-13,24
2016-03-20,31
2016-03-27,34
2016-04-03,35
2016-04-10,38
2016-04-17,27
2016-04-24,38
2016-05-01,35
2016-05-08,35
2016-05-15,40
2016-05-22,39
2016-05-29,50
2016-06-05,42
2016-06-12,51
2016-06-19,52
2016-06-26,37
2016-07-03,64
2016-07-10,55
2016-07-17,54
2016-07-24,54
2016-07-31,76
2016-08-07,55
2016-08-14,72
2016-08-21,72
2016-08-28,47
2016-09-04,49
2016-09-11,41
2016-09-18,41
2016-09-25,33
2016-10-02,32
2016-10-09,27
2016-10-16,17
2016-10-23,26
2016-10-30,16
2016-11-06,22
2016-11-13,21
2016-11-20,18
2016-11-27,12
2016-12-04,12
2016-12-11,14
2016-12-18,16
2016-12-25,11
2017-01-01,14
2017-01-08,15
2017-01-15,15
2017-01-22,25
2017-01-29,24
2017-02-05,24
2017-02-12,33
2017-02-19,25
2017-02-26,20
2017-03-05,23
2017-03-12,20
2017-03-19,27
2017-03-26,26
2017-04-02,26
2017-04-09,27
2017-04-16,33
2017-04-23,43
2017-04-30,49
2017-05-07,36
2017-05-14,28
2017-05-21,37
2017-05-28,46
2017-06-04,59
2017-06-11,64
2017-06-18,86
2017-06-25,63
2017-07-02,56
2017-07-09,52
2017-07-16,69
2017-07-23,68
2017-07-30,65
2017-08-06,58
2017-08-13,71
2017-08-20,56
2017-08-27,41
2017-09-03,42
2017-09-10,38
2017-09-17,32
2017-09-24,29
2017-10-01,36
2017-10-08,39
2017-10-15,34
2017-10-22,22
2017-10-29,17
2017-11-05,21
2017-11-12,17
2017-11-19,19
2017-11-26,12
2017-12-03,18
2017-12-10,10
2017-12-17,12
2017-12-24,24
2017-12-31,20
2018-01-07,18
2018-01-14,17
2018-01-21,28
2018-01-28,21
2018-02-04,22
2018-02-11,19
2018-02-18,20
2018-02-25,23
2018-03-04,27
2018-03-11,33
2018-03-18,23
2018-03-25,37
2018-04-01,43
2018-04-08,33
2018-04-15,40
2018-04-22,43
2018-04-29,59
2018-05-06,37
2018-05-13,45
2018-05-20,44
2018-05-27,59
2018-06-03,47
2018-06-10,52
2018-06-17,49
2018-06-24,56
2018-07-01,50
2018-07-08,60
2018-07-15,58
2018-07-22,66
2018-07-29,78
2018-08-05,70
2018-08-12,100
2018-08-19,91
2018-08-26,65
2018-09-02,54
2018-09-09,47
2018-09-16,41
2018-09-23,43
2018-09-30,42
2018-10-07,45
2018-10-14,31
2018-10-21,28
2018-10-28,26
2018-11-04,18
2018-11-11,13
2018-11-18,15
2018-11-25,10
2018-12-02,17
2018-12-09,13
2018-12-16,12
2018-12-23,17
2018-12-30,18
2019-01-06,20
2019-01-13,21
2019-01-20,17
2019-01-27,25
2019-02-03,22
2019-02-10,14
2019-02-17,19
2019-02-24,19
2019-03-03,23
2019-03-10,25
2019-03-17,32
2019-03-24,34
2019-03-31,26
2019-04-07,41
2019-04-14,40
2019-04-21,43
2019-04-28,56
2019-05-05,45
2019-05-12,48
2019-05-19,40
2019-05-26,46
2019-06-02,48
2019-06-09,61
2019-06-16,49
2019-06-23,55
2019-06-30,50
2019-07-07,55
2019-07-14,61
2019-07-21,63
2019-07-28,84
2019-08-04,80
2019-08-11,80
2019-08-18,90
2019-08-25,72
2019-09-01,59
2019-09-08,66
2019-09-15,54
2019-09-22,53
2019-09-29,40
2019-10-06,40
2019-10-13,39
2019-10-20,33
2019-10-27,31
2019-11-03,14
2019-11-10,21
2019-11-17,24
2019-11-24,25
2019-12-01,22
2019-12-08,27
2019-12-15,14
2019-12-22,16
2019-12-29,16
2020-01-05,31
2020-01-12,18
2020-01-19,22
2020-01-26,26
2020-02-02,16
2020-02-09,21
2020-02-16,25
2020-02-23,25
2020-03-01,29
2020-03-08,25
2020-03-15,13
2020-03-22,9
2020-03-29,11
2020-04-05,12
2020-04-12,14
2020-04-19,15
2020-04-26,21
2020-05-03,21
2020-05-10,22
2020-05-17,25
2020-05-24,23
2020-05-31,24
2020-06-07,18
2020-06-14,34
2020-06-21,28
2020-06-28,37
2020-07-05,41
2020-07-12,50
2020-07-19,48
