Categoría: Todas las categorías

Semana,Ses Illetes: (Todo el mundo)
2015-08-02,29
2015-08-09,25
2015-08-16,17
2015-08-23,28
2015-08-30,14
2015-09-06,13
2015-09-13,6
2015-09-20,8
2015-09-27,4
2015-10-04,3
2015-10-11,7
2015-10-18,3
2015-10-25,4
2015-11-01,6
2015-11-08,9
2015-11-15,9
2015-11-22,2
2015-11-29,3
2015-12-06,6
2015-12-13,8
2015-12-20,6
2015-12-27,8
2016-01-03,5
2016-01-10,5
2016-01-17,10
2016-01-24,10
2016-01-31,15
2016-02-07,8
2016-02-14,100
2016-02-21,44
2016-02-28,19
2016-03-06,32
2016-03-13,13
2016-03-20,13
2016-03-27,13
2016-04-03,9
2016-04-10,9
2016-04-17,17
2016-04-24,10
2016-05-01,14
2016-05-08,15
2016-05-15,15
2016-05-22,16
2016-05-29,19
2016-06-05,20
2016-06-12,22
2016-06-19,24
2016-06-26,20
2016-07-03,26
2016-07-10,29
2016-07-17,31
2016-07-24,38
2016-07-31,26
2016-08-07,32
2016-08-14,27
2016-08-21,24
2016-08-28,15
2016-09-04,29
2016-09-11,13
2016-09-18,11
2016-09-25,10
2016-10-02,8
2016-10-09,5
2016-10-16,6
2016-10-23,6
2016-10-30,5
2016-11-06,4
2016-11-13,5
2016-11-20,5
2016-11-27,4
2016-12-04,6
2016-12-11,2
2016-12-18,3
2016-12-25,5
2017-01-01,8
2017-01-08,10
2017-01-15,6
2017-01-22,10
2017-01-29,6
2017-02-05,9
2017-02-12,7
2017-02-19,13
2017-02-26,12
2017-03-05,8
2017-03-12,5
2017-03-19,9
2017-03-26,7
2017-04-02,6
2017-04-09,6
2017-04-16,8
2017-04-23,11
2017-04-30,12
2017-05-07,15
2017-05-14,12
2017-05-21,17
2017-05-28,14
2017-06-04,19
2017-06-11,18
2017-06-18,27
2017-06-25,27
2017-07-02,19
2017-07-09,22
2017-07-16,31
2017-07-23,29
2017-07-30,28
2017-08-06,25
2017-08-13,17
2017-08-20,18
2017-08-27,19
2017-09-03,15
2017-09-10,19
2017-09-17,6
2017-09-24,10
2017-10-01,6
2017-10-08,13
2017-10-15,6
2017-10-22,7
2017-10-29,3
2017-11-05,5
2017-11-12,2
2017-11-19,4
2017-11-26,2
2017-12-03,4
2017-12-10,5
2017-12-17,2
2017-12-24,5
2017-12-31,7
2018-01-07,5
2018-01-14,7
2018-01-21,6
2018-01-28,10
2018-02-04,7
2018-02-11,9
2018-02-18,10
2018-02-25,10
2018-03-04,10
2018-03-11,6
2018-03-18,7
2018-03-25,9
2018-04-01,11
2018-04-08,9
2018-04-15,8
2018-04-22,10
2018-04-29,18
2018-05-06,13
2018-05-13,8
2018-05-20,10
2018-05-27,13
2018-06-03,17
2018-06-10,17
2018-06-17,17
2018-06-24,24
2018-07-01,21
2018-07-08,24
2018-07-15,22
2018-07-22,27
2018-07-29,31
2018-08-05,19
2018-08-12,17
2018-08-19,31
2018-08-26,23
2018-09-02,27
2018-09-09,17
2018-09-16,16
2018-09-23,22
2018-09-30,12
2018-10-07,6
2018-10-14,7
2018-10-21,7
2018-10-28,0
2018-11-04,2
2018-11-11,4
2018-11-18,3
2018-11-25,2
2018-12-02,3
2018-12-09,2
2018-12-16,2
2018-12-23,2
2018-12-30,4
2019-01-06,7
2019-01-13,6
2019-01-20,6
2019-01-27,7
2019-02-03,6
2019-02-10,6
2019-02-17,5
2019-02-24,22
2019-03-03,6
2019-03-10,5
2019-03-17,7
2019-03-24,7
2019-03-31,6
2019-04-07,8
2019-04-14,11
2019-04-21,10
2019-04-28,8
2019-05-05,14
2019-05-12,13
2019-05-19,15
2019-05-26,21
2019-06-02,22
2019-06-09,24
2019-06-16,17
2019-06-23,27
2019-06-30,24
2019-07-07,26
2019-07-14,20
2019-07-21,32
2019-07-28,28
2019-08-04,29
2019-08-11,31
2019-08-18,34
2019-08-25,34
2019-09-01,22
2019-09-08,17
2019-09-15,19
2019-09-22,15
2019-09-29,14
2019-10-06,10
2019-10-13,5
2019-10-20,6
2019-10-27,4
2019-11-03,3
2019-11-10,5
2019-11-17,5
2019-11-24,5
2019-12-01,3
2019-12-08,3
2019-12-15,3
2019-12-22,5
2019-12-29,5
2020-01-05,4
2020-01-12,8
2020-01-19,9
2020-01-26,5
2020-02-02,8
2020-02-09,6
2020-02-16,6
2020-02-23,6
2020-03-01,8
2020-03-08,4
2020-03-15,4
2020-03-22,4
2020-03-29,5
2020-04-05,4
2020-04-12,4
2020-04-19,5
2020-04-26,5
2020-05-03,3
2020-05-10,6
2020-05-17,5
2020-05-24,5
2020-05-31,3
2020-06-07,7
2020-06-14,10
2020-06-21,16
2020-06-28,17
2020-07-05,17
2020-07-12,22
2020-07-19,21
