Categoría: Todas las categorías

Semana,magaluf: (Todo el mundo)
2015-08-02,76
2015-08-09,86
2015-08-16,70
2015-08-23,57
2015-08-30,54
2015-09-06,51
2015-09-13,41
2015-09-20,34
2015-09-27,32
2015-10-04,26
2015-10-11,23
2015-10-18,22
2015-10-25,15
2015-11-01,17
2015-11-08,18
2015-11-15,17
2015-11-22,15
2015-11-29,15
2015-12-06,14
2015-12-13,15
2015-12-20,13
2015-12-27,21
2016-01-03,37
2016-01-10,54
2016-01-17,39
2016-01-24,36
2016-01-31,33
2016-02-07,56
2016-02-14,36
2016-02-21,39
2016-02-28,34
2016-03-06,47
2016-03-13,45
2016-03-20,41
2016-03-27,48
2016-04-03,45
2016-04-10,44
2016-04-17,46
2016-04-24,72
2016-05-01,65
2016-05-08,67
2016-05-15,58
2016-05-22,59
2016-05-29,63
2016-06-05,71
2016-06-12,83
2016-06-19,82
2016-06-26,70
2016-07-03,82
2016-07-10,86
2016-07-17,78
2016-07-24,80
2016-07-31,72
2016-08-07,71
2016-08-14,58
2016-08-21,55
2016-08-28,53
2016-09-04,48
2016-09-11,45
2016-09-18,40
2016-09-25,30
2016-10-02,29
2016-10-09,26
2016-10-16,22
2016-10-23,23
2016-10-30,19
2016-11-06,23
2016-11-13,18
2016-11-20,18
2016-11-27,18
2016-12-04,15
2016-12-11,14
2016-12-18,13
2016-12-25,16
2017-01-01,35
2017-01-08,42
2017-01-15,41
2017-01-22,33
2017-01-29,31
2017-02-05,32
2017-02-12,27
2017-02-19,29
2017-02-26,31
2017-03-05,33
2017-03-12,34
2017-03-19,31
2017-03-26,39
2017-04-02,38
2017-04-09,40
2017-04-16,40
2017-04-23,51
2017-04-30,53
2017-05-07,58
2017-05-14,58
2017-05-21,52
2017-05-28,61
2017-06-04,72
2017-06-11,76
2017-06-18,94
2017-06-25,100
2017-07-02,78
2017-07-09,79
2017-07-16,74
2017-07-23,96
2017-07-30,76
2017-08-06,66
2017-08-13,59
2017-08-20,57
2017-08-27,57
2017-09-03,55
2017-09-10,52
2017-09-17,41
2017-09-24,34
2017-10-01,29
2017-10-08,25
2017-10-15,22
2017-10-22,16
2017-10-29,16
2017-11-05,17
2017-11-12,13
2017-11-19,13
2017-11-26,12
2017-12-03,13
2017-12-10,11
2017-12-17,13
2017-12-24,15
2017-12-31,25
2018-01-07,34
2018-01-14,35
2018-01-21,32
2018-01-28,30
2018-02-04,25
2018-02-11,23
2018-02-18,26
2018-02-25,23
2018-03-04,27
2018-03-11,28
2018-03-18,32
2018-03-25,36
2018-04-01,42
2018-04-08,41
2018-04-15,42
2018-04-22,52
2018-04-29,58
2018-05-06,55
2018-05-13,52
2018-05-20,65
2018-05-27,63
2018-06-03,79
2018-06-10,70
2018-06-17,65
2018-06-24,62
2018-07-01,66
2018-07-08,71
2018-07-15,96
2018-07-22,72
2018-07-29,72
2018-08-05,69
2018-08-12,63
2018-08-19,55
2018-08-26,51
2018-09-02,51
2018-09-09,53
2018-09-16,38
2018-09-23,35
2018-09-30,28
2018-10-07,32
2018-10-14,25
2018-10-21,17
2018-10-28,14
2018-11-04,16
2018-11-11,14
2018-11-18,14
2018-11-25,13
2018-12-02,13
2018-12-09,12
2018-12-16,12
2018-12-23,14
2018-12-30,21
2019-01-06,34
2019-01-13,31
2019-01-20,28
2019-01-27,25
2019-02-03,28
2019-02-10,23
2019-02-17,24
2019-02-24,28
2019-03-03,25
2019-03-10,26
2019-03-17,27
2019-03-24,30
2019-03-31,37
2019-04-07,39
2019-04-14,50
2019-04-21,44
2019-04-28,48
2019-05-05,49
2019-05-12,51
2019-05-19,53
2019-05-26,51
2019-06-02,62
2019-06-09,69
2019-06-16,70
2019-06-23,67
2019-06-30,67
2019-07-07,68
2019-07-14,73
2019-07-21,65
2019-07-28,64
2019-08-04,65
2019-08-11,59
2019-08-18,53
2019-08-25,54
2019-09-01,51
2019-09-08,55
2019-09-15,41
2019-09-22,37
2019-09-29,31
2019-10-06,27
2019-10-13,23
2019-10-20,19
2019-10-27,14
2019-11-03,13
2019-11-10,13
2019-11-17,13
2019-11-24,14
2019-12-01,12
2019-12-08,12
2019-12-15,12
2019-12-22,14
2019-12-29,20
2020-01-05,33
2020-01-12,38
2020-01-19,35
2020-01-26,26
2020-02-02,25
2020-02-09,21
2020-02-16,23
2020-02-23,21
2020-03-01,20
2020-03-08,20
2020-03-15,9
2020-03-22,7
2020-03-29,11
2020-04-05,12
2020-04-12,10
2020-04-19,11
2020-04-26,12
2020-05-03,12
2020-05-10,13
2020-05-17,15
2020-05-24,15
2020-05-31,13
2020-06-07,15
2020-06-14,18
2020-06-21,21
2020-06-28,22
2020-07-05,26
2020-07-12,52
2020-07-19,31
