Categoría: Todas las categorías

Semana,Palma Aquarium: (Todo el mundo)
2015-08-02,47
2015-08-09,68
2015-08-16,68
2015-08-23,49
2015-08-30,58
2015-09-06,46
2015-09-13,23
2015-09-20,38
2015-09-27,44
2015-10-04,29
2015-10-11,46
2015-10-18,35
2015-10-25,35
2015-11-01,21
2015-11-08,10
2015-11-15,12
2015-11-22,22
2015-11-29,15
2015-12-06,11
2015-12-13,5
2015-12-20,13
2015-12-27,19
2016-01-03,15
2016-01-10,21
2016-01-17,15
2016-01-24,15
2016-01-31,15
2016-02-07,20
2016-02-14,19
2016-02-21,25
2016-02-28,17
2016-03-06,16
2016-03-13,22
2016-03-20,22
2016-03-27,40
2016-04-03,27
2016-04-10,25
2016-04-17,33
2016-04-24,25
2016-05-01,44
2016-05-08,29
2016-05-15,25
2016-05-22,45
2016-05-29,27
2016-06-05,34
2016-06-12,40
2016-06-19,31
2016-06-26,44
2016-07-03,37
2016-07-10,63
2016-07-17,55
2016-07-24,55
2016-07-31,54
2016-08-07,63
2016-08-14,54
2016-08-21,44
2016-08-28,42
2016-09-04,51
2016-09-11,34
2016-09-18,44
2016-09-25,33
2016-10-02,38
2016-10-09,54
2016-10-16,48
2016-10-23,23
2016-10-30,27
2016-11-06,21
2016-11-13,20
2016-11-20,6
2016-11-27,7
2016-12-04,7
2016-12-11,9
2016-12-18,12
2016-12-25,14
2017-01-01,16
2017-01-08,17
2017-01-15,14
2017-01-22,13
2017-01-29,14
2017-02-05,21
2017-02-12,21
2017-02-19,15
2017-02-26,20
2017-03-05,13
2017-03-12,20
2017-03-19,22
2017-03-26,31
2017-04-02,27
2017-04-09,36
2017-04-16,36
2017-04-23,38
2017-04-30,16
2017-05-07,28
2017-05-14,38
2017-05-21,32
2017-05-28,44
2017-06-04,48
2017-06-11,38
2017-06-18,31
2017-06-25,49
2017-07-02,38
2017-07-09,51
2017-07-16,58
2017-07-23,49
2017-07-30,73
2017-08-06,78
2017-08-13,68
2017-08-20,43
2017-08-27,53
2017-09-03,62
2017-09-10,68
2017-09-17,38
2017-09-24,33
2017-10-01,79
2017-10-08,30
2017-10-15,47
2017-10-22,30
2017-10-29,36
2017-11-05,22
2017-11-12,29
2017-11-19,14
2017-11-26,19
2017-12-03,14
2017-12-10,7
2017-12-17,18
2017-12-24,24
2017-12-31,19
2018-01-07,14
2018-01-14,18
2018-01-21,20
2018-01-28,15
2018-02-04,21
2018-02-11,19
2018-02-18,21
2018-02-25,29
2018-03-04,31
2018-03-11,24
2018-03-18,41
2018-03-25,53
2018-04-01,44
2018-04-08,67
2018-04-15,31
2018-04-22,51
2018-04-29,73
2018-05-06,32
2018-05-13,37
2018-05-20,51
2018-05-27,55
2018-06-03,46
2018-06-10,36
2018-06-17,61
2018-06-24,50
2018-07-01,56
2018-07-08,66
2018-07-15,60
2018-07-22,80
2018-07-29,63
2018-08-05,68
2018-08-12,81
2018-08-19,58
2018-08-26,60
2018-09-02,45
2018-09-09,65
2018-09-16,60
2018-09-23,47
2018-09-30,43
2018-10-07,57
2018-10-14,73
2018-10-21,49
2018-10-28,60
2018-11-04,23
2018-11-11,17
2018-11-18,16
2018-11-25,18
2018-12-02,13
2018-12-09,10
2018-12-16,12
2018-12-23,23
2018-12-30,27
2019-01-06,16
2019-01-13,19
2019-01-20,25
2019-01-27,22
2019-02-03,13
2019-02-10,27
2019-02-17,24
2019-02-24,21
2019-03-03,25
2019-03-10,21
2019-03-17,36
2019-03-24,19
2019-03-31,35
2019-04-07,62
2019-04-14,96
2019-04-21,92
2019-04-28,54
2019-05-05,43
2019-05-12,46
2019-05-19,67
2019-05-26,60
2019-06-02,39
2019-06-09,60
2019-06-16,48
2019-06-23,58
2019-06-30,67
2019-07-07,80
2019-07-14,75
2019-07-21,97
2019-07-28,93
2019-08-04,84
2019-08-11,82
2019-08-18,83
2019-08-25,100
2019-09-01,79
2019-09-08,99
2019-09-15,48
2019-09-22,50
2019-09-29,50
2019-10-06,61
2019-10-13,47
2019-10-20,83
2019-10-27,29
2019-11-03,36
2019-11-10,33
2019-11-17,28
2019-11-24,18
2019-12-01,16
2019-12-08,8
2019-12-15,26
2019-12-22,20
2019-12-29,27
2020-01-05,13
2020-01-12,19
2020-01-19,20
2020-01-26,19
2020-02-02,19
2020-02-09,15
2020-02-16,23
2020-02-23,19
2020-03-01,26
2020-03-08,14
2020-03-15,6
2020-03-22,8
2020-03-29,4
2020-04-05,3
2020-04-12,5
2020-04-19,4
2020-04-26,5
2020-05-03,8
2020-05-10,6
2020-05-17,4
2020-05-24,5
2020-05-31,7
2020-06-07,7
2020-06-14,9
2020-06-21,13
2020-06-28,15
2020-07-05,15
2020-07-12,25
2020-07-19,29
