Categoría: Todas las categorías

Semana,Soller: (Todo el mundo)
2015-08-02,74
2015-08-09,72
2015-08-16,68
2015-08-23,58
2015-08-30,59
2015-09-06,58
2015-09-13,66
2015-09-20,51
2015-09-27,57
2015-10-04,57
2015-10-11,45
2015-10-18,40
2015-10-25,37
2015-11-01,34
2015-11-08,31
2015-11-15,26
2015-11-22,25
2015-11-29,25
2015-12-06,30
2015-12-13,26
2015-12-20,22
2015-12-27,35
2016-01-03,37
2016-01-10,45
2016-01-17,49
2016-01-24,45
2016-01-31,40
2016-02-07,39
2016-02-14,48
2016-02-21,47
2016-02-28,41
2016-03-06,52
2016-03-13,46
2016-03-20,56
2016-03-27,53
2016-04-03,60
2016-04-10,56
2016-04-17,62
2016-04-24,63
2016-05-01,60
2016-05-08,64
2016-05-15,65
2016-05-22,55
2016-05-29,68
2016-06-05,73
2016-06-12,71
2016-06-19,67
2016-06-26,67
2016-07-03,65
2016-07-10,70
2016-07-17,74
2016-07-24,76
2016-07-31,76
2016-08-07,71
2016-08-14,75
2016-08-21,76
2016-08-28,64
2016-09-04,69
2016-09-11,62
2016-09-18,72
2016-09-25,55
2016-10-02,58
2016-10-09,60
2016-10-16,53
2016-10-23,48
2016-10-30,40
2016-11-06,31
2016-11-13,31
2016-11-20,28
2016-11-27,29
2016-12-04,27
2016-12-11,25
2016-12-18,28
2016-12-25,33
2017-01-01,37
2017-01-08,41
2017-01-15,45
2017-01-22,36
2017-01-29,42
2017-02-05,41
2017-02-12,44
2017-02-19,48
2017-02-26,42
2017-03-05,54
2017-03-12,47
2017-03-19,54
2017-03-26,56
2017-04-02,57
2017-04-09,63
2017-04-16,68
2017-04-23,63
2017-04-30,68
2017-05-07,66
2017-05-14,72
2017-05-21,62
2017-05-28,64
2017-06-04,72
2017-06-11,64
2017-06-18,65
2017-06-25,79
2017-07-02,74
2017-07-09,80
2017-07-16,71
2017-07-23,83
2017-07-30,80
2017-08-06,86
2017-08-13,78
2017-08-20,72
2017-08-27,76
2017-09-03,74
2017-09-10,69
2017-09-17,70
2017-09-24,56
2017-10-01,59
2017-10-08,54
2017-10-15,51
2017-10-22,52
2017-10-29,47
2017-11-05,39
2017-11-12,36
2017-11-19,28
2017-11-26,34
2017-12-03,27
2017-12-10,27
2017-12-17,29
2017-12-24,38
2017-12-31,39
2018-01-07,38
2018-01-14,38
2018-01-21,45
2018-01-28,44
2018-02-04,41
2018-02-11,52
2018-02-18,52
2018-02-25,52
2018-03-04,62
2018-03-11,51
2018-03-18,62
2018-03-25,75
2018-04-01,76
2018-04-08,67
2018-04-15,65
2018-04-22,62
2018-04-29,81
2018-05-06,71
2018-05-13,74
2018-05-20,66
2018-05-27,76
2018-06-03,76
2018-06-10,79
2018-06-17,76
2018-06-24,70
2018-07-01,74
2018-07-08,80
2018-07-15,80
2018-07-22,79
2018-07-29,90
2018-08-05,88
2018-08-12,79
2018-08-19,85
2018-08-26,74
2018-09-02,74
2018-09-09,78
2018-09-16,70
2018-09-23,72
2018-09-30,63
2018-10-07,66
2018-10-14,59
2018-10-21,55
2018-10-28,48
2018-11-04,34
2018-11-11,37
2018-11-18,30
2018-11-25,30
2018-12-02,28
2018-12-09,32
2018-12-16,28
2018-12-23,34
2018-12-30,39
2019-01-06,40
2019-01-13,42
2019-01-20,44
2019-01-27,40
2019-02-03,43
2019-02-10,48
2019-02-17,52
2019-02-24,50
2019-03-03,54
2019-03-10,54
2019-03-17,58
2019-03-24,61
2019-03-31,64
2019-04-07,83
2019-04-14,82
2019-04-21,75
2019-04-28,76
2019-05-05,78
2019-05-12,77
2019-05-19,72
2019-05-26,74
2019-06-02,78
2019-06-09,85
2019-06-16,83
2019-06-23,73
2019-06-30,80
2019-07-07,85
2019-07-14,89
2019-07-21,88
2019-07-28,86
2019-08-04,96
2019-08-11,100
2019-08-18,92
2019-08-25,86
2019-09-01,81
2019-09-08,83
2019-09-15,77
2019-09-22,74
2019-09-29,71
2019-10-06,67
2019-10-13,67
2019-10-20,60
2019-10-27,49
2019-11-03,38
2019-11-10,38
2019-11-17,40
2019-11-24,31
2019-12-01,38
2019-12-08,28
2019-12-15,27
2019-12-22,37
2019-12-29,39
2020-01-05,44
2020-01-12,43
2020-01-19,51
2020-01-26,46
2020-02-02,42
2020-02-09,43
2020-02-16,50
2020-02-23,44
2020-03-01,45
2020-03-08,39
2020-03-15,24
2020-03-22,22
2020-03-29,25
2020-04-05,19
2020-04-12,24
2020-04-19,22
2020-04-26,19
2020-05-03,25
2020-05-10,26
2020-05-17,26
2020-05-24,28
2020-05-31,27
2020-06-07,30
2020-06-14,29
2020-06-21,35
2020-06-28,40
2020-07-05,51
2020-07-12,69
2020-07-19,58
