Categoría: Todas las categorías

Semana,Cala Galdana: (Todo el mundo)
2015-08-02,67
2015-08-09,59
2015-08-16,48
2015-08-23,45
2015-08-30,45
2015-09-06,36
2015-09-13,33
2015-09-20,25
2015-09-27,16
2015-10-04,20
2015-10-11,15
2015-10-18,4
2015-10-25,10
2015-11-01,8
2015-11-08,9
2015-11-15,7
2015-11-22,18
2015-11-29,8
2015-12-06,8
2015-12-13,9
2015-12-20,8
2015-12-27,12
2016-01-03,19
2016-01-10,21
2016-01-17,19
2016-01-24,25
2016-01-31,23
2016-02-07,26
2016-02-14,25
2016-02-21,29
2016-02-28,27
2016-03-06,27
2016-03-13,21
2016-03-20,32
2016-03-27,28
2016-04-03,36
2016-04-10,36
2016-04-17,32
2016-04-24,32
2016-05-01,36
2016-05-08,38
2016-05-15,41
2016-05-22,45
2016-05-29,62
2016-06-05,62
2016-06-12,54
2016-06-19,54
2016-06-26,54
2016-07-03,59
2016-07-10,64
2016-07-17,71
2016-07-24,61
2016-07-31,61
2016-08-07,52
2016-08-14,54
2016-08-21,49
2016-08-28,61
2016-09-04,43
2016-09-11,39
2016-09-18,32
2016-09-25,29
2016-10-02,20
2016-10-09,17
2016-10-16,10
2016-10-23,11
2016-10-30,11
2016-11-06,8
2016-11-13,16
2016-11-20,8
2016-11-27,4
2016-12-04,7
2016-12-11,8
2016-12-18,11
2016-12-25,11
2017-01-01,19
2017-01-08,26
2017-01-15,23
2017-01-22,25
2017-01-29,22
2017-02-05,25
2017-02-12,23
2017-02-19,30
2017-02-26,24
2017-03-05,25
2017-03-12,30
2017-03-19,38
2017-03-26,30
2017-04-02,31
2017-04-09,39
2017-04-16,28
2017-04-23,32
2017-04-30,38
2017-05-07,44
2017-05-14,38
2017-05-21,44
2017-05-28,49
2017-06-04,47
2017-06-11,61
2017-06-18,64
2017-06-25,65
2017-07-02,68
2017-07-09,100
2017-07-16,84
2017-07-23,72
2017-07-30,77
2017-08-06,64
2017-08-13,73
2017-08-20,58
2017-08-27,58
2017-09-03,63
2017-09-10,35
2017-09-17,46
2017-09-24,28
2017-10-01,24
2017-10-08,18
2017-10-15,16
2017-10-22,12
2017-10-29,9
2017-11-05,12
2017-11-12,9
2017-11-19,9
2017-11-26,6
2017-12-03,8
2017-12-10,10
2017-12-17,9
2017-12-24,16
2017-12-31,31
2018-01-07,25
2018-01-14,20
2018-01-21,26
2018-01-28,23
2018-02-04,20
2018-02-11,15
2018-02-18,20
2018-02-25,21
2018-03-04,21
2018-03-11,16
2018-03-18,21
2018-03-25,32
2018-04-01,25
2018-04-08,33
2018-04-15,33
2018-04-22,42
2018-04-29,42
2018-05-06,37
2018-05-13,47
2018-05-20,46
2018-05-27,57
2018-06-03,50
2018-06-10,59
2018-06-17,55
2018-06-24,63
2018-07-01,71
2018-07-08,67
2018-07-15,84
2018-07-22,67
2018-07-29,69
2018-08-05,74
2018-08-12,63
2018-08-19,73
2018-08-26,53
2018-09-02,53
2018-09-09,47
2018-09-16,43
2018-09-23,32
2018-09-30,24
2018-10-07,21
2018-10-14,15
2018-10-21,16
2018-10-28,9
2018-11-04,8
2018-11-11,9
2018-11-18,8
2018-11-25,7
2018-12-02,8
2018-12-09,6
2018-12-16,7
2018-12-23,10
2018-12-30,17
2019-01-06,20
2019-01-13,26
2019-01-20,15
2019-01-27,20
2019-02-03,13
2019-02-10,14
2019-02-17,21
2019-02-24,18
2019-03-03,18
2019-03-10,23
2019-03-17,20
2019-03-24,24
2019-03-31,22
2019-04-07,19
2019-04-14,34
2019-04-21,36
2019-04-28,34
2019-05-05,43
2019-05-12,58
2019-05-19,52
2019-05-26,62
2019-06-02,59
2019-06-09,61
2019-06-16,52
2019-06-23,57
2019-06-30,70
2019-07-07,64
2019-07-14,83
2019-07-21,80
2019-07-28,79
2019-08-04,72
2019-08-11,72
2019-08-18,70
2019-08-25,56
2019-09-01,64
2019-09-08,61
2019-09-15,40
2019-09-22,42
2019-09-29,31
2019-10-06,27
2019-10-13,34
2019-10-20,19
2019-10-27,13
2019-11-03,10
2019-11-10,10
2019-11-17,10
2019-11-24,14
2019-12-01,11
2019-12-08,8
2019-12-15,10
2019-12-22,44
2019-12-29,21
2020-01-05,19
2020-01-12,24
2020-01-19,28
2020-01-26,23
2020-02-02,22
2020-02-09,21
2020-02-16,24
2020-02-23,17
2020-03-01,18
2020-03-08,10
2020-03-15,8
2020-03-22,5
2020-03-29,8
2020-04-05,8
2020-04-12,7
2020-04-19,8
2020-04-26,7
2020-05-03,7
2020-05-10,8
2020-05-17,13
2020-05-24,14
2020-05-31,13
2020-06-07,22
2020-06-14,25
2020-06-21,26
2020-06-28,38
2020-07-05,37
2020-07-12,54
2020-07-19,44
