Categoría: Todas las categorías

Semana,Cala Mitjana: (Todo el mundo)
2015-08-02,64
2015-08-09,53
2015-08-16,44
2015-08-23,46
2015-08-30,35
2015-09-06,22
2015-09-13,20
2015-09-20,12
2015-09-27,7
2015-10-04,5
2015-10-11,9
2015-10-18,4
2015-10-25,5
2015-11-01,5
2015-11-08,3
2015-11-15,3
2015-11-22,7
2015-11-29,5
2015-12-06,5
2015-12-13,4
2015-12-20,0
2015-12-27,5
2016-01-03,4
2016-01-10,5
2016-01-17,6
2016-01-24,9
2016-01-31,4
2016-02-07,4
2016-02-14,7
2016-02-21,7
2016-02-28,0
2016-03-06,10
2016-03-13,6
2016-03-20,4
2016-03-27,7
2016-04-03,5
2016-04-10,9
2016-04-17,6
2016-04-24,8
2016-05-01,6
2016-05-08,10
2016-05-15,11
2016-05-22,15
2016-05-29,20
2016-06-05,26
2016-06-12,33
2016-06-19,36
2016-06-26,37
2016-07-03,34
2016-07-10,48
2016-07-17,37
2016-07-24,67
2016-07-31,33
2016-08-07,50
2016-08-14,49
2016-08-21,61
2016-08-28,41
2016-09-04,42
2016-09-11,22
2016-09-18,21
2016-09-25,11
2016-10-02,15
2016-10-09,10
2016-10-16,7
2016-10-23,9
2016-10-30,4
2016-11-06,11
2016-11-13,4
2016-11-20,4
2016-11-27,0
2016-12-04,5
2016-12-11,0
2016-12-18,6
2016-12-25,8
2017-01-01,9
2017-01-08,7
2017-01-15,0
2017-01-22,3
2017-01-29,12
2017-02-05,5
2017-02-12,7
2017-02-19,6
2017-02-26,4
2017-03-05,5
2017-03-12,9
2017-03-19,10
2017-03-26,7
2017-04-02,17
2017-04-09,9
2017-04-16,6
2017-04-23,7
2017-04-30,14
2017-05-07,13
2017-05-14,19
2017-05-21,18
2017-05-28,24
2017-06-04,35
2017-06-11,26
2017-06-18,36
2017-06-25,47
2017-07-02,43
2017-07-09,48
2017-07-16,53
2017-07-23,60
2017-07-30,65
2017-08-06,72
2017-08-13,68
2017-08-20,61
2017-08-27,39
2017-09-03,64
2017-09-10,32
2017-09-17,37
2017-09-24,18
2017-10-01,15
2017-10-08,13
2017-10-15,6
2017-10-22,6
2017-10-29,8
2017-11-05,5
2017-11-12,3
2017-11-19,3
2017-11-26,7
2017-12-03,5
2017-12-10,3
2017-12-17,3
2017-12-24,4
2017-12-31,5
2018-01-07,4
2018-01-14,8
2018-01-21,5
2018-01-28,8
2018-02-04,3
2018-02-11,6
2018-02-18,6
2018-02-25,5
2018-03-04,7
2018-03-11,4
2018-03-18,5
2018-03-25,12
2018-04-01,8
2018-04-08,9
2018-04-15,15
2018-04-22,4
2018-04-29,10
2018-05-06,11
2018-05-13,22
2018-05-20,20
2018-05-27,20
2018-06-03,32
2018-06-10,27
2018-06-17,48
2018-06-24,58
2018-07-01,55
2018-07-08,55
2018-07-15,63
2018-07-22,54
2018-07-29,74
2018-08-05,70
2018-08-12,72
2018-08-19,84
2018-08-26,70
2018-09-02,60
2018-09-09,44
2018-09-16,35
2018-09-23,39
2018-09-30,17
2018-10-07,17
2018-10-14,10
2018-10-21,8
2018-10-28,6
2018-11-04,9
2018-11-11,4
2018-11-18,0
2018-11-25,6
2018-12-02,6
2018-12-09,5
2018-12-16,4
2018-12-23,4
2018-12-30,17
2019-01-06,7
2019-01-13,5
2019-01-20,6
2019-01-27,3
2019-02-03,7
2019-02-10,8
2019-02-17,11
2019-02-24,10
2019-03-03,7
2019-03-10,8
2019-03-17,7
2019-03-24,10
2019-03-31,6
2019-04-07,5
2019-04-14,14
2019-04-21,11
2019-04-28,21
2019-05-05,21
2019-05-12,13
2019-05-19,22
2019-05-26,29
2019-06-02,32
2019-06-09,50
2019-06-16,60
2019-06-23,53
2019-06-30,68
2019-07-07,58
2019-07-14,73
2019-07-21,74
2019-07-28,72
2019-08-04,100
2019-08-11,85
2019-08-18,75
2019-08-25,66
2019-09-01,66
2019-09-08,40
2019-09-15,47
2019-09-22,34
2019-09-29,22
2019-10-06,18
2019-10-13,15
2019-10-20,5
2019-10-27,3
2019-11-03,3
2019-11-10,4
2019-11-17,6
2019-11-24,4
2019-12-01,4
2019-12-08,9
2019-12-15,4
2019-12-22,3
2019-12-29,10
2020-01-05,5
2020-01-12,10
2020-01-19,4
2020-01-26,6
2020-02-02,4
2020-02-09,3
2020-02-16,8
2020-02-23,8
2020-03-01,6
2020-03-08,4
2020-03-15,3
2020-03-22,5
2020-03-29,2
2020-04-05,7
2020-04-12,5
2020-04-19,6
2020-04-26,5
2020-05-03,2
2020-05-10,3
2020-05-17,4
2020-05-24,14
2020-05-31,12
2020-06-07,10
2020-06-14,11
2020-06-21,19
2020-06-28,20
2020-07-05,32
2020-07-12,26
2020-07-19,34
