Categoría: Todas las categorías

Semana,cala salada: (Italia)
2015-08-02,57
2015-08-09,26
2015-08-16,50
2015-08-23,46
2015-08-30,0
2015-09-06,0
2015-09-13,20
2015-09-20,20
2015-09-27,20
2015-10-04,20
2015-10-11,0
2015-10-18,21
2015-10-25,0
2015-11-01,0
2015-11-08,0
2015-11-15,0
2015-11-22,0
2015-11-29,0
2015-12-06,0
2015-12-13,0
2015-12-20,0
2015-12-27,24
2016-01-03,0
2016-01-10,0
2016-01-17,0
2016-01-24,0
2016-01-31,22
2016-02-07,32
2016-02-14,21
2016-02-21,0
2016-02-28,21
2016-03-06,0
2016-03-13,0
2016-03-20,0
2016-03-27,0
2016-04-03,0
2016-04-10,0
2016-04-17,22
2016-04-24,0
2016-05-01,22
2016-05-08,22
2016-05-15,34
2016-05-22,46
2016-05-29,38
2016-06-05,22
2016-06-12,23
2016-06-19,0
2016-06-26,48
2016-07-03,25
2016-07-10,37
2016-07-17,63
2016-07-24,77
2016-07-31,53
2016-08-07,43
2016-08-14,31
2016-08-21,62
2016-08-28,40
2016-09-04,35
2016-09-11,23
2016-09-18,23
2016-09-25,0
2016-10-02,23
2016-10-09,0
2016-10-16,0
2016-10-23,0
2016-10-30,0
2016-11-06,22
2016-11-13,0
2016-11-20,0
2016-11-27,0
2016-12-04,0
2016-12-11,0
2016-12-18,0
2016-12-25,0
2017-01-01,0
2017-01-08,0
2017-01-15,0
2017-01-22,0
2017-01-29,21
2017-02-05,20
2017-02-12,21
2017-02-19,0
2017-02-26,21
2017-03-05,21
2017-03-12,0
2017-03-19,0
2017-03-26,0
2017-04-02,0
2017-04-09,22
2017-04-16,0
2017-04-23,44
2017-04-30,21
2017-05-07,28
2017-05-14,33
2017-05-21,68
2017-05-28,0
2017-06-04,44
2017-06-11,56
2017-06-18,22
2017-06-25,45
2017-07-02,31
2017-07-09,30
2017-07-16,23
2017-07-23,45
2017-07-30,69
2017-08-06,58
2017-08-13,91
2017-08-20,54
2017-08-27,42
2017-09-03,41
2017-09-10,0
2017-09-17,20
2017-09-24,21
2017-10-01,20
2017-10-08,21
2017-10-15,21
2017-10-22,0
2017-10-29,0
2017-11-05,0
2017-11-12,0
2017-11-19,0
2017-11-26,0
2017-12-03,0
2017-12-10,0
2017-12-17,22
2017-12-24,0
2017-12-31,22
2018-01-07,0
2018-01-14,0
2018-01-21,20
2018-01-28,0
2018-02-04,0
2018-02-11,0
2018-02-18,0
2018-02-25,0
2018-03-04,19
2018-03-11,19
2018-03-18,19
2018-03-25,30
2018-04-01,21
2018-04-08,0
2018-04-15,59
2018-04-22,21
2018-04-29,39
2018-05-06,29
2018-05-13,0
2018-05-20,0
2018-05-27,20
2018-06-03,59
2018-06-10,0
2018-06-17,33
2018-06-24,30
2018-07-01,39
2018-07-08,59
2018-07-15,27
2018-07-22,100
2018-07-29,54
2018-08-05,77
2018-08-12,44
2018-08-19,65
2018-08-26,73
2018-09-02,51
2018-09-09,19
2018-09-16,75
2018-09-23,19
2018-09-30,19
2018-10-07,20
2018-10-14,0
2018-10-21,0
2018-10-28,0
2018-11-04,0
2018-11-11,0
2018-11-18,0
2018-11-25,0
2018-12-02,20
2018-12-09,20
2018-12-16,0
2018-12-23,0
2018-12-30,22
2019-01-06,20
2019-01-13,0
2019-01-20,19
2019-01-27,0
2019-02-03,18
2019-02-10,0
2019-02-17,0
2019-02-24,0
2019-03-03,39
2019-03-10,0
2019-03-17,39
2019-03-24,20
2019-03-31,39
2019-04-07,19
2019-04-14,0
2019-04-21,0
2019-04-28,39
2019-05-05,0
2019-05-12,18
2019-05-19,55
2019-05-26,18
2019-06-02,29
2019-06-09,29
2019-06-16,20
2019-06-23,73
2019-06-30,79
2019-07-07,25
2019-07-14,78
2019-07-21,50
2019-07-28,47
2019-08-04,77
2019-08-11,52
2019-08-18,41
2019-08-25,25
2019-09-01,41
2019-09-08,56
2019-09-15,30
2019-09-22,27
2019-09-29,0
2019-10-06,18
2019-10-13,18
2019-10-20,0
2019-10-27,0
2019-11-03,0
2019-11-10,0
2019-11-17,17
2019-11-24,0
2019-12-01,0
2019-12-08,0
2019-12-15,0
2019-12-22,0
2019-12-29,20
2020-01-05,0
2020-01-12,17
2020-01-19,17
2020-01-26,0
2020-02-02,0
2020-02-09,34
2020-02-16,0
2020-02-23,48
2020-03-01,0
2020-03-08,0
2020-03-15,0
2020-03-22,14
2020-03-29,0
2020-04-05,0
2020-04-12,0
2020-04-19,15
2020-04-26,0
2020-05-03,0
2020-05-10,0
2020-05-17,16
2020-05-24,0
2020-05-31,16
2020-06-07,0
2020-06-14,0
2020-06-21,17
2020-06-28,0
2020-07-05,0
2020-07-12,35
2020-07-19,50
