Categoría: Todas las categorías

Semana,soller: (Italia)
2015-08-02,25
2015-08-09,54
2015-08-16,51
2015-08-23,63
2015-08-30,29
2015-09-06,29
2015-09-13,42
2015-09-20,35
2015-09-27,31
2015-10-04,27
2015-10-11,21
2015-10-18,28
2015-10-25,42
2015-11-01,21
2015-11-08,21
2015-11-15,21
2015-11-22,21
2015-11-29,21
2015-12-06,0
2015-12-13,44
2015-12-20,25
2015-12-27,0
2016-01-03,23
2016-01-10,22
2016-01-17,68
2016-01-24,22
2016-01-31,67
2016-02-07,36
2016-02-14,22
2016-02-21,22
2016-02-28,22
2016-03-06,33
2016-03-13,45
2016-03-20,55
2016-03-27,32
2016-04-03,23
2016-04-10,23
2016-04-17,23
2016-04-24,35
2016-05-01,69
2016-05-08,56
2016-05-15,46
2016-05-22,39
2016-05-29,23
2016-06-05,23
2016-06-12,30
2016-06-19,39
2016-06-26,24
2016-07-03,42
2016-07-10,25
2016-07-17,51
2016-07-24,26
2016-07-31,67
2016-08-07,73
2016-08-14,63
2016-08-21,27
2016-08-28,0
2016-09-04,47
2016-09-11,31
2016-09-18,23
2016-09-25,47
2016-10-02,36
2016-10-09,0
2016-10-16,31
2016-10-23,48
2016-10-30,0
2016-11-06,23
2016-11-13,24
2016-11-20,22
2016-11-27,0
2016-12-04,23
2016-12-11,23
2016-12-18,0
2016-12-25,53
2017-01-01,36
2017-01-08,44
2017-01-15,43
2017-01-22,43
2017-01-29,21
2017-02-05,21
2017-02-12,32
2017-02-19,21
2017-02-26,32
2017-03-05,21
2017-03-12,36
2017-03-19,86
2017-03-26,22
2017-04-02,22
2017-04-09,45
2017-04-16,35
2017-04-23,22
2017-04-30,87
2017-05-07,42
2017-05-14,0
2017-05-21,23
2017-05-28,36
2017-06-04,30
2017-06-11,53
2017-06-18,59
2017-06-25,53
2017-07-02,48
2017-07-09,58
2017-07-16,35
2017-07-23,46
2017-07-30,62
2017-08-06,55
2017-08-13,40
2017-08-20,62
2017-08-27,42
2017-09-03,21
2017-09-10,34
2017-09-17,21
2017-09-24,20
2017-10-01,21
2017-10-08,32
2017-10-15,21
2017-10-22,0
2017-10-29,0
2017-11-05,20
2017-11-12,31
2017-11-19,30
2017-11-26,27
2017-12-03,43
2017-12-10,21
2017-12-17,23
2017-12-24,24
2017-12-31,22
2018-01-07,20
2018-01-14,0
2018-01-21,20
2018-01-28,49
2018-02-04,29
2018-02-11,20
2018-02-18,38
2018-02-25,31
2018-03-04,0
2018-03-11,45
2018-03-18,20
2018-03-25,31
2018-04-01,86
2018-04-08,0
2018-04-15,20
2018-04-22,28
2018-04-29,27
2018-05-06,33
2018-05-13,59
2018-05-20,20
2018-05-27,60
2018-06-03,20
2018-06-10,19
2018-06-17,20
2018-06-24,47
2018-07-01,39
2018-07-08,30
2018-07-15,41
2018-07-22,34
2018-07-29,72
2018-08-05,36
2018-08-12,60
2018-08-19,44
2018-08-26,54
2018-09-02,32
2018-09-09,19
2018-09-16,0
2018-09-23,29
2018-09-30,49
2018-10-07,40
2018-10-14,20
2018-10-21,20
2018-10-28,58
2018-11-04,19
2018-11-11,0
2018-11-18,20
2018-11-25,20
2018-12-02,60
2018-12-09,40
2018-12-16,41
2018-12-23,32
2018-12-30,22
2019-01-06,20
2019-01-13,19
2019-01-20,19
2019-01-27,31
2019-02-03,28
2019-02-10,44
2019-02-17,19
2019-02-24,19
2019-03-03,100
2019-03-10,58
2019-03-17,40
2019-03-24,46
2019-03-31,26
2019-04-07,39
2019-04-14,20
2019-04-21,42
2019-04-28,39
2019-05-05,19
2019-05-12,66
2019-05-19,32
2019-05-26,30
2019-06-02,26
2019-06-09,39
2019-06-16,60
2019-06-23,40
2019-06-30,40
2019-07-07,45
2019-07-14,53
2019-07-21,61
2019-07-28,41
2019-08-04,50
2019-08-11,45
2019-08-18,52
2019-08-25,45
2019-09-01,60
2019-09-08,50
2019-09-15,18
2019-09-22,27
2019-09-29,27
2019-10-06,19
2019-10-13,49
2019-10-20,27
2019-10-27,36
2019-11-03,35
2019-11-10,18
2019-11-17,29
2019-11-24,18
2019-12-01,0
2019-12-08,19
2019-12-15,37
2019-12-22,21
2019-12-29,41
2020-01-05,24
2020-01-12,25
2020-01-19,35
2020-01-26,17
2020-02-02,25
2020-02-09,34
2020-02-16,34
2020-02-23,24
2020-03-01,32
2020-03-08,23
2020-03-15,16
2020-03-22,29
2020-03-29,15
2020-04-05,16
2020-04-12,16
2020-04-19,0
2020-04-26,15
2020-05-03,0
2020-05-10,15
2020-05-17,64
2020-05-24,16
2020-05-31,16
2020-06-07,32
2020-06-14,17
2020-06-21,17
2020-06-28,34
2020-07-05,18
2020-07-12,27
2020-07-19,38
