Categoría: Todas las categorías

Semana,Parque de El Retiro: (Portugal)
2015-08-02,0
2015-08-09,0
2015-08-16,0
2015-08-23,33
2015-08-30,0
2015-09-06,0
2015-09-13,0
2015-09-20,0
2015-09-27,31
2015-10-04,30
2015-10-11,31
2015-10-18,0
2015-10-25,31
2015-11-01,0
2015-11-08,0
2015-11-15,0
2015-11-22,0
2015-11-29,33
2015-12-06,34
2015-12-13,0
2015-12-20,0
2015-12-27,0
2016-01-03,29
2016-01-10,0
2016-01-17,29
2016-01-24,0
2016-01-31,0
2016-02-07,0
2016-02-14,0
2016-02-21,44
2016-02-28,30
2016-03-06,30
2016-03-13,59
2016-03-20,62
2016-03-27,39
2016-04-03,29
2016-04-10,0
2016-04-17,0
2016-04-24,31
2016-05-01,87
2016-05-08,28
2016-05-15,0
2016-05-22,0
2016-05-29,45
2016-06-05,32
2016-06-12,0
2016-06-19,31
2016-06-26,0
2016-07-03,0
2016-07-10,0
2016-07-17,34
2016-07-24,34
2016-07-31,35
2016-08-07,36
2016-08-14,0
2016-08-21,0
2016-08-28,0
2016-09-04,33
2016-09-11,0
2016-09-18,0
2016-09-25,32
2016-10-02,49
2016-10-09,32
2016-10-16,32
2016-10-23,32
2016-10-30,0
2016-11-06,0
2016-11-13,0
2016-11-20,0
2016-11-27,0
2016-12-04,0
2016-12-11,0
2016-12-18,36
2016-12-25,35
2017-01-01,63
2017-01-08,0
2017-01-15,0
2017-01-22,0
2017-01-29,29
2017-02-05,30
2017-02-12,0
2017-02-19,60
2017-02-26,0
2017-03-05,43
2017-03-12,29
2017-03-19,29
2017-03-26,29
2017-04-02,30
2017-04-09,31
2017-04-16,45
2017-04-23,30
2017-04-30,30
2017-05-07,29
2017-05-14,32
2017-05-21,32
2017-05-28,32
2017-06-04,32
2017-06-11,68
2017-06-18,31
2017-06-25,0
2017-07-02,33
2017-07-09,100
2017-07-16,32
2017-07-23,33
2017-07-30,47
2017-08-06,79
2017-08-13,67
2017-08-20,32
2017-08-27,31
2017-09-03,0
2017-09-10,31
2017-09-17,0
2017-09-24,30
2017-10-01,30
2017-10-08,0
2017-10-15,29
2017-10-22,30
2017-10-29,29
2017-11-05,30
2017-11-12,40
2017-11-19,43
2017-11-26,46
2017-12-03,0
2017-12-10,0
2017-12-17,33
2017-12-24,49
2017-12-31,30
2018-01-07,29
2018-01-14,58
2018-01-21,57
2018-01-28,0
2018-02-04,0
2018-02-11,29
2018-02-18,29
2018-02-25,0
2018-03-04,27
2018-03-11,27
2018-03-18,29
2018-03-25,50
2018-04-01,37
2018-04-08,27
2018-04-15,27
2018-04-22,28
2018-04-29,0
2018-05-06,42
2018-05-13,28
2018-05-20,0
2018-05-27,58
2018-06-03,54
2018-06-10,0
2018-06-17,27
2018-06-24,55
2018-07-01,27
2018-07-08,0
2018-07-15,28
2018-07-22,83
2018-07-29,28
2018-08-05,27
2018-08-12,58
2018-08-19,29
2018-08-26,57
2018-09-02,37
2018-09-09,83
2018-09-16,28
2018-09-23,0
2018-09-30,29
2018-10-07,0
2018-10-14,29
2018-10-21,85
2018-10-28,30
2018-11-04,0
2018-11-11,0
2018-11-18,0
2018-11-25,29
2018-12-02,0
2018-12-09,0
2018-12-16,31
2018-12-23,0
2018-12-30,33
2019-01-06,30
2019-01-13,0
2019-01-20,0
2019-01-27,28
2019-02-03,57
2019-02-10,56
2019-02-17,28
2019-02-24,28
2019-03-03,59
2019-03-10,43
2019-03-17,29
2019-03-24,58
2019-03-31,28
2019-04-07,0
2019-04-14,47
2019-04-21,43
2019-04-28,0
2019-05-05,27
2019-05-12,0
2019-05-19,0
2019-05-26,81
2019-06-02,26
2019-06-09,27
2019-06-16,27
2019-06-23,40
2019-06-30,53
2019-07-07,78
2019-07-14,0
2019-07-21,0
2019-07-28,28
2019-08-04,26
2019-08-11,80
2019-08-18,0
2019-08-25,44
2019-09-01,39
2019-09-08,26
2019-09-15,100
2019-09-22,25
2019-09-29,0
2019-10-06,0
2019-10-13,49
2019-10-20,51
2019-10-27,25
2019-11-03,25
2019-11-10,50
2019-11-17,0
2019-11-24,49
2019-12-01,0
2019-12-08,26
2019-12-15,25
2019-12-22,0
2019-12-29,41
2020-01-05,25
2020-01-12,34
2020-01-19,24
2020-01-26,24
2020-02-02,32
2020-02-09,94
2020-02-16,35
2020-02-23,23
2020-03-01,22
2020-03-08,44
2020-03-15,0
2020-03-22,0
2020-03-29,0
2020-04-05,0
2020-04-12,40
2020-04-19,0
2020-04-26,20
2020-05-03,0
2020-05-10,0
2020-05-17,0
2020-05-24,31
2020-05-31,19
2020-06-07,0
2020-06-14,20
2020-06-21,21
2020-06-28,0
2020-07-05,0
2020-07-12,23
2020-07-19,23
2020-07-26,0
