Categoría: Todas las categorías

Semana,Puerta del Sol: (Portugal)
2015-08-02,45
2015-08-09,23
2015-08-16,0
2015-08-23,22
2015-08-30,21
2015-09-06,0
2015-09-13,0
2015-09-20,21
2015-09-27,21
2015-10-04,0
2015-10-11,20
2015-10-18,20
2015-10-25,20
2015-11-01,41
2015-11-08,21
2015-11-15,21
2015-11-22,21
2015-11-29,32
2015-12-06,0
2015-12-13,22
2015-12-20,27
2015-12-27,24
2016-01-03,19
2016-01-10,20
2016-01-17,20
2016-01-24,20
2016-01-31,20
2016-02-07,19
2016-02-14,0
2016-02-21,39
2016-02-28,26
2016-03-06,20
2016-03-13,30
2016-03-20,21
2016-03-27,20
2016-04-03,39
2016-04-10,29
2016-04-17,39
2016-04-24,21
2016-05-01,20
2016-05-08,0
2016-05-15,0
2016-05-22,0
2016-05-29,100
2016-06-05,21
2016-06-12,20
2016-06-19,42
2016-06-26,21
2016-07-03,22
2016-07-10,0
2016-07-17,22
2016-07-24,0
2016-07-31,24
2016-08-07,24
2016-08-14,0
2016-08-21,23
2016-08-28,33
2016-09-04,33
2016-09-11,0
2016-09-18,22
2016-09-25,22
2016-10-02,33
2016-10-09,0
2016-10-16,21
2016-10-23,21
2016-10-30,22
2016-11-06,0
2016-11-13,44
2016-11-20,20
2016-11-27,21
2016-12-04,0
2016-12-11,21
2016-12-18,24
2016-12-25,24
2017-01-01,21
2017-01-08,21
2017-01-15,21
2017-01-22,20
2017-01-29,19
2017-02-05,20
2017-02-12,29
2017-02-19,20
2017-02-26,19
2017-03-05,0
2017-03-12,38
2017-03-19,0
2017-03-26,39
2017-04-02,20
2017-04-09,21
2017-04-16,40
2017-04-23,30
2017-04-30,20
2017-05-07,19
2017-05-14,21
2017-05-21,21
2017-05-28,0
2017-06-04,43
2017-06-11,0
2017-06-18,21
2017-06-25,44
2017-07-02,45
2017-07-09,22
2017-07-16,21
2017-07-23,22
2017-07-30,21
2017-08-06,21
2017-08-13,23
2017-08-20,21
2017-08-27,21
2017-09-03,0
2017-09-10,0
2017-09-17,20
2017-09-24,0
2017-10-01,0
2017-10-08,20
2017-10-15,0
2017-10-22,0
2017-10-29,20
2017-11-05,20
2017-11-12,30
2017-11-19,19
2017-11-26,0
2017-12-03,31
2017-12-10,20
2017-12-17,22
2017-12-24,22
2017-12-31,0
2018-01-07,25
2018-01-14,0
2018-01-21,25
2018-01-28,19
2018-02-04,19
2018-02-11,19
2018-02-18,57
2018-02-25,0
2018-03-04,37
2018-03-11,18
2018-03-18,29
2018-03-25,20
2018-04-01,31
2018-04-08,0
2018-04-15,18
2018-04-22,19
2018-04-29,19
2018-05-06,19
2018-05-13,19
2018-05-20,18
2018-05-27,19
2018-06-03,18
2018-06-10,18
2018-06-17,18
2018-06-24,27
2018-07-01,18
2018-07-08,27
2018-07-15,19
2018-07-22,19
2018-07-29,37
2018-08-05,18
2018-08-12,19
2018-08-19,26
2018-08-26,19
2018-09-02,18
2018-09-09,56
2018-09-16,19
2018-09-23,0
2018-09-30,32
2018-10-07,19
2018-10-14,0
2018-10-21,19
2018-10-28,20
2018-11-04,19
2018-11-11,20
2018-11-18,19
2018-11-25,19
2018-12-02,30
2018-12-09,31
2018-12-16,21
2018-12-23,46
2018-12-30,65
2019-01-06,50
2019-01-13,19
2019-01-20,29
2019-01-27,19
2019-02-03,19
2019-02-10,25
2019-02-17,37
2019-02-24,38
2019-03-03,20
2019-03-10,19
2019-03-17,59
2019-03-24,19
2019-03-31,19
2019-04-07,19
2019-04-14,19
2019-04-21,0
2019-04-28,0
2019-05-05,18
2019-05-12,18
2019-05-19,18
2019-05-26,0
2019-06-02,0
2019-06-09,27
2019-06-16,18
2019-06-23,0
2019-06-30,17
2019-07-07,17
2019-07-14,0
2019-07-21,36
2019-07-28,18
2019-08-04,17
2019-08-11,55
2019-08-18,18
2019-08-25,18
2019-09-01,23
2019-09-08,26
2019-09-15,17
2019-09-22,22
2019-09-29,50
2019-10-06,17
2019-10-13,0
2019-10-20,0
2019-10-27,42
2019-11-03,17
2019-11-10,17
2019-11-17,17
2019-11-24,16
2019-12-01,17
2019-12-08,17
2019-12-15,22
2019-12-22,0
2019-12-29,27
2020-01-05,16
2020-01-12,15
2020-01-19,0
2020-01-26,16
2020-02-02,32
2020-02-09,0
2020-02-16,26
2020-02-23,15
2020-03-01,0
2020-03-08,15
2020-03-15,0
2020-03-22,28
2020-03-29,28
2020-04-05,14
2020-04-12,13
2020-04-19,13
2020-04-26,0
2020-05-03,39
2020-05-10,13
2020-05-17,0
2020-05-24,14
2020-05-31,0
2020-06-07,0
2020-06-14,0
2020-06-21,0
2020-06-28,0
2020-07-05,15
2020-07-12,15
2020-07-19,0
2020-07-26,0
