Categoría: Todas las categorías

Semana,gran via: (Portugal)
2015-08-02,52
2015-08-09,21
2015-08-16,21
2015-08-23,27
2015-08-30,60
2015-09-06,39
2015-09-13,19
2015-09-20,52
2015-09-27,32
2015-10-04,28
2015-10-11,44
2015-10-18,76
2015-10-25,95
2015-11-01,38
2015-11-08,20
2015-11-15,20
2015-11-22,20
2015-11-29,20
2015-12-06,31
2015-12-13,31
2015-12-20,25
2015-12-27,52
2016-01-03,36
2016-01-10,24
2016-01-17,73
2016-01-24,27
2016-01-31,25
2016-02-07,24
2016-02-14,28
2016-02-21,45
2016-02-28,27
2016-03-06,68
2016-03-13,55
2016-03-20,51
2016-03-27,37
2016-04-03,63
2016-04-10,24
2016-04-17,18
2016-04-24,47
2016-05-01,27
2016-05-08,35
2016-05-15,37
2016-05-22,31
2016-05-29,37
2016-06-05,39
2016-06-12,37
2016-06-19,19
2016-06-26,52
2016-07-03,34
2016-07-10,31
2016-07-17,42
2016-07-24,35
2016-07-31,44
2016-08-07,44
2016-08-14,31
2016-08-21,43
2016-08-28,21
2016-09-04,61
2016-09-11,40
2016-09-18,31
2016-09-25,20
2016-10-02,27
2016-10-09,40
2016-10-16,32
2016-10-23,100
2016-10-30,40
2016-11-06,20
2016-11-13,20
2016-11-20,29
2016-11-27,20
2016-12-04,30
2016-12-11,30
2016-12-18,44
2016-12-25,51
2017-01-01,19
2017-01-08,32
2017-01-15,57
2017-01-22,37
2017-01-29,18
2017-02-05,31
2017-02-12,46
2017-02-19,19
2017-02-26,27
2017-03-05,29
2017-03-12,30
2017-03-19,27
2017-03-26,54
2017-04-02,19
2017-04-09,45
2017-04-16,31
2017-04-23,84
2017-04-30,37
2017-05-07,35
2017-05-14,39
2017-05-21,40
2017-05-28,29
2017-06-04,20
2017-06-11,35
2017-06-18,58
2017-06-25,40
2017-07-02,28
2017-07-09,21
2017-07-16,20
2017-07-23,27
2017-07-30,39
2017-08-06,46
2017-08-13,28
2017-08-20,20
2017-08-27,19
2017-09-03,47
2017-09-10,38
2017-09-17,44
2017-09-24,57
2017-10-01,46
2017-10-08,28
2017-10-15,18
2017-10-22,56
2017-10-29,74
2017-11-05,28
2017-11-12,46
2017-11-19,27
2017-11-26,50
2017-12-03,45
2017-12-10,38
2017-12-17,41
2017-12-24,61
2017-12-31,28
2018-01-07,35
2018-01-14,35
2018-01-21,41
2018-01-28,36
2018-02-04,30
2018-02-11,54
2018-02-18,36
2018-02-25,39
2018-03-04,17
2018-03-11,34
2018-03-18,36
2018-03-25,37
2018-04-01,51
2018-04-08,42
2018-04-15,17
2018-04-22,18
2018-04-29,41
2018-05-06,17
2018-05-13,35
2018-05-20,34
2018-05-27,35
2018-06-03,25
2018-06-10,17
2018-06-17,40
2018-06-24,28
2018-07-01,28
2018-07-08,17
2018-07-15,26
2018-07-22,35
2018-07-29,23
2018-08-05,62
2018-08-12,27
2018-08-19,36
2018-08-26,62
2018-09-02,28
2018-09-09,52
2018-09-16,70
2018-09-23,17
2018-09-30,48
2018-10-07,58
2018-10-14,36
2018-10-21,26
2018-10-28,28
2018-11-04,41
2018-11-11,27
2018-11-18,34
2018-11-25,18
2018-12-02,37
2018-12-09,44
2018-12-16,39
2018-12-23,42
2018-12-30,50
2019-01-06,28
2019-01-13,45
2019-01-20,47
2019-01-27,35
2019-02-03,36
2019-02-10,29
2019-02-17,52
2019-02-24,35
2019-03-03,45
2019-03-10,27
2019-03-17,63
2019-03-24,54
2019-03-31,23
2019-04-07,35
2019-04-14,35
2019-04-21,30
2019-04-28,18
2019-05-05,23
2019-05-12,28
2019-05-19,42
2019-05-26,22
2019-06-02,16
2019-06-09,34
2019-06-16,39
2019-06-23,55
2019-06-30,25
2019-07-07,43
2019-07-14,44
2019-07-21,17
2019-07-28,34
2019-08-04,64
2019-08-11,61
2019-08-18,61
2019-08-25,66
2019-09-01,27
2019-09-08,27
2019-09-15,31
2019-09-22,21
2019-09-29,31
2019-10-06,36
2019-10-13,23
2019-10-20,48
2019-10-27,31
2019-11-03,54
2019-11-10,37
2019-11-17,23
2019-11-24,46
2019-12-01,24
2019-12-08,27
2019-12-15,36
2019-12-22,60
2019-12-29,67
2020-01-05,15
2020-01-12,38
2020-01-19,35
2020-01-26,44
2020-02-02,39
2020-02-09,44
2020-02-16,24
2020-02-23,43
2020-03-01,14
2020-03-08,21
2020-03-15,26
2020-03-22,0
2020-03-29,13
2020-04-05,13
2020-04-12,17
2020-04-19,12
2020-04-26,12
2020-05-03,0
2020-05-10,12
2020-05-17,17
2020-05-24,13
2020-05-31,12
2020-06-07,13
2020-06-14,12
2020-06-21,13
2020-06-28,26
2020-07-05,14
2020-07-12,21
2020-07-19,24
2020-07-26,0
