Semana,Museo Nacional del Prado: (Portugal),Plaza Mayor: (Portugal),Parque de El Retiro: (Portugal),Puerta del Sol: (Portugal),gran via: (Portugal),Museo Nacional Thyssen-Bornemisza: (Portugal),Templo de Debod: (Portugal),Catedral de Santa María la Real de la Almudena: (Portugal),cibeles: (Portugal),Palacio de Cristal: (Portugal),Puerta de Alcalá: (Portugal),El Rastro: (Portugal),Plaza de Toros de Las Ventas: (Portugal),Chueca: (Portugal),callao: (Portugal)
2015-08-02,1,0,0,45,52,35,0,0,0,32,55,0,28,30,0
2015-08-09,<1,0,0,23,21,35,0,0,0,58,0,61,0,30,35
2015-08-16,<1,0,0,0,21,35,51,0,0,54,0,62,28,31,0
2015-08-23,1,32,33,22,27,34,0,30,0,32,0,61,55,29,0
2015-08-30,1,0,0,21,60,33,95,29,24,30,0,0,0,0,0
2015-09-06,1,30,0,0,39,32,48,0,0,30,0,59,0,29,33
2015-09-13,1,29,0,0,19,32,0,0,0,29,0,0,26,28,0
2015-09-20,1,0,0,21,52,65,0,0,24,100,0,0,26,0,0
2015-09-27,1,0,31,21,32,48,46,0,0,29,51,57,51,0,0
2015-10-04,0,0,30,0,28,31,0,0,0,33,0,55,0,54,0
2015-10-11,1,0,31,20,44,64,45,0,23,29,50,0,0,46,0
2015-10-18,<1,0,0,20,76,31,91,27,45,43,50,56,25,27,0
2015-10-25,<1,0,31,20,95,32,46,0,0,29,0,0,25,28,0
2015-11-01,<1,0,0,41,38,64,0,28,46,64,51,0,0,28,0
2015-11-08,1,30,0,21,20,68,0,29,23,35,0,59,0,0,0
2015-11-15,<1,0,0,21,20,49,47,28,0,25,52,0,0,57,0
2015-11-22,1,61,0,21,20,50,48,29,0,46,53,0,0,0,33
2015-11-29,<1,31,33,32,20,51,0,29,0,15,0,0,0,29,0
2015-12-06,1,0,34,0,31,35,50,0,0,48,55,0,28,0,35
2015-12-13,1,0,0,22,31,35,50,0,0,16,55,62,28,30,0
2015-12-20,<1,0,0,27,25,0,0,0,0,57,0,74,0,36,0
2015-12-27,<1,34,0,24,52,37,0,0,0,51,0,0,0,32,0
2016-01-03,<1,0,29,19,36,40,0,26,21,48,47,53,0,26,0
2016-01-10,<1,0,0,20,24,91,0,26,22,51,0,0,0,0,30
2016-01-17,<1,28,29,20,73,45,43,0,0,35,0,0,0,26,0
2016-01-24,<1,0,0,20,27,0,43,26,22,46,0,0,24,26,31
2016-01-31,1,43,0,20,25,31,0,0,22,47,49,0,0,27,0
2016-02-07,1,0,0,19,24,70,43,26,0,46,0,0,0,26,31
2016-02-14,0,29,0,0,28,31,45,54,0,24,0,0,0,27,31
2016-02-21,<1,0,44,39,45,30,43,26,22,35,0,54,0,0,0
2016-02-28,1,28,30,26,27,0,0,0,0,65,49,0,0,0,61
2016-03-06,1,29,30,20,68,92,44,53,22,36,97,56,37,0,31
2016-03-13,<1,0,59,30,55,30,0,26,22,56,0,55,49,27,30
2016-03-20,1,29,62,21,51,64,46,27,23,53,0,0,25,28,32
2016-03-27,<1,28,39,20,37,46,87,0,22,42,49,0,24,53,31
2016-04-03,1,28,29,39,63,60,43,26,0,41,0,0,36,0,0
2016-04-10,1,55,0,29,24,39,0,0,0,14,47,53,24,26,29
2016-04-17,1,28,0,39,18,45,43,26,0,28,0,0,24,0,30
2016-04-24,1,30,31,21,47,32,0,0,23,68,0,0,25,0,0
2016-05-01,1,28,87,20,27,30,0,26,22,28,0,54,24,0,0
2016-05-08,1,27,28,0,35,29,42,0,21,27,0,0,78,25,59
2016-05-15,<1,0,0,0,37,0,44,0,0,56,0,55,49,27,0
2016-05-22,1,0,0,0,31,31,45,0,34,47,0,0,66,0,31
2016-05-29,1,28,45,100,37,31,44,27,100,85,0,0,25,27,31
2016-06-05,1,0,32,21,39,55,0,28,24,53,0,0,35,29,100
2016-06-12,<1,0,0,20,37,31,45,0,22,71,50,0,25,27,31
2016-06-19,1,0,31,42,19,65,70,28,0,39,0,0,78,28,49
2016-06-26,2,0,0,21,52,33,0,0,0,35,52,0,0,28,0
2016-07-03,1,0,0,22,34,34,49,0,49,57,0,0,0,0,0
2016-07-10,1,32,0,0,31,35,50,0,0,16,0,0,0,50,35
2016-07-17,1,32,34,22,42,70,100,0,0,56,55,0,28,0,0
2016-07-24,1,0,34,0,35,88,50,0,0,54,56,0,28,0,71
2016-07-31,<1,100,35,24,44,0,52,32,26,50,57,0,29,32,36
2016-08-07,1,0,36,24,44,74,0,0,26,45,0,0,29,0,0
2016-08-14,1,71,0,0,31,39,55,100,0,35,0,0,0,100,39
2016-08-21,1,34,0,23,43,73,0,0,0,39,0,0,0,31,37
2016-08-28,1,32,0,33,21,35,0,0,0,58,55,62,0,0,0
2016-09-04,1,0,33,33,61,34,0,30,0,62,53,0,27,59,0
2016-09-11,1,31,0,0,40,33,48,29,48,46,0,60,0,29,34
2016-09-18,<1,31,0,22,31,34,0,59,0,78,0,0,0,30,34
2016-09-25,1,0,32,22,20,33,0,29,0,51,0,60,27,0,34
2016-10-02,<1,0,49,33,27,34,0,0,0,26,0,0,0,0,34
2016-10-09,1,0,32,0,40,66,0,28,0,15,0,0,39,57,0
2016-10-16,1,0,32,21,32,33,0,0,23,60,0,0,26,28,0
2016-10-23,0,0,32,21,100,67,0,0,0,45,0,58,0,0,34
2016-10-30,1,0,0,22,40,34,0,0,24,46,53,60,0,29,0
2016-11-06,1,0,0,0,20,33,0,43,0,41,0,59,0,29,0
