Categoría: Todas las categorías

Semana,plaza mayor: (Austria)
2015-08-02,45
2015-08-09,0
2015-08-16,0
2015-08-23,0
2015-08-30,62
2015-09-06,0
2015-09-13,100
2015-09-20,0
2015-09-27,0
2015-10-04,38
2015-10-11,37
2015-10-18,0
2015-10-25,40
2015-11-01,0
2015-11-08,0
2015-11-15,0
2015-11-22,0
2015-11-29,0
2015-12-06,0
2015-12-13,0
2015-12-20,0
2015-12-27,0
2016-01-03,40
2016-01-10,0
2016-01-17,39
2016-01-24,0
2016-01-31,0
2016-02-07,0
2016-02-14,0
2016-02-21,38
2016-02-28,0
2016-03-06,38
2016-03-13,0
2016-03-20,0
2016-03-27,42
2016-04-03,40
2016-04-10,0
2016-04-17,0
2016-04-24,0
2016-05-01,65
2016-05-08,0
2016-05-15,0
2016-05-22,0
2016-05-29,40
2016-06-05,0
2016-06-12,0
2016-06-19,0
2016-06-26,0
2016-07-03,0
2016-07-10,0
2016-07-17,0
2016-07-24,0
2016-07-31,47
2016-08-07,0
2016-08-14,0
2016-08-21,48
2016-08-28,46
2016-09-04,45
2016-09-11,0
2016-09-18,0
2016-09-25,0
2016-10-02,0
2016-10-09,0
2016-10-16,0
2016-10-23,0
2016-10-30,44
2016-11-06,41
2016-11-13,0
2016-11-20,42
2016-11-27,0
2016-12-04,0
2016-12-11,0
2016-12-18,0
2016-12-25,91
2017-01-01,0
2017-01-08,0
2017-01-15,38
2017-01-22,38
2017-01-29,37
2017-02-05,57
2017-02-12,38
2017-02-19,0
2017-02-26,37
2017-03-05,0
2017-03-12,37
2017-03-19,38
2017-03-26,0
2017-04-02,0
2017-04-09,41
2017-04-16,39
2017-04-23,0
2017-04-30,0
2017-05-07,39
2017-05-14,41
2017-05-21,0
2017-05-28,0
2017-06-04,40
2017-06-11,0
2017-06-18,0
2017-06-25,0
2017-07-02,0
2017-07-09,0
2017-07-16,42
2017-07-23,0
2017-07-30,0
2017-08-06,0
2017-08-13,0
2017-08-20,40
2017-08-27,39
2017-09-03,0
2017-09-10,38
2017-09-17,0
2017-09-24,38
2017-10-01,37
2017-10-08,0
2017-10-15,0
2017-10-22,38
2017-10-29,37
2017-11-05,36
2017-11-12,0
2017-11-19,0
2017-11-26,0
2017-12-03,37
2017-12-10,0
2017-12-17,0
2017-12-24,0
2017-12-31,0
2018-01-07,34
2018-01-14,0
2018-01-21,0
2018-01-28,0
2018-02-04,0
2018-02-11,0
2018-02-18,0
2018-02-25,33
2018-03-04,34
2018-03-11,34
2018-03-18,34
2018-03-25,0
2018-04-01,0
2018-04-08,0
2018-04-15,36
2018-04-22,36
2018-04-29,0
2018-05-06,0
2018-05-13,35
2018-05-20,36
2018-05-27,0
2018-06-03,35
2018-06-10,34
2018-06-17,0
2018-06-24,34
2018-07-01,0
2018-07-08,0
2018-07-15,0
2018-07-22,0
2018-07-29,37
2018-08-05,0
2018-08-12,37
2018-08-19,0
2018-08-26,35
2018-09-02,0
2018-09-09,36
2018-09-16,35
2018-09-23,36
2018-09-30,34
2018-10-07,0
2018-10-14,35
2018-10-21,0
2018-10-28,0
2018-11-04,34
2018-11-11,0
2018-11-18,33
2018-11-25,34
2018-12-02,68
2018-12-09,0
2018-12-16,35
2018-12-23,0
2018-12-30,35
2019-01-06,0
2019-01-13,32
2019-01-20,32
2019-01-27,64
2019-02-03,0
2019-02-10,32
2019-02-17,32
2019-02-24,32
2019-03-03,33
2019-03-10,0
2019-03-17,0
2019-03-24,0
2019-03-31,34
2019-04-07,0
2019-04-14,0
2019-04-21,0
2019-04-28,33
2019-05-05,32
2019-05-12,0
2019-05-19,0
2019-05-26,0
2019-06-02,34
2019-06-09,0
2019-06-16,0
2019-06-23,0
2019-06-30,0
2019-07-07,0
2019-07-14,0
2019-07-21,35
2019-07-28,70
2019-08-04,0
2019-08-11,0
2019-08-18,0
2019-08-25,33
2019-09-01,32
2019-09-08,0
2019-09-15,33
2019-09-22,0
2019-09-29,31
2019-10-06,32
2019-10-13,32
2019-10-20,32
2019-10-27,0
2019-11-03,0
2019-11-10,46
2019-11-17,0
2019-11-24,30
2019-12-01,0
2019-12-08,62
2019-12-15,0
2019-12-22,0
2019-12-29,33
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,28
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,0
2020-03-15,27
2020-03-22,26
2020-03-29,27
2020-04-05,0
2020-04-12,56
2020-04-19,0
2020-04-26,28
2020-05-03,0
2020-05-10,0
2020-05-17,0
2020-05-24,0
2020-05-31,29
2020-06-07,28
2020-06-14,0
2020-06-21,0
2020-06-28,0
2020-07-05,0
2020-07-12,0
2020-07-19,0
2020-07-26,0
