Categoría: Todas las categorías

Semana,puerta del sol: (Austria)
2015-08-02,0
2015-08-09,0
2015-08-16,0
2015-08-23,0
2015-08-30,30
2015-09-06,0
2015-09-13,29
2015-09-20,0
2015-09-27,57
2015-10-04,27
2015-10-11,0
2015-10-18,55
2015-10-25,39
2015-11-01,42
2015-11-08,56
2015-11-15,54
2015-11-22,27
2015-11-29,27
2015-12-06,42
2015-12-13,28
2015-12-20,33
2015-12-27,63
2016-01-03,44
2016-01-10,28
2016-01-17,0
2016-01-24,57
2016-01-31,28
2016-02-07,28
2016-02-14,84
2016-02-21,28
2016-02-28,27
2016-03-06,27
2016-03-13,29
2016-03-20,30
2016-03-27,30
2016-04-03,87
2016-04-10,30
2016-04-17,40
2016-04-24,0
2016-05-01,31
2016-05-08,45
2016-05-15,31
2016-05-22,32
2016-05-29,29
2016-06-05,30
2016-06-12,0
2016-06-19,0
2016-06-26,30
2016-07-03,33
2016-07-10,32
2016-07-17,51
2016-07-24,0
2016-07-31,0
2016-08-07,35
2016-08-14,37
2016-08-21,70
2016-08-28,100
2016-09-04,33
2016-09-11,0
2016-09-18,64
2016-09-25,0
2016-10-02,0
2016-10-09,31
2016-10-16,30
2016-10-23,0
2016-10-30,32
2016-11-06,0
2016-11-13,0
2016-11-20,0
2016-11-27,0
2016-12-04,30
2016-12-11,30
2016-12-18,0
2016-12-25,33
2017-01-01,0
2017-01-08,28
2017-01-15,28
2017-01-22,27
2017-01-29,27
2017-02-05,55
2017-02-12,28
2017-02-19,0
2017-02-26,27
2017-03-05,27
2017-03-12,41
2017-03-19,27
2017-03-26,0
2017-04-02,42
2017-04-09,30
2017-04-16,29
2017-04-23,27
2017-04-30,0
2017-05-07,56
2017-05-14,0
2017-05-21,0
2017-05-28,30
2017-06-04,44
2017-06-11,61
2017-06-18,29
2017-06-25,29
2017-07-02,0
2017-07-09,60
2017-07-16,31
2017-07-23,29
2017-07-30,30
2017-08-06,29
2017-08-13,0
2017-08-20,44
2017-08-27,28
2017-09-03,0
2017-09-10,41
2017-09-17,0
2017-09-24,28
2017-10-01,27
2017-10-08,27
2017-10-15,0
2017-10-22,0
2017-10-29,54
2017-11-05,26
2017-11-12,26
2017-11-19,26
2017-11-26,53
2017-12-03,27
2017-12-10,26
2017-12-17,37
2017-12-24,30
2017-12-31,27
2018-01-07,33
2018-01-14,49
2018-01-21,25
2018-01-28,49
2018-02-04,25
2018-02-11,49
2018-02-18,24
2018-02-25,49
2018-03-04,24
2018-03-11,24
2018-03-18,25
2018-03-25,39
2018-04-01,0
2018-04-08,0
2018-04-15,53
2018-04-22,39
2018-04-29,27
2018-05-06,27
2018-05-13,26
2018-05-20,40
2018-05-27,26
2018-06-03,0
2018-06-10,25
2018-06-17,26
2018-06-24,25
2018-07-01,25
2018-07-08,52
2018-07-15,26
2018-07-22,0
2018-07-29,54
2018-08-05,26
2018-08-12,0
2018-08-19,52
2018-08-26,0
2018-09-02,26
2018-09-09,26
2018-09-16,26
2018-09-23,26
2018-09-30,25
2018-10-07,26
2018-10-14,26
2018-10-21,26
2018-10-28,0
2018-11-04,37
2018-11-11,26
2018-11-18,24
2018-11-25,25
2018-12-02,25
2018-12-09,33
2018-12-16,26
2018-12-23,28
2018-12-30,25
2019-01-06,0
2019-01-13,23
2019-01-20,0
2019-01-27,23
2019-02-03,24
2019-02-10,23
2019-02-17,24
2019-02-24,0
2019-03-03,24
2019-03-10,23
2019-03-17,48
2019-03-24,0
2019-03-31,37
2019-04-07,24
2019-04-14,27
2019-04-21,0
2019-04-28,0
2019-05-05,0
2019-05-12,47
2019-05-19,0
2019-05-26,0
2019-06-02,0
2019-06-09,0
2019-06-16,0
2019-06-23,25
2019-06-30,50
2019-07-07,24
2019-07-14,25
2019-07-21,26
2019-07-28,0
2019-08-04,52
2019-08-11,25
2019-08-18,24
2019-08-25,37
2019-09-01,0
2019-09-08,24
2019-09-15,0
2019-09-22,0
2019-09-29,0
2019-10-06,46
2019-10-13,47
2019-10-20,46
2019-10-27,34
2019-11-03,22
2019-11-10,0
2019-11-17,34
2019-11-24,22
2019-12-01,23
2019-12-08,23
2019-12-15,23
2019-12-22,26
2019-12-29,24
2020-01-05,43
2020-01-12,31
2020-01-19,42
2020-01-26,27
2020-02-02,34
2020-02-09,42
2020-02-16,21
2020-02-23,30
2020-03-01,34
2020-03-08,20
2020-03-15,0
2020-03-22,19
2020-03-29,0
2020-04-05,22
2020-04-12,0
2020-04-19,0
2020-04-26,0
2020-05-03,41
2020-05-10,21
2020-05-17,22
2020-05-24,40
2020-05-31,0
2020-06-07,28
2020-06-14,20
2020-06-21,21
2020-06-28,41
2020-07-05,22
2020-07-12,22
2020-07-19,22
2020-07-26,0
