Categoría: Todas las categorías

Semana,gran via: (Austria)
2015-08-02,38
2015-08-09,0
2015-08-16,0
2015-08-23,36
2015-08-30,34
2015-09-06,0
2015-09-13,100
2015-09-20,33
2015-09-27,33
2015-10-04,32
2015-10-11,63
2015-10-18,32
2015-10-25,0
2015-11-01,32
2015-11-08,32
2015-11-15,31
2015-11-22,0
2015-11-29,32
2015-12-06,0
2015-12-13,32
2015-12-20,38
2015-12-27,73
2016-01-03,67
2016-01-10,32
2016-01-17,0
2016-01-24,33
2016-01-31,0
2016-02-07,32
2016-02-14,48
2016-02-21,64
2016-02-28,0
2016-03-06,48
2016-03-13,33
2016-03-20,34
2016-03-27,0
2016-04-03,33
2016-04-10,0
2016-04-17,35
2016-04-24,33
2016-05-01,0
2016-05-08,34
2016-05-15,70
2016-05-22,36
2016-05-29,67
2016-06-05,0
2016-06-12,0
2016-06-19,35
2016-06-26,34
2016-07-03,38
2016-07-10,37
2016-07-17,0
2016-07-24,0
2016-07-31,0
2016-08-07,0
2016-08-14,0
2016-08-21,60
2016-08-28,0
2016-09-04,0
2016-09-11,0
2016-09-18,0
2016-09-25,37
2016-10-02,35
2016-10-09,35
2016-10-16,35
2016-10-23,37
2016-10-30,0
2016-11-06,0
2016-11-13,0
2016-11-20,0
2016-11-27,34
2016-12-04,0
2016-12-11,0
2016-12-18,37
2016-12-25,38
2017-01-01,0
2017-01-08,0
2017-01-15,32
2017-01-22,0
2017-01-29,31
2017-02-05,0
2017-02-12,0
2017-02-19,0
2017-02-26,30
2017-03-05,45
2017-03-12,31
2017-03-19,32
2017-03-26,66
2017-04-02,32
2017-04-09,52
2017-04-16,33
2017-04-23,0
2017-04-30,0
2017-05-07,48
2017-05-14,35
2017-05-21,36
2017-05-28,34
2017-06-04,34
2017-06-11,35
2017-06-18,33
2017-06-25,0
2017-07-02,35
2017-07-09,34
2017-07-16,36
2017-07-23,0
2017-07-30,34
2017-08-06,49
2017-08-13,35
2017-08-20,50
2017-08-27,0
2017-09-03,32
2017-09-10,31
2017-09-17,31
2017-09-24,47
2017-10-01,0
2017-10-08,31
2017-10-15,31
2017-10-22,32
2017-10-29,0
2017-11-05,0
2017-11-12,45
2017-11-19,0
2017-11-26,0
2017-12-03,0
2017-12-10,0
2017-12-17,33
2017-12-24,68
2017-12-31,0
2018-01-07,28
2018-01-14,0
2018-01-21,84
2018-01-28,0
2018-02-04,29
2018-02-11,56
2018-02-18,0
2018-02-25,0
2018-03-04,0
2018-03-11,28
2018-03-18,28
2018-03-25,30
2018-04-01,31
2018-04-08,30
2018-04-15,0
2018-04-22,45
2018-04-29,31
2018-05-06,31
2018-05-13,30
2018-05-20,31
2018-05-27,0
2018-06-03,29
2018-06-10,28
2018-06-17,0
2018-06-24,28
2018-07-01,0
2018-07-08,30
2018-07-15,0
2018-07-22,30
2018-07-29,31
2018-08-05,30
2018-08-12,0
2018-08-19,50
2018-08-26,29
2018-09-02,29
2018-09-09,88
2018-09-16,29
2018-09-23,30
2018-09-30,0
2018-10-07,29
2018-10-14,29
2018-10-21,90
2018-10-28,0
2018-11-04,57
2018-11-11,29
2018-11-18,28
2018-11-25,29
2018-12-02,28
2018-12-09,28
2018-12-16,30
2018-12-23,33
2018-12-30,29
2019-01-06,0
2019-01-13,0
2019-01-20,0
2019-01-27,26
2019-02-03,0
2019-02-10,53
2019-02-17,40
2019-02-24,27
2019-03-03,26
2019-03-10,26
2019-03-17,37
2019-03-24,55
2019-03-31,0
2019-04-07,0
2019-04-14,30
2019-04-21,30
2019-04-28,37
2019-05-05,54
2019-05-12,27
2019-05-19,27
2019-05-26,0
2019-06-02,56
2019-06-09,29
2019-06-16,28
2019-06-23,28
2019-06-30,43
2019-07-07,55
2019-07-14,29
2019-07-21,0
2019-07-28,58
2019-08-04,29
2019-08-11,0
2019-08-18,83
2019-08-25,28
2019-09-01,27
2019-09-08,28
2019-09-15,55
2019-09-22,27
2019-09-29,26
2019-10-06,27
2019-10-13,26
2019-10-20,26
2019-10-27,26
2019-11-03,0
2019-11-10,26
2019-11-17,0
2019-11-24,25
2019-12-01,26
2019-12-08,26
2019-12-15,26
2019-12-22,0
2019-12-29,27
2020-01-05,33
2020-01-12,23
2020-01-19,24
2020-01-26,23
2020-02-02,24
2020-02-09,36
2020-02-16,24
2020-02-23,45
2020-03-01,23
2020-03-08,22
2020-03-15,0
2020-03-22,22
2020-03-29,0
2020-04-05,0
2020-04-12,23
2020-04-19,0
2020-04-26,0
2020-05-03,0
2020-05-10,0
2020-05-17,0
2020-05-24,23
2020-05-31,35
2020-06-07,0
2020-06-14,0
2020-06-21,24
2020-06-28,23
2020-07-05,0
2020-07-12,0
2020-07-19,25
2020-07-26,0
