Museo Nacional del Prado: (Bélgica),Plaza Mayor: (Bélgica),Parque de El Retiro: (Bélgica),puerta del sol: (Bélgica),gran via: (Bélgica),Museo Nacional Thyssen-Bornemisza: (Bélgica),Templo de Debod: (Bélgica),Catedral de Santa María la Real de la Almudena: (Bélgica),cibeles: (Bélgica),Palacio de Cristal: (Bélgica),El Rastro: (Bélgica),Plaza de Toros de Las Ventas: (Bélgica),Chueca: (Bélgica),callao: (Bélgica),Calle de Serrano: (Bélgica),date
25,100,72,100,31,30,77,70,72,0,0,72,98,39,89,2015-08-01
46,58,63,30,24,55,0,61,0,0,0,0,91,51,0,2015-09-01
33,57,61,84,44,53,67,60,0,64,63,0,90,71,0,2015-10-01
23,58,62,58,47,28,68,62,69,0,0,0,0,74,0,2015-11-01
28,0,0,48,25,50,82,0,69,0,0,0,0,84,0,2015-12-01
17,42,91,21,32,39,0,44,50,0,0,51,66,69,0,2016-01-01
49,42,45,31,24,20,49,43,50,48,46,0,65,41,55,2016-02-01
50,84,68,42,33,40,49,44,76,0,0,0,67,19,56,2016-03-01
25,43,46,21,41,40,0,45,51,50,48,49,67,37,0,2016-04-01
50,48,51,20,32,29,0,100,49,54,0,52,67,100,57,2016-05-01
47,87,46,50,39,41,47,44,51,49,46,0,100,34,0,2016-06-01
40,53,63,26,52,27,0,55,66,59,57,0,81,64,77,2016-07-01
40,55,60,27,41,100,61,54,0,63,0,0,86,53,68,2016-08-01
54,48,53,48,57,46,0,51,60,0,0,0,76,21,0,2016-09-01
73,48,100,24,71,45,54,49,56,0,50,0,73,51,62,2016-10-01
35,0,48,22,26,32,0,46,53,51,0,55,69,37,0,2016-11-01
36,96,71,24,25,22,53,45,0,0,100,52,69,27,0,2016-12-01
49,44,48,44,34,20,49,43,50,51,45,0,69,43,55,2017-01-01
49,60,45,42,32,29,0,44,50,96,0,49,66,35,0,2017-02-01
56,44,47,60,32,20,47,0,100,0,45,53,66,18,56,2017-03-01
18,44,45,34,34,21,0,44,76,50,0,51,0,34,0,2017-04-01
32,44,51,44,25,39,51,50,70,0,0,50,0,20,0,2017-05-01
25,42,46,63,33,20,49,45,85,0,46,77,70,26,57,2017-06-01
28,47,52,47,49,24,51,50,57,55,0,0,74,30,0,2017-07-01
26,63,46,33,68,21,52,47,81,51,0,52,70,35,59,2017-08-01
50,41,46,21,33,40,49,0,51,48,0,0,0,27,56,2017-09-01
32,40,45,40,30,39,48,44,98,0,45,49,98,33,54,2017-10-01
31,77,42,29,25,19,45,40,47,0,0,46,0,33,0,2017-11-01
68,44,0,40,32,29,48,41,0,0,42,0,0,18,0,2017-12-01
37,37,41,38,30,18,44,40,0,44,42,46,60,47,0,2018-01-01
31,0,42,20,23,37,46,83,47,0,0,95,0,33,0,2018-02-01
30,39,0,20,45,19,46,42,47,44,0,92,60,33,51,2018-03-01
45,42,46,41,24,39,49,43,49,0,0,100,62,44,52,2018-04-01
37,40,60,38,23,37,46,0,46,0,42,48,61,33,53,2018-05-01
30,80,41,20,29,19,86,43,0,0,39,45,63,47,0,2018-06-01
24,87,68,31,48,21,100,43,51,49,0,0,99,37,0,2018-07-01
31,41,44,20,23,39,0,0,75,0,0,49,63,34,0,2018-08-01
32,79,64,30,41,37,46,42,48,0,43,49,63,33,53,2018-09-01
47,41,43,20,36,29,0,41,47,46,0,0,62,48,54,2018-10-01
37,38,42,0,22,18,0,40,0,0,0,46,0,21,50,2018-11-01
32,44,44,60,30,0,51,41,49,100,42,0,0,33,0,2018-12-01
22,38,59,19,28,26,63,39,46,0,0,46,56,30,0,2019-01-01
44,75,41,19,24,35,87,0,46,85,41,0,60,24,49,2019-02-01
44,75,42,19,22,37,44,41,92,44,41,47,60,31,75,2019-03-01
42,41,45,39,30,19,91,43,48,45,0,47,65,17,55,2019-04-01
35,73,39,36,29,17,82,0,67,41,0,45,58,15,50,2019-05-01
40,68,40,20,34,19,43,42,0,45,40,42,62,20,98,2019-06-01
30,38,0,19,33,37,50,40,50,0,0,0,64,25,54,2019-07-01
32,40,44,20,30,19,0,83,97,44,85,47,62,25,51,2019-08-01
71,70,41,37,29,36,43,37,86,43,39,45,58,22,100,2019-09-01
35,36,77,18,28,17,42,37,86,0,39,44,57,29,48,2019-10-01
68,35,39,26,26,17,41,35,42,40,0,43,54,29,0,2019-11-01
14,36,40,42,24,18,43,39,44,42,75,0,58,22,47,2019-12-01
26,0,36,32,31,16,38,70,40,38,36,40,53,27,0,2020-01-01
26,65,72,24,19,31,38,35,41,38,36,40,52,20,0,2020-02-01
36,32,34,16,25,15,37,0,38,35,0,39,47,19,40,2020-03-01
37,32,62,29,12,15,0,33,38,0,0,0,0,13,0,2020-04-01
12,0,34,16,18,15,33,0,36,34,0,0,0,26,0,2020-05-01
12,0,32,15,60,0,36,30,35,0,0,0,0,13,0,2020-06-01
100,35,0,17,100,17,42,33,41,42,0,0,0,14,46,2020-07-01
